회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별)
(주)국보,1140,Dec-16,66033326,81308887,64287142,77487791
(주)국보,1140,Dec-17,55421608,73270170,53780069,69819240
(주)국보,1140,Dec-18,34775907,48188113,34021141,45599283
(주)국보,1140,Dec-19,86752439,115356448,45188516,57467353
(주)국보디자인,66620,Dec-11,32057338,80200900,30730895,79203327
(주)국보디자인,66620,Dec-12,35313021,92877548,34589879,92873298
(주)국보디자인,66620,Dec-13,62304123,127902185,57018397,121964092
(주)국보디자인,66620,Dec-14,57660989,132011877,55233687,125685773
(주)국보디자인,66620,Dec-15,57782472,141089858,53570805,129037954
(주)국보디자인,66620,Dec-16,71523640,158452485,70548163,150830570
(주)국보디자인,66620,Dec-17,65097890,164381715,63937167,158317679
(주)국보디자인,66620,Dec-18,66436346,175036784,58152003,161750972
(주)국보디자인,66620,Dec-19,99151096,222514980,85686398,197762410
(주)국순당,43650,Dec-11,21020767,199135153,19804029,193849294
(주)국순당,43650,Dec-12,18103728,209729554,17184003,203489729
(주)국순당,43650,Dec-13,23547445,218115221,17213771,203199593
(주)국순당,43650,Dec-14,20669149,217479839,18944456,205782935
(주)국순당,43650,Dec-15,18420650,216587928,17410245,203528460
(주)국순당,43650,Dec-16,18986190,213004831,16888868,200077411
(주)국순당,43650,Dec-17,20660503,242199755,17086381,208832133
(주)국순당,43650,Dec-18,22939575,238619493,17730015,221229658
(주)국순당,43650,Dec-19,47525638,252484287,13082667,210006510
(주)국영지앤엠,6050,Dec-11,,,28289760,61022765
(주)국영지앤엠,6050,Dec-12,,,14237403,60197670
(주)국영지앤엠,6050,Dec-13,,,16762705,63108054
(주)국영지앤엠,6050,Dec-14,,,11754876,58995756
(주)국영지앤엠,6050,Dec-15,,,14740854,63713392
(주)국영지앤엠,6050,Dec-16,,,15112874,65670915
(주)국영지앤엠,6050,Dec-17,,,13489458,66101002
(주)국영지앤엠,6050,Dec-18,,,8586831,60335138
(주)국영지앤엠,6050,Dec-19,,,15830851,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,448781572,777653618,187176481,521750143
(주)그래디언트,35080,Dec-12,343327081,739985481,70524662,482181596
(주)그래디언트,35080,Dec-13,846564410,1598503940,70931985,473264178
(주)그래디언트,35080,Dec-14,1020007595,1920350951,35815115,455860309
(주)그래디언트,35080,Dec-15,1202893253,2106702049,44313733,475792856
(주)그래디언트,35080,Dec-16,1233206219,2073537018,15287631,404583242
(주)그래디언트,35080,Dec-17,1062216374,1804533355,15302824,344022749
(주)그래디언트,35080,Dec-18,1095183390,1809664488,14238879,339457297
(주)그래디언트,35080,Dec-19,1110465400,1780051911,16057558,336145750
(주)그리티,204020,Dec-18,21294442,95755030,12506261,86557287
(주)그리티,204020,Dec-19,17970493,92151596,11970153,86803901
(주)그린플러스,186230,Dec-19,34930648,72321985,19815070,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,24980582,52575255,23359541,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,17816313,53824618,15671535,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,19996780,62626777,17883380,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,19126184,69972237,17693459,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,13016302,69691968,11103032,60770711
(주)글로벌스탠다드테크놀로지,83450,Dec-16,28626022,89405841,25336853,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,24125110,102400669,21687828,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,19219582,105027408,14883193,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,33440861,136751562,30580877,120984040
(주)금양,1570,Dec-11,85642155,130817841,81062141,124086392
(주)금양,1570,Dec-12,82014813,127557393,81935888,127197484
(주)금양,1570,Dec-13,101560871,147115126,97062605,142485295
(주)금양,1570,Dec-14,115754926,160244911,98653967,145135554
(주)금양,1570,Dec-15,107452186,165405931,110764433,157467543
(주)금양,1570,Dec-16,144421157,178901902,152714672,174953809
(주)금양,1570,Dec-17,138488586,196084032,135869024,167120998
(주)금양,1570,Dec-18,125320820,204777156,106319214,155507052
(주)금양,1570,Dec-19,155935477,224222540,136927078,171931897
(주)금호에이치티,214330,Dec-15,42487367,123875646,27249745,109367040
(주)금호에이치티,214330,Dec-16,70324951,156606980,59072744,151786975
(주)금호에이치티,214330,Dec-17,59410075,150164495,48846497,146407321
(주)금호에이치티,214330,Dec-18,113528186,238380056,99203809,230268876
(주)금호에이치티,214330,Dec-19,149447504,322078193,133896103,314666069
(주)금화피에스시,36190,Dec-11,,,17828767,94174014
(주)금화피에스시,36190,Dec-12,,,13178195,105483370
(주)금화피에스시,36190,Dec-13,25315182,142932108,21979899,135180701
(주)금화피에스시,36190,Dec-14,24531587,158057524,19483169,146360964
(주)금화피에스시,36190,Dec-15,39950792,189001800,32829516,175086217
(주)금화피에스시,36190,Dec-16,46326207,215036137,37567568,197557790
(주)금화피에스시,36190,Dec-17,47411791,231639148,39948467,216252318
(주)금화피에스시,36190,Dec-18,41789419,262516457,30944347,242310750
(주)금화피에스시,36190,Dec-19,42283315,281692946,27406945,255149491
(주)기가레인,49080,Dec-13,60137638,122523850,60329664,122926340
(주)기가레인,49080,Dec-14,56351498,131923500,56158957,133237615
(주)기가레인,49080,Dec-15,86012923,151757532,83089580,148551434
(주)기가레인,49080,Dec-16,98134514,155732003,95576680,152639799
(주)기가레인,49080,Dec-17,92959232,181628353,90732165,179756049
(주)기가레인,49080,Dec-18,110553832,179113947,109417741,176296022
(주)기가레인,49080,Dec-19,89733582,117798198,87651745,115539385
(주)기산텔레콤,35460,Dec-11,52370807,86259438,26937576,59416681
(주)기산텔레콤,35460,Dec-12,41717873,73234520,12670352,46588431
(주)기산텔레콤,35460,Dec-13,42293634,78811114,21167070,57254925
(주)기산텔레콤,35460,Dec-14,39545997,78052777,17854587,54284156
(주)기산텔레콤,35460,Dec-15,33753043,76012528,15178171,53901387
(주)기산텔레콤,35460,Dec-16,34339130,74209973,9697230,47117435
(주)기산텔레콤,35460,Dec-17,35145065,70137339,9115826,44554117
(주)기산텔레콤,35460,Dec-18,24539492,56180491,4973394,34219394
(주)기산텔레콤,35460,Dec-19,32098792,66789756,8645985,40025881
(주)까뮤이앤씨,13700,Dec-11,,,202802031,248885092
(주)까뮤이앤씨,13700,Dec-12,,,162718454,203481478
(주)까뮤이앤씨,13700,Dec-13,,,133919447,167635146
(주)까뮤이앤씨,13700,Dec-14,,,93950382,129647729
(주)까뮤이앤씨,13700,Dec-15,,,83679257,129465385
(주)까뮤이앤씨,13700,Dec-16,,,91865334,142978398
