회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별)
(주)광무,29480,Dec-18,10729216,28431748,9695091,26017306
(주)광무,29480,Dec-19,22844122,63139837,22202195,57156720
(주)광주신세계,37710,Dec-11,,,310214632,380753715
(주)광주신세계,37710,Dec-12,,,361615843,430662968
(주)광주신세계,37710,Dec-13,,,408690826,656355808
(주)광주신세계,37710,Dec-14,,,448624926,652758688
(주)광주신세계,37710,Dec-15,,,491380796,659495158
(주)광주신세계,37710,Dec-16,,,534290186,655502726
(주)광주신세계,37710,Dec-17,,,579363832,655018971
(주)광주신세계,37710,Dec-18,,,620656716,696204982
(주)광주신세계,37710,Dec-19,,,661189861,752423111
(주)구영테크,53270,Dec-11,36633264,149471330,27962532,94940916
(주)구영테크,53270,Dec-12,36686891,161163024,29302171,109440531
(주)구영테크,53270,Dec-13,39023837,149230187,30762180,97549406
(주)구영테크,53270,Dec-14,52212920,155857242,42200180,101546298
(주)구영테크,53270,Dec-15,56401223,161330950,44066560,102761141
(주)구영테크,53270,Dec-16,57780291,166748490,46429602,108895002
(주)구영테크,53270,Dec-17,55811041,187009683,47102417,139584386
(주)구영테크,53270,Dec-18,68827896,202572970,57861349,146492374
(주)구영테크,53270,Dec-19,71704257,206569873,58668784,141034767
(주)국동,5320,Dec-11,5829570,68162305,2694312,42291817
(주)국동,5320,Dec-12,9422729,65808287,2775119,35813125
(주)국동,5320,Dec-13,15412210,73040609,5947778,40194919
(주)국동,5320,Dec-14,28639367,89271398,14336568,53392996
(주)국동,5320,Dec-15,31226110,93758552,22395455,66242141
(주)국동,5320,Dec-16,51725723,124126720,40069999,86116813
(주)국동,5320,Dec-17,42630725,106307080,38638770,75154254
(주)국동,5320,Dec-18,48475045,123134702,41762492,80727956
(주)국동,5320,Dec-19,65481226,133723726,54349558,96856085
(주)국보,1140,Dec-11,34466553,98869465,33874415,97415381
(주)국보,1140,Dec-12,33793391,98494841,31655538,93953021
(주)국보,1140,Dec-13,29768264,98315386,27678685,94915572
(주)국보,1140,Dec-14,22620239,91005502,20984752,87597909
(주)국보,1140,Dec-15,18409444,83085438,17113465,80158667
(주)국보,1140,Dec-16,15275562,81308887,13200649,77487791
(주)국보,1140,Dec-17,17848563,73270170,16039171,69819240
(주)국보,1140,Dec-18,13412206,48188113,11578143,45599283
(주)국보,1140,Dec-19,28604010,115356448,12278837,57467353
(주)국보디자인,66620,Dec-11,48143562,80200900,48472432,79203327
(주)국보디자인,66620,Dec-12,57564527,92877548,58283419,92873298
(주)국보디자인,66620,Dec-13,65598063,127902185,64945696,121964092
(주)국보디자인,66620,Dec-14,74350888,132011877,70452085,125685773
(주)국보디자인,66620,Dec-15,83307386,141089858,75467148,129037954
(주)국보디자인,66620,Dec-16,86928845,158452485,80282408,150830570
(주)국보디자인,66620,Dec-17,99283826,164381715,94380512,158317679
(주)국보디자인,66620,Dec-18,108600438,175036784,103598968,161750972
(주)국보디자인,66620,Dec-19,123363884,222514980,112076012,197762410
(주)국순당,43650,Dec-11,178114387,199135153,174045265,193849294
(주)국순당,43650,Dec-12,191625826,209729554,186305726,203489729
(주)국순당,43650,Dec-13,194567775,218115221,185985822,203199593
(주)국순당,43650,Dec-14,196810690,217479839,186838479,205782935
(주)국순당,43650,Dec-15,198167277,216587928,186118215,203528460
(주)국순당,43650,Dec-16,194018641,213004831,183188543,200077411
(주)국순당,43650,Dec-17,221539252,242199755,191745752,208832133
(주)국순당,43650,Dec-18,215679919,238619493,203499644,221229658
(주)국순당,43650,Dec-19,204958649,252484287,196923842,210006510
(주)국영지앤엠,6050,Dec-11,,,32733005,61022765
(주)국영지앤엠,6050,Dec-12,,,45960267,60197670
(주)국영지앤엠,6050,Dec-13,,,46345349,63108054
(주)국영지앤엠,6050,Dec-14,,,47240880,58995756
(주)국영지앤엠,6050,Dec-15,,,48972537,63713392
(주)국영지앤엠,6050,Dec-16,,,50558041,65670915
(주)국영지앤엠,6050,Dec-17,,,52611544,66101002
(주)국영지앤엠,6050,Dec-18,,,51748308,60335138
(주)국영지앤엠,6050,Dec-19,,,52826451,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,328872047,777653618,334573662,521750143
(주)그래디언트,35080,Dec-12,396658401,739985481,411656935,482181596
(주)그래디언트,35080,Dec-13,751939530,1598503940,402332194,473264178
(주)그래디언트,35080,Dec-14,900343355,1920350951,420045194,455860309
(주)그래디언트,35080,Dec-15,903808796,2106702049,431479123,475792856
(주)그래디언트,35080,Dec-16,840330799,2073537018,389295611,404583242
(주)그래디언트,35080,Dec-17,742316982,1804533355,328719925,344022749
(주)그래디언트,35080,Dec-18,714481098,1809664488,325218418,339457297
(주)그래디언트,35080,Dec-19,669586510,1780051911,320088192,336145750
(주)그리티,204020,Dec-18,74460588,95755030,74051025,86557287
(주)그리티,204020,Dec-19,74181103,92151596,74833748,86803901
(주)그린플러스,186230,Dec-19,37391337,72321985,36772875,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,27594673,52575255,26355250,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,36008304,53824618,33379017,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,42629997,62626777,39169886,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,50846053,69972237,45624394,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,56675666,69691968,49667680,60770711
