회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-11,27175102,29085545,23959622,25141723
(주)골프존뉴딘홀딩스,121440,Dec-12,127906398,129285917,100380679,101615001
(주)골프존뉴딘홀딩스,121440,Dec-13,210617017,213296141,158799918,162390400
(주)골프존뉴딘홀딩스,121440,Dec-14,192439743,275651284,109937606,112963321
(주)골프존뉴딘홀딩스,121440,Dec-15,103565383,215964752,8367004,33959695
(주)골프존뉴딘홀딩스,121440,Dec-16,144628383,232685516,13600183,55051510
(주)골프존뉴딘홀딩스,121440,Dec-17,120725767,255588307,37343445,56170310
(주)골프존뉴딘홀딩스,121440,Dec-18,209277715,288773468,53590836,78906181
(주)골프존뉴딘홀딩스,121440,Dec-19,85327312,329187192,13311280,87456888
(주)광림,14200,Dec-11,,,23686842,29675945
(주)광림,14200,Dec-12,,,20807441,26263800
(주)광림,14200,Dec-13,,,28060377,36795801
(주)광림,14200,Dec-14,85772868,115915632,42077415,54024876
(주)광림,14200,Dec-15,,,54386273,65439447
(주)광림,14200,Dec-16,105795434,116090771,55787503,61859263
(주)광림,14200,Dec-17,73471288,100367615,162860814,193026086
(주)광림,14200,Dec-18,89327971,97737400,100481370,115448249
(주)광림,14200,Dec-19,148515736,161696117,126333888,132819619
(주)광명전기,17040,Dec-11,52472085,60950408,39343749,43005031
(주)광명전기,17040,Dec-12,59112462,68072142,44663856,49081920
(주)광명전기,17040,Dec-13,45597121,51063085,40492046,44690725
(주)광명전기,17040,Dec-14,53299701,59883994,47016155,52251735
(주)광명전기,17040,Dec-15,37684895,43628267,31780232,36443563
(주)광명전기,17040,Dec-16,43304256,48795959,32825028,39069932
(주)광명전기,17040,Dec-17,41093650,56068919,37309556,43450530
(주)광명전기,17040,Dec-18,36256155,53074770,30574801,36169226
(주)광명전기,17040,Dec-19,45133574,51313845,40976226,46405743
(주)광무,29480,Dec-11,33725662,38114862,32194731,36539844
(주)광무,29480,Dec-12,20318859,26281385,18995980,23645347
(주)광무,29480,Dec-13,21611943,26597916,14232527,17543532
(주)광무,29480,Dec-14,,,14741069,19357078
(주)광무,29480,Dec-15,,,6483577,13388763
(주)광무,29480,Dec-16,,,13291212,21036538
(주)광무,29480,Dec-17,,,13555844,15398329
(주)광무,29480,Dec-18,14986294,17702532,13577977,16322215
(주)광무,29480,Dec-19,36140360,40295715,32525952,34954525
(주)광주신세계,37710,Dec-11,,,66163614,70539083
(주)광주신세계,37710,Dec-12,,,65950254,69047125
(주)광주신세계,37710,Dec-13,,,145034010,247664982
(주)광주신세계,37710,Dec-14,,,100591603,204133762
(주)광주신세계,37710,Dec-15,,,167220829,168114362
(주)광주신세계,37710,Dec-16,,,120554131,121212540
(주)광주신세계,37710,Dec-17,,,74984335,75655139
(주)광주신세계,37710,Dec-18,,,74818605,75548265
(주)광주신세계,37710,Dec-19,,,75664224,91233250
(주)구영테크,53270,Dec-11,104279859,112838066,60331304,66978384
(주)구영테크,53270,Dec-12,115585365,124476132,72155820,80138360
(주)구영테크,53270,Dec-13,89109382,110206350,57510219,66787227
(주)구영테크,53270,Dec-14,79347724,103644323,48915659,59346118
(주)구영테크,53270,Dec-15,68834054,104929726,39444816,58694581
(주)구영테크,53270,Dec-16,67161561,108968199,37678727,62465401
(주)구영테크,53270,Dec-17,81848867,131198641,56414032,92481970
(주)구영테크,53270,Dec-18,75014258,133745074,43472159,88631025
(주)구영테크,53270,Dec-19,89345198,134865616,46819127,82365983
(주)국동,5320,Dec-11,55840092,62332735,39383056,39597506
(주)국동,5320,Dec-12,49512946,56385558,32784070,33038005
(주)국동,5320,Dec-13,51305589,57628398,33963447,34247141
(주)국동,5320,Dec-14,43845038,60632031,30973623,39056428
(주)국동,5320,Dec-15,44926359,62532443,36237475,43846686
(주)국동,5320,Dec-16,47910562,72400997,30079724,46046814
(주)국동,5320,Dec-17,48234584,63676354,32582779,36515485
(주)국동,5320,Dec-18,63170690,74659657,38965464,38965464
(주)국동,5320,Dec-19,42862482,68242500,25921567,42506527
(주)국보,1140,Dec-11,54216640,64402912,53436541,63540967
(주)국보,1140,Dec-12,53242160,64701450,51610685,62297482
(주)국보,1140,Dec-13,55559279,68547122,54445568,67236888
(주)국보,1140,Dec-14,55303602,68385263,54035255,66613157
(주)국보,1140,Dec-15,52453525,64675995,51329699,63045201
(주)국보,1140,Dec-16,54893083,66033326,53668775,64287142
(주)국보,1140,Dec-17,45812874,55421608,44683851,53780069
(주)국보,1140,Dec-18,28126737,34775907,27888972,34021141
(주)국보,1140,Dec-19,75280895,86752439,36694538,45188516
(주)국보디자인,66620,Dec-11,31069394,32057338,29769233,30730895
(주)국보디자인,66620,Dec-12,34306810,35313021,33598419,34589879
(주)국보디자인,66620,Dec-13,59554141,62304123,54303853,57018397
(주)국보디자인,66620,Dec-14,54113739,57660989,51738972,55233687
(주)국보디자인,66620,Dec-15,54622328,57782472,50472332,53570805
(주)국보디자인,66620,Dec-16,66972237,71523640,66004387,70548163
(주)국보디자인,66620,Dec-17,61606792,65097890,60446916,63937167
(주)국보디자인,66620,Dec-18,62027834,66436346,53791955,58152003
(주)국보디자인,66620,Dec-19,94320054,99151096,80917421,85686398
(주)국순당,43650,Dec-11,16472336,21020767,15617190,19804029
(주)국순당,43650,Dec-12,13830374,18103728,12855993,17184003
(주)국순당,43650,Dec-13,13705357,23547445,11998667,17213771
(주)국순당,43650,Dec-14,14219171,20669149,13596481,18944456
(주)국순당,43650,Dec-15,10740663,18420650,11430600,17410245
(주)국순당,43650,Dec-16,10786059,18986190,9512046,16888868
(주)국순당,43650,Dec-17,12226432,20660503,10643502,17086381
(주)국순당,43650,Dec-18,11783237,22939575,10033456,17730015
(주)국순당,43650,Dec-19,33853250,47525638,6655759,13082667
(주)국영지앤엠,6050,Dec-11,,,16858375,28289760
(주)국영지앤엠,6050,Dec-12,,,6229917,14237403
(주)국영지앤엠,6050,Dec-13,,,12262531,16762705
(주)국영지앤엠,6050,Dec-14,,,7438655,11754876
(주)국영지앤엠,6050,Dec-15,,,12570854,14740854
(주)국영지앤엠,6050,Dec-16,,,11692874,15112874
(주)국영지앤엠,6050,Dec-17,,,11239458,13489458
(주)국영지앤엠,6050,Dec-18,,,8586831,8586831
(주)국영지앤엠,6050,Dec-19,,,12276270,15830851
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,340898793,448781572,114323068,187176481
(주)그래디언트,35080,Dec-12,269391513,343327081,28699017,70524662
(주)그래디언트,35080,Dec-13,720884668,846564410,45004312,70931985
(주)그래디언트,35080,Dec-14,878695192,1020007595,21743894,35815115
(주)그래디언트,35080,Dec-15,1068144809,1202893253,29615650,44313733
(주)그래디언트,35080,Dec-16,1146717741,1233206219,10522707,15287631
(주)그래디언트,35080,Dec-17,976373594,1062216374,10030244,15302824
