회사명,거래소코드,회계년도,유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS연결)(천원),건설중인자산(IFRS)(천원),합계_기말인원(명),기계장치(IFRS연결)(천원),기계장치(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),인건비(IFRS연결)(백만원),인건비(IFRS)(백만원),부가가치(IFRS연결)(백만원),부가가치(IFRS)(백만원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원)
유진기업(주),023410,2017/12,426805456,225526912,4768158,4509058,819,59240057,44931404,3677273732,1438477812,109205.64,70760.32,292467.46,221885.95,1299043715,827817372
유진기업(주),023410,2018/12,426992201,220070520,1586200,148310,680,66003747,49112018,4135331305,1506384961,134144.21,62940.45,264073.27,132802.13,1451043143,780987279
유진기업(주),023410,2019/12,420957648,217487759,2151055,275946,667,67435661,49690432,4527888217,1444273589,137622.73,61065.13,265432.11,125776.25,1457764778,806997640
율촌화학(주),008730,2011/12,,200050102,,6677715,889,,144791836,,388984274,,55556.97,,102828.13,,376634932
율촌화학(주),008730,2012/12,,248100238,,59634013,891,,149653793,,444607018,,56870.05,,102904.26,,405702111
율촌화학(주),008730,2013/12,,307357068,,21043032,931,,204964080,,522867533,,62551.4,,120324.01,,440653000
율촌화학(주),008730,2014/12,,309164750,,2119479,924,,226075724,,566234547,,65997.86,,104809.48,,451934965
율촌화학(주),008730,2015/12,,301767010,,2157851,890,,235050972,,515207692,,65918.45,,111281.78,,436228668
율촌화학(주),008730,2016/12,,303086900,,7393293,854,,238210626,,526762593,,71238.26,,126437.16,,443482416
율촌화학(주),008730,2017/12,,351323672,,37491551,854,,248379936,,577661654,,76981.35,,140473.6,,492204661
율촌화학(주),008730,2018/12,385059809,381201737,30298221,30298221,858,281208501,272630485,614211350,603109297,76032.48,75891.54,122301.9,120938.54,489770532,483572047
율촌화학(주),008730,2019/12,371296772,368072660,37438112,37438111,848,283459904,274585227,606491434,595535057,79240.02,78380.45,135651.43,134148.68,506617381,483893130
이건산업(주),008250,2011/12,156808128,86211835,0,0,286,79536941,18563092,374226955,240185563,25293.87,16467.19,41037.6,19667.96,220059102,144645629
이건산업(주),008250,2012/12,152014855,85771813,0,0,273,85164779,19022737,352102941,232515229,19820.02,17029.67,44071.82,24920.3,246356081,157870366
이건산업(주),008250,2013/12,164829188,84712622,0,0,269,88049479,19034387,382494365,229777320,27242.81,17543.84,55185.33,22503.02,228538092,142736036
이건산업(주),008250,2014/12,200268012,83837944,0,0,283,108674522,20127844,421742096,228977715,28912.13,18664.2,60066.13,22498.46,246009952,159554062
이건산업(주),008250,2015/12,240602865,112414921,0,0,281,132842269,21273634,467596733,266767556,32003.77,19548.48,50603.09,19582.26,267746740,179574495
이건산업(주),008250,2016/12,242335652,112395487,0,0,286,143889483,22231828,471363908,264244780,34052.38,20626.94,58423.43,27201.13,290340968,198323660
이건산업(주),008250,2017/12,228305530,107912906,0,0,273,143952152,22981090,439283119,276393737,29017.74,20548.36,57488.58,28240.4,298667667,213608194
이건산업(주),008250,2018/12,221778558,102809764,0,0,258,140590663,23049690,434159077,259669738,32391.6,20132.35,62138.32,20126.79,339611061,225873544
이건산업(주),008250,2019/12,226247617,101105465,1513944,390072,207,146354988,16608740,422594845,249254873,36194.77,17959.38,58591.99,25350.54,279669847,175856875
이구산업(주),025820,2011/12,,153084020,,2074751,154,,68762888,,313854138,,6755.45,,20720.68,,270888704
이구산업(주),025820,2012/12,,152583533,,2678320,148,,65815076,,301686314,,6997.47,,9915.14,,244354718
이구산업(주),025820,2013/12,,151169746,,4340847,162,,63744731,,275686501,,7459.09,,7443.97,,244042602
이구산업(주),025820,2014/12,,150426195,,3883558,175,,60968903,,274955331,,8100.37,,19849.81,,238633097
이구산업(주),025820,2015/12,,147097648,,5245434,177,,59925228,,249720598,,9295.98,,7145.98,,210562137
이구산업(주),025820,2016/12,,124682506,,3345442,156,,100603448,,261856780,,9114.52,,22502.97,,197534880
이구산업(주),025820,2017/12,,125385839,,195662,156,,106109547,,269797349,,10656.8,,34317.21,,229269979
이구산업(주),025820,2018/12,,124862881,,3222029,176,,105131903,,260653064,,10373.18,,16148.96,,227211411
이구산업(주),025820,2019/12,,122876946,,3206642,157,,107587889,,263335449,,10871.57,,15730.25,,210304346
이노시스(주),056090,2015/12,,13043310,,0,107,,5281844,,77423333,,5722.91,,6033.43,,14595946
이노시스(주),056090,2016/12,13551112,13197386,47450,47450,109,5587075,5587075,66161922,69980370,5922.64,5745.55,5195.92,8830.97,11687568,17754583
이노시스(주),056090,2017/12,15897446,13395158,12000,12000,128,6970657,5745145,79079451,81685998,6732.15,6221.33,2093.9,2704.35,13293960,12561348
이노시스(주),056090,2018/12,21329483,17127184,152866,152866,130,7301411,6075899,74861219,78757473,10210.03,7658.35,-1286.88,-4430.4,31685938,16119849
이노시스(주),056090,2019/12,20067290,16133711,8900,8900,130,7171410,5945898,71080648,70114986,10519.45,7846.26,12658.83,9365.55,34814232,21361556
이니텍(주),053350,2011/12,35956383,7299693,0,0,185,70574145,0,177597473,81572426,18615.14,10231.96,45440.55,14786.77,140507947,33687500
이니텍(주),053350,2012/12,41832272,6571219,0,0,235,88846894,0,226674264,89155531,22955.14,12649.63,55612.27,17647.51,175990623,43207225
이니텍(주),053350,2013/12,43073436,6255043,0,0,260,101907128,0,230418207,97352530,25966,15052.01,66600.51,30475.37,191877566,50835931
이니텍(주),053350,2014/12,44116009,5988522,0,0,265,118129098,0,198677011,90672886,25255,14135.11,56257.8,20756.44,186741280,45449021
이니텍(주),053350,2015/12,44937330,6659769,0,0,276,133706380,0,216172526,98605029,27478.78,15579.23,73348.05,21836.14,203531754,51312760
이니텍(주),053350,2016/12,40345700,6044388,0,0,291,148492168,0,240827333,106905155,32026.64,4967.84,78510.52,10244.46,231386225,67253528
이니텍(주),053350,2017/12,28661661,6196307,0,0,273,147628478,0,242293015,101725161,34566.39,19065.92,75793.79,24124.72,243737677,63790510
이니텍(주),053350,2018/12,20455960,7099362,0,0,259,147038464,0,230847209,104077375,33807.06,18760.29,48205.66,21909.67,262465790,53449709
이니텍(주),053350,2019/12,15173983,5750687,0,0,249,144815476,0,259984863,100349974,34511.04,17803.05,43912.62,19533.01,288034220,50464089
이스트아시아홀딩스인베스트먼트리미티드,900110,2011/12,11286008,,0,,,3118817,,147973623,,9465.4,,41829.73,,184306695,
이스트아시아홀딩스인베스트먼트리미티드,900110,2012/12,34825382,,25475192,,,2937166,,182986541,,10310.46,,36603.51,,173280782,
이스트아시아홀딩스인베스트먼트리미티드,900110,2013/12,43003182,,34755751,,,2974932,,207233101,,10190.03,,37552.47,,152115522,
이스트아시아홀딩스인베스트먼트리미티드,900110,2014/12,42548181,,35382628,,,3033266,,206701327,,9062.86,,11058.13,,106298711,
이스트아시아홀딩스인베스트먼트리미티드,900110,2015/12,36868397,,36045441,,,3090088,,232442886,,10414.24,,20369.35,,119226528,
이스트아시아홀딩스인베스트먼트리미티드,900110,2016/12,18697989,,34590047,,,3035664,,215372864,,12058.7,,7579.95,,108423207,
이스트아시아홀딩스인베스트먼트리미티드,900110,2017/12,14312341,,32782029,,,3107199,,210342207,,13759.78,,19283.79,,98727569,
