회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),자산(IFRS개별)
(주)경동인베스트,12320,Dec-19,236475693,30814751,605467383,44653640,176596,316572482
(주)경방,50,Dec-11,138673371,72996830,1352324332,123787600,71422892,1331930968
(주)경방,50,Dec-12,123685731,52907652,1335039930,101710997,50300747,1301719900
(주)경방,50,Dec-13,103410904,40216862,1296989142,79482802,35601409,1261257414
(주)경방,50,Dec-14,101229398,37758471,1301841379,83665762,34615710,1275008413
(주)경방,50,Dec-15,108093423,52862910,1318643312,83760073,37595998,1259512344
(주)경방,50,Dec-16,106002223,45810493,1301910960,80538917,33656952,1237024388
(주)경방,50,Dec-17,90254697,31921285,1274042237,71472590,22476156,1199063663
(주)경방,50,Dec-18,120711492,59792825,1301792841,88159568,35574579,1226545382
(주)경방,50,Dec-19,264861016,31308041,1370742491,223798878,13959690,1296265431
(주)경보제약,214390,Dec-15,,,,105108130,49522277,195488457
(주)경보제약,214390,Dec-16,,,,102226920,47568951,203735980
(주)경보제약,214390,Dec-17,,,,110638039,47964422,204869399
(주)경보제약,214390,Dec-18,,,,128936315,53494316,221622993
(주)경보제약,214390,Dec-19,,,,124176490,62312499,237816742
(주)경인양행,12610,Dec-11,166259207,95390048,319596954,99039937,51423188,245825940
(주)경인양행,12610,Dec-12,146242797,70357744,287452678,94723927,38724208,241045608
(주)경인양행,12610,Dec-13,175887375,90667397,316944796,123143650,60685132,274570963
(주)경인양행,12610,Dec-14,164606526,89741323,313039125,107227115,57418066,267331084
(주)경인양행,12610,Dec-15,176664098,95494779,326687437,113173448,62450588,273778266
(주)경인양행,12610,Dec-16,191409058,99419770,344298515,126364739,66161603,290035389
(주)경인양행,12610,Dec-17,193184742,97118533,357951470,125062666,63955013,296909084
(주)경인양행,12610,Dec-18,234817064,123873222,412996589,165167110,86129207,344908257
(주)경인양행,12610,Dec-19,251884675,141253404,472081003,172620331,101010142,381063538
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,38542950,3329941,115881620
(주)고려시멘트,198440,Dec-18,,,,49955334,4242987,127536833
(주)고려시멘트,198440,Dec-19,,,,46591282,6942200,127035573
(주)고영테크놀러지,98460,Dec-11,63304178,14264259,87006201,61560094,13001882,87017886
(주)고영테크놀러지,98460,Dec-12,77857574,17763177,103351965,75787332,15164342,103019642
(주)고영테크놀러지,98460,Dec-13,94895999,20893135,120951617,93556579,17888953,121329325
(주)고영테크놀러지,98460,Dec-14,108649874,18090390,141720465,107119140,13344937,141873467
(주)고영테크놀러지,98460,Dec-15,121834639,19344915,158857627,124933566,12475503,160170850
(주)고영테크놀러지,98460,Dec-16,154891864,19563475,195121241,156029191,12591503,194332855
(주)고영테크놀러지,98460,Dec-17,161356541,22300525,205207385,159374622,12749777,205696350
(주)고영테크놀러지,98460,Dec-18,227563739,31398344,279059436,231667150,19487304,279985447
(주)고영테크놀러지,98460,Dec-19,225797248,36331529,305481184,229213476,21338197,308020011
(주)골드앤에스,35290,Dec-11,23477041,2865869,46677146,23165184,2865869,46347129
(주)골드앤에스,35290,Dec-12,26661256,2643834,51950606,27310447,2643834,51062616
(주)골드앤에스,35290,Dec-13,15792977,3133301,51442505,17985887,3133301,34508798
(주)골드앤에스,35290,Dec-14,15072221,2940734,46528474,15782408,2940734,28884288
(주)골드앤에스,35290,Dec-15,15364121,2329866,24102094,15122533,2329866,23597566
(주)골드앤에스,35290,Dec-16,8660668,1958738,18671644,8552277,1958738,18296141
(주)골드앤에스,35290,Dec-17,10831000,1057469,17173934,10974294,1057469,16994788
(주)골드앤에스,35290,Dec-18,21031370,1290682,42472631,21031370,1290682,42472631
(주)골드앤에스,35290,Dec-19,3910189,498013,16096170,3910189,498013,16096170
(주)골드퍼시픽,38530,Dec-11,,,,15105931,4047225,27473520
(주)골드퍼시픽,38530,Dec-12,,,,19029706,6326625,29861540
(주)골드퍼시픽,38530,Dec-13,16708814,6434511,33687572,15961156,5930685,30517744
(주)골드퍼시픽,38530,Dec-14,23894969,7662615,41948832,15761409,3617004,31936409
(주)골드퍼시픽,38530,Dec-15,14304863,1707754,28573328,14304863,1707754,27495738
(주)골드퍼시픽,38530,Dec-16,,,,5438550,55567,11122066
(주)골드퍼시픽,38530,Dec-17,,,,17215160,545070,26567967
(주)골드퍼시픽,38530,Dec-18,23990386,1607114,37825442,22006122,807960,37288362
(주)골드퍼시픽,38530,Dec-19,,,,28455147,3548341,72945743
(주)골프존,215000,Dec-15,81295773,3108991,178132253,71290784,1816661,171629353
(주)골프존,215000,Dec-16,89781733,12659642,187914226,75788492,11069054,177635830
(주)골프존,215000,Dec-17,160591890,13130013,253672419,142686039,10223995,239011847
(주)골프존,215000,Dec-18,145265354,10498417,254057808,134088763,7999910,254578679
(주)골프존,215000,Dec-19,81730468,10880176,312587283,70491340,7433871,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,276277197,5934952,378054302,249046740,5109784,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,267312187,17945664,540922890,267719852,16416317,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,280228001,32288277,637840057,315880696,31018699,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,176744598,30575929,762037240,174950116,29629196,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,97152205,23999862,767325175,45672526,0,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,102314350,33842758,760772930,63048320,0,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,117348020,40345794,756500949,46961353,0,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,99968915,51388491,774743339,59445798,0,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,125716505,48390470,776384700,30696570,0,537526345
(주)광림,14200,Dec-11,,,,49443117,25192191,86353051
(주)광림,14200,Dec-12,,,,53533329,27920478,89766075
(주)광림,14200,Dec-13,,,,66494275,20425937,101592603
(주)광림,14200,Dec-14,149961809,76887713,244886480,53880127,23384110,120284256
(주)광림,14200,Dec-15,,,,57623469,21555582,146338755
(주)광림,14200,Dec-16,88113464,26522759,229596737,51509785,21419610,152080347
(주)광림,14200,Dec-17,78175789,21761125,208058303,255751980,16099250,369582323
(주)광림,14200,Dec-18,75325405,25240021,187812629,145430179,19113946,236379465
(주)광림,14200,Dec-19,114526470,27735699,252468254,82568345,19396901,193568854
(주)광명전기,17040,Dec-11,70952226,12871667,123886511,50517306,8759316,99992644
(주)광명전기,17040,Dec-12,80616850,16291860,131064345,59736559,13110921,104218586
(주)광명전기,17040,Dec-13,78305715,14379994,120910764,64082992,12091794,105483729
(주)광명전기,17040,Dec-14,93730239,17009058,138580023,76850052,14489868,119791644
(주)광명전기,17040,Dec-15,83058514,12979421,131457603,63045495,10678955,107719518
(주)광명전기,17040,Dec-16,72296041,9214479,146859319,62147467,8920021,125405290
(주)광명전기,17040,Dec-17,72825667,9992851,152717140,64686772,9187768,128881408
(주)광명전기,17040,Dec-18,69980314,11273625,151823119,59981263,10944185,124159091
(주)광명전기,17040,Dec-19,87126906,7915758,156712705,77171530,7733607,140591786
(주)광무,29480,Dec-11,37578091,11126987,75946478,35909129,11126987,85836111
(주)광무,29480,Dec-12,23778931,7606817,55788602,16266767,5521700,60163490
(주)광무,29480,Dec-13,14314055,5105102,35384615,7025489,249281,28890332
(주)광무,29480,Dec-14,,,,9475626,230597,27862528
(주)광무,29480,Dec-15,,,,5286509,476695,21133216
(주)광무,29480,Dec-16,,,,11893960,714172,29089768
(주)광무,29480,Dec-17,,,,14949942,188668,28950503
(주)광무,29480,Dec-18,17301470,571473,28431748,12582516,286303,26017306
(주)광무,29480,Dec-19,39307761,505706,63139837,33233586,482591,57156720
(주)광주신세계,37710,Dec-11,,,,260854658,4949450,380753715
(주)광주신세계,37710,Dec-12,,,,287723501,4638113,430662968
(주)광주신세계,37710,Dec-13,,,,25873334,4415826,656355808
(주)광주신세계,37710,Dec-14,,,,24561635,4715758,652758688
(주)광주신세계,37710,Dec-15,,,,33510638,5113086,659495158
(주)광주신세계,37710,Dec-16,,,,32426270,5458472,655502726
(주)광주신세계,37710,Dec-17,,,,33243825,5384423,655018971
(주)광주신세계,37710,Dec-18,,,,77504431,2621451,696204982
(주)광주신세계,37710,Dec-19,,,,103160925,2790527,752423111
(주)구영테크,53270,Dec-11,58842369,15288601,149471330,40821654,5432585,94940916
(주)구영테크,53270,Dec-12,66346373,18805001,161163024,48964877,7326274,109440531
(주)구영테크,53270,Dec-13,53694228,17835115,149230187,36391962,7502946,97549406
(주)구영테크,53270,Dec-14,57115595,21780928,155857242,40628726,7997698,101546298
(주)구영테크,53270,Dec-15,58836903,19812030,161330950,41055597,6701810,102761141
(주)구영테크,53270,Dec-16,54139890,19802569,166748490,39434041,7727200,108895002
(주)구영테크,53270,Dec-17,64140319,20106730,187009683,52077454,8041927,139584386
(주)구영테크,53270,Dec-18,60744298,31595113,202572970,43158029,10320023,146492374
(주)구영테크,53270,Dec-19,70165074,34405094,206569873,37519675,9542656,141034767
(주)국동,5320,Dec-11,39415062,17915375,68162305,22715717,8071551,42291817
(주)국동,5320,Dec-12,39351863,16279648,65808287,17991148,8204282,35813125
(주)국동,5320,Dec-13,48642552,22892835,73040609,24414342,10064438,40194919
(주)국동,5320,Dec-14,60454108,22684183,89271398,36105772,8296174,53392996
(주)국동,5320,Dec-15,63906154,27935227,93758552,34533151,13730846,66242141
(주)국동,5320,Dec-16,83256355,31975546,124126720,51330735,15648099,86116813
(주)국동,5320,Dec-17,66343830,31470800,106307080,39587109,13096071,75154254
(주)국동,5320,Dec-18,83767312,32699651,123134702,46980024,11916220,80727956
(주)국동,5320,Dec-19,89543258,32361904,133723726,54839302,11271338,96856085
(주)국보,1140,Dec-11,41337436,675022,98869465,39894724,675022,97415381
(주)국보,1140,Dec-12,39130945,743450,98494841,36506928,743450,93953021
(주)국보,1140,Dec-13,37418409,748235,98315386,35691910,748235,94915572
(주)국보,1140,Dec-14,31669967,665254,91005502,30298511,665254,87597909
(주)국보,1140,Dec-15,26759792,413181,83085438,25758664,413181,80158667
(주)국보,1140,Dec-16,26046898,376717,81308887,24610414,376717,77487791
(주)국보,1140,Dec-17,18529522,405427,73270170,17793062,405427,69819240
(주)국보,1140,Dec-18,11759027,354646,48188113,11593846,354646,45599283
(주)국보,1140,Dec-19,70457619,43435168,115356448,17297097,338808,57467353
(주)국보디자인,66620,Dec-11,59455203,0,80200900,57200948,0,79203327
(주)국보디자인,66620,Dec-12,74341481,0,92877548,72788158,0,92873298
(주)국보디자인,66620,Dec-13,102871707,0,127902185,95233392,0,121964092
(주)국보디자인,66620,Dec-14,106963249,0,132011877,99218627,0,125685773
(주)국보디자인,66620,Dec-15,107093318,0,141089858,96703601,0,129037954
(주)국보디자인,66620,Dec-16,128985094,0,158452485,118586463,0,150830570
(주)국보디자인,66620,Dec-17,135628503,0,164381715,127549210,0,158317679
(주)국보디자인,66620,Dec-18,142346121,0,175036784,127871195,0,161750972
(주)국보디자인,66620,Dec-19,194818591,0,222514980,169956490,0,197762410
(주)국순당,43650,Dec-11,82405755,16285781,199135153,77580053,15071855,193849294
(주)국순당,43650,Dec-12,87400525,16139074,209729554,81287902,14906288,203489729
(주)국순당,43650,Dec-13,100545624,16182543,218115221,84404848,13577007,203199593
(주)국순당,43650,Dec-14,99291581,15332903,217479839,86268346,11886783,205782935
(주)국순당,43650,Dec-15,97221146,14869710,216587928,82905503,11788376,203528460
(주)국순당,43650,Dec-16,85261001,14890028,213004831,71906088,10940127,200077411
(주)국순당,43650,Dec-17,86651908,14274110,242199755,75544356,10134104,208832133
(주)국순당,43650,Dec-18,72906719,14888891,238619493,62941465,10860632,221229658
(주)국순당,43650,Dec-19,78834555,16017909,252484287,60930981,10459069,210006510
(주)국영지앤엠,6050,Dec-11,,,,25252313,1498155,61022765
(주)국영지앤엠,6050,Dec-12,,,,21149484,1588558,60197670
(주)국영지앤엠,6050,Dec-13,,,,25059260,1582228,63108054
(주)국영지앤엠,6050,Dec-14,,,,22615829,1796351,58995756
(주)국영지앤엠,6050,Dec-15,,,,27918404,1330780,63713392
(주)국영지앤엠,6050,Dec-16,,,,29575531,4059203,65670915
(주)국영지앤엠,6050,Dec-17,,,,29995395,3195981,66101002
(주)국영지앤엠,6050,Dec-18,,,,25138635,2641685,60335138
(주)국영지앤엠,6050,Dec-19,,,,32068324,2586636,68657302
(주)국전약품,307750,Dec-18,,,,,,
(주)국전약품,307750,Dec-19,,,,,,
(주)그래디언트,35080,Dec-11,278334197,40547172,777653618,24034151,0,521750143
(주)그래디언트,35080,Dec-12,240486033,34742521,739985481,14309378,0,482181596
(주)그래디언트,35080,Dec-13,979087606,68307862,1598503940,1714561,0,473264178
(주)그래디언트,35080,Dec-14,1142871354,80245551,1920350951,3742011,0,455860309
(주)그래디언트,35080,Dec-15,1337838696,138382962,2106702049,949479,0,475792856
(주)그래디언트,35080,Dec-16,1415600914,117903146,2073537018,395047,0,404583242
