회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별)
(주)국보디자인,66620,Dec-15,192608497,107093318,157657615,96703601
(주)국보디자인,66620,Dec-16,201410031,128985094,191620729,118586463
(주)국보디자인,66620,Dec-17,270658405,135628503,262522024,127549210
(주)국보디자인,66620,Dec-18,254259835,142346121,231093439,127871195
(주)국보디자인,66620,Dec-19,269005976,194818591,237054909,169956490
(주)국순당,43650,Dec-11,127686247,82405755,124279594,77580053
(주)국순당,43650,Dec-12,118697826,87400525,115146725,81287902
(주)국순당,43650,Dec-13,99173525,100545624,96140591,84404848
(주)국순당,43650,Dec-14,91863604,99291581,89173752,86268346
(주)국순당,43650,Dec-15,77443124,97221146,74955341,82905503
(주)국순당,43650,Dec-16,69701266,85261001,68425801,71906088
(주)국순당,43650,Dec-17,62761236,86651908,60087461,75544356
(주)국순당,43650,Dec-18,61496072,72906719,52679104,62941465
(주)국순당,43650,Dec-19,102095769,78834555,48045002,60930981
(주)국영지앤엠,6050,Dec-11,,,42569848,25252313
(주)국영지앤엠,6050,Dec-12,,,43781593,21149484
(주)국영지앤엠,6050,Dec-13,,,55789778,25059260
(주)국영지앤엠,6050,Dec-14,,,51491847,22615829
(주)국영지앤엠,6050,Dec-15,,,40107647,27918404
(주)국영지앤엠,6050,Dec-16,,,51456556,29575531
(주)국영지앤엠,6050,Dec-17,,,62861661,29995395
(주)국영지앤엠,6050,Dec-18,,,56301480,25138635
(주)국영지앤엠,6050,Dec-19,,,73013468,32068324
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,278334197,9501248,24034151
(주)그래디언트,35080,Dec-12,454225001,240486033,11150621,14309378
(주)그래디언트,35080,Dec-13,2930521926,979087606,7939840,1714561
(주)그래디언트,35080,Dec-14,3135027346,1142871354,7753595,3742011
(주)그래디언트,35080,Dec-15,3536848758,1337838696,12870821,949479
(주)그래디언트,35080,Dec-16,3845761388,1415600914,16516754,395047
(주)그래디언트,35080,Dec-17,3541486629,1229878565,12485184,3201309
(주)그래디언트,35080,Dec-18,3440906300,1261972833,12237889,2674301
(주)그래디언트,35080,Dec-19,3412333826,1206801338,8719700,208003
(주)그리티,204020,Dec-18,119259702,89112620,117056356,75670982
(주)그리티,204020,Dec-19,123079831,82603832,120984485,68611692
(주)그린플러스,186230,Dec-19,48831866,38480019,39502728,28574671
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,33914648,40662578,31754029
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,31615500,62774905,27371107
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,37636405,78917554,34350069
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,42966221,85992839,38669764
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,35391249,80102292,30726947
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,53825575,81859588,46676903
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,57916418,154761834,46766708
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,54651818,115619452,41265448
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,88978443,150777009,78199372
(주)금양,1570,Dec-11,109810009,73356949,100918699,50168793
(주)금양,1570,Dec-12,122905331,69850864,108275608,46841743
(주)금양,1570,Dec-13,156304448,90828722,132045280,60939478
(주)금양,1570,Dec-14,158550531,111767170,137946044,57627190
(주)금양,1570,Dec-15,158999533,116881516,152450369,63905239
(주)금양,1570,Dec-16,168681746,92604838,161001876,61611949
(주)금양,1570,Dec-17,180373683,130477254,150809075,58591469
(주)금양,1570,Dec-18,205441375,129420730,151676398,48188432
(주)금양,1570,Dec-19,172723864,130285368,135915020,61997758
(주)금호에이치티,214330,Dec-15,203071984,86522457,181779820,80694020
(주)금호에이치티,214330,Dec-16,208574892,90849794,189733826,92744392
(주)금호에이치티,214330,Dec-17,179707629,88316450,165485490,89724027
(주)금호에이치티,214330,Dec-18,209260006,155547300,189250383,138884192
(주)금호에이치티,214330,Dec-19,251095062,204929138,221734443,183830342
(주)금화피에스시,36190,Dec-11,,,82738193,65271945
(주)금화피에스시,36190,Dec-12,,,108224285,73807483
(주)금화피에스시,36190,Dec-13,166122419,89606593,156630832,78244379
(주)금화피에스시,36190,Dec-14,189631759,92403274,166948026,76794467
(주)금화피에스시,36190,Dec-15,235969690,121277555,196919865,103478978
(주)금화피에스시,36190,Dec-16,235018376,144728651,201547339,126330610
(주)금화피에스시,36190,Dec-17,205781841,158082025,174993150,141168180
(주)금화피에스시,36190,Dec-18,233326733,178015924,202098199,157919642
(주)금화피에스시,36190,Dec-19,209435314,184009183,179177462,152061849
(주)기가레인,49080,Dec-13,94791934,52670777,94055571,52867551
(주)기가레인,49080,Dec-14,95718992,42916021,95460665,42277551
(주)기가레인,49080,Dec-15,61576391,45758661,61254807,42133622
(주)기가레인,49080,Dec-16,75445071,46144283,70397030,43016521
(주)기가레인,49080,Dec-17,100131227,72343064,89874499,69139156
(주)기가레인,49080,Dec-18,124772205,97225166,114668638,93687799
(주)기가레인,49080,Dec-19,72769411,60133834,63361399,60124344
(주)기산텔레콤,35460,Dec-11,65679195,55476277,36332290,36475109
(주)기산텔레콤,35460,Dec-12,74315907,55620433,49240507,25695937
(주)기산텔레콤,35460,Dec-13,79463728,63696575,48367030,36537435
(주)기산텔레콤,35460,Dec-14,74512326,64834230,41612762,35605455
(주)기산텔레콤,35460,Dec-15,79710503,64461290,45712905,37184206
(주)기산텔레콤,35460,Dec-16,59172319,62942880,24679656,31145919
(주)기산텔레콤,35460,Dec-17,63467585,58352347,29568090,29268094
(주)기산텔레콤,35460,Dec-18,56445716,46536756,24864346,23094786
(주)기산텔레콤,35460,Dec-19,67054955,49053647,30545683,22585911
(주)까뮤이앤씨,13700,Dec-11,,,90048208,76964607
(주)까뮤이앤씨,13700,Dec-12,,,90976586,119571783
(주)까뮤이앤씨,13700,Dec-13,,,83568532,109233863
(주)까뮤이앤씨,13700,Dec-14,,,123567918,34559227
(주)까뮤이앤씨,13700,Dec-15,,,132370311,62979800
(주)까뮤이앤씨,13700,Dec-16,,,139708060,45642684
(주)까뮤이앤씨,13700,Dec-17,,,172176860,41210840
(주)까뮤이앤씨,13700,Dec-18,,,116296828,42850829
(주)까뮤이앤씨,13700,Dec-19,,,283420655,74633980
(주)까스텔바작,308100,Dec-19,81358617,66201004,81068234,66187581
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,49781287,14881694,28103516
(주)나노,187790,Dec-16,48175171,34297077,18480121,18258906
(주)나노,187790,Dec-17,73089292,42822418,29944292,23979304
(주)나노,187790,Dec-18,81942719,51117840,34238747,21311661
(주)나노,187790,Dec-19,73694955,49148522,38421023,26750864
(주)나노브릭,286750,Dec-19,7775408,11714243,7775408,11714243
