회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결),판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)경동인베스트,12320,Dec-18,228644016,171130400,18301003,397867310,407855604,7460898,3635575,3987138,310422538,310422538
(주)경동인베스트,12320,Dec-19,271765025,223338232,26467287,414533638,414533638,8641051,3929209,4807448,308309156,308309156
(주)경방,50,Dec-11,348136369,258814443,67262415,629704391,629704391,275746943,246411496,6758633,676624221,676624221
(주)경방,50,Dec-12,333620804,260837041,65529821,620704205,620704205,265409209,250600103,6568491,669735441,669735441
(주)경방,50,Dec-13,347189559,251468225,59689595,636438555,636438555,264782077,223418883,5461080,685569176,685569176
(주)경방,50,Dec-14,329036023,238357806,60060060,647668814,647668814,256979444,209067504,15816417,651570419,651570419
(주)경방,50,Dec-15,357628146,255868653,62797982,662952918,662952918,307744480,209467360,59647194,671770865,671770865
(주)경방,50,Dec-16,377445013,268352680,65655764,679843399,679843399,313876822,210095763,61204284,690245544,690245544
(주)경방,50,Dec-17,360788750,253442168,65037350,699134073,699134073,288103985,188372022,60320796,710964923,710964923
(주)경방,50,Dec-18,351438926,244043108,66416067,708769347,708769347,279085217,177815403,62297979,729185709,729185709
(주)경방,50,Dec-19,343892085,244396020,67475534,741553199,741553199,253552382,151563044,63022915,740731873,740731873
(주)경보제약,214390,Dec-15,,,,,,178032632,129475387,22924910,122817151,122817151
(주)경보제약,214390,Dec-16,,,,,,186726170,142622767,28509177,129402340,129402340
(주)경보제약,214390,Dec-17,,,,,,191661374,137038683,30036042,141509596,141509596
(주)경보제약,214390,Dec-18,,,,,,201343596,152082417,31994604,149012165,149012165
(주)경보제약,214390,Dec-19,,,,,,191706189,150990036,34522080,149163504,149163504
(주)경인양행,12610,Dec-11,233095049,198818643,27923263,176292506,176292506,128707611,109831813,16999541,158882273,158882273
(주)경인양행,12610,Dec-12,218604655,190167857,24795532,174988685,174988685,141304459,120613769,17683856,162112825,162112825
(주)경인양행,12610,Dec-13,260808400,217483383,32179075,189744314,189744314,183106757,147883856,23144838,178074513,178074513
(주)경인양행,12610,Dec-14,277181095,228191361,34896569,198238667,198238667,190395047,153646031,25778430,186433506,186433506
(주)경인양행,12610,Dec-15,263163677,220123025,36322519,201125304,201125304,175006703,148385606,26546410,185903130,185903130
(주)경인양행,12610,Dec-16,274873817,228042128,36254507,208293196,208293196,179267850,150776725,26292972,191021720,191021720
(주)경인양행,12610,Dec-17,299987729,252841704,39781229,210934933,210934933,193975818,164845854,28970760,190844102,190844102
(주)경인양행,12610,Dec-18,331102011,255365574,56045269,223759383,223759383,222659442,169805543,40878853,198237400,198237400
(주)경인양행,12610,Dec-19,358802386,274054354,61192976,237433141,237433141,245244968,188265694,42802896,201086327,201086327
(주)고려시멘트,198440,Dec-14,,,,,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,,,,,
(주)고려시멘트,198440,Dec-17,,,,,,87660276,75974602,8668053,77394108,77394108
(주)고려시멘트,198440,Dec-18,,,,,,85775723,73108112,8830048,86510962,86510962
(주)고려시멘트,198440,Dec-19,,,,,,70921781,65599490,5781918,88445378,88445378
(주)고영테크놀러지,98460,Dec-11,86130810,36970902,31057560,69622726,69622726,80200892,34339828,26842213,70382391,70382391
(주)고영테크놀러지,98460,Dec-12,107841666,46349851,40048530,83401095,83401095,100791139,46250331,34182337,84090906,84090906
(주)고영테크놀러지,98460,Dec-13,111902729,49977494,45151797,98319609,98319609,103933681,48746666,37408143,100051693,100051693
(주)고영테크놀러지,98460,Dec-14,142840131,60262407,54422413,115835240,115835240,135531589,61382298,46420035,118348519,118348519
(주)고영테크놀러지,98460,Dec-15,145904431,56896177,65558661,131475647,131475647,138554625,56961633,55420485,133570714,133570714
(주)고영테크놀러지,98460,Dec-16,171793841,63856136,74753217,157267580,157267580,153254768,61186100,61028848,157572806,157572806
(주)고영테크놀러지,98460,Dec-17,203368626,71899522,87720199,161317171,161317171,188934907,73639302,69782520,164836232,164836232
(주)고영테크놀러지,98460,Dec-18,238208865,89336707,102888841,225866639,225866639,219818022,88093203,85527985,229271175,229271175
(주)고영테크놀러지,98460,Dec-19,222057035,80865005,107860718,243668528,243668528,209480760,81602341,87820454,252020628,252020628
(주)골드앤에스,35290,Dec-11,47522791,32544786,13406161,22436829,22436829,47522791,33020367,12842845,22637807,22637807
(주)골드앤에스,35290,Dec-12,43889087,31012456,15207506,25517817,25517817,43889087,31475407,14776821,26252682,26252682
(주)골드앤에스,35290,Dec-13,39548810,28127986,17913933,13127355,13127355,36607591,26382626,15207067,9813150,9813150
(주)골드앤에스,35290,Dec-14,31287203,23453716,10913085,12082621,12082621,29428881,21706823,10040836,9084260,9084260
(주)골드앤에스,35290,Dec-15,22197935,15199451,5854717,15160254,15160254,22197935,15542053,5593861,14991660,14991660
(주)골드앤에스,35290,Dec-16,15893494,9347753,6143671,14268527,13462426,15893494,9636887,5866965,14102143,13296043
(주)골드앤에스,35290,Dec-17,12802035,8002687,8493390,13346076,13346076,12802035,8220762,8271390,13104737,13104737
(주)골드앤에스,35290,Dec-18,8680452,4405757,8941725,13779569,12576392,8680452,4348267,8891313,13867013,12663837
(주)골드앤에스,35290,Dec-19,7642733,6293120,8491730,-5091573,-5091573,7642733,6293120,8491730,-5001092,-5001092
(주)골드퍼시픽,38530,Dec-11,,,,,,11236925,6637040,2281112,21829724,21829724
(주)골드퍼시픽,38530,Dec-12,,,,,22928402,10491048,7335464,2428682,22928402,22928402
(주)골드퍼시픽,38530,Dec-13,7167832,8242393,5063021,16190999,16190999,6488691,7623009,4450221,17116411,17116411
