회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-11,5934952,276277197,5109784,249046740
(주)골프존뉴딘홀딩스,121440,Dec-12,17945664,267312187,16416317,267719852
(주)골프존뉴딘홀딩스,121440,Dec-13,32288277,280228001,31018699,315880696
(주)골프존뉴딘홀딩스,121440,Dec-14,30575929,176744598,29629196,174950116
(주)골프존뉴딘홀딩스,121440,Dec-15,23999862,97152205,0,45672526
(주)골프존뉴딘홀딩스,121440,Dec-16,33842758,102314350,0,63048320
(주)골프존뉴딘홀딩스,121440,Dec-17,40345794,117348020,0,46961353
(주)골프존뉴딘홀딩스,121440,Dec-18,51388491,99968915,0,59445798
(주)골프존뉴딘홀딩스,121440,Dec-19,48390470,125716505,0,30696570
(주)광림,14200,Dec-11,,,25192191,49443117
(주)광림,14200,Dec-12,,,27920478,53533329
(주)광림,14200,Dec-13,,,20425937,66494275
(주)광림,14200,Dec-14,76887713,149961809,23384110,53880127
(주)광림,14200,Dec-15,,,21555582,57623469
(주)광림,14200,Dec-16,26522759,88113464,21419610,51509785
(주)광림,14200,Dec-17,21761125,78175789,16099250,255751980
(주)광림,14200,Dec-18,25240021,75325405,19113946,145430179
(주)광림,14200,Dec-19,27735699,114526470,19396901,82568345
(주)광명전기,17040,Dec-11,12871667,70952226,8759316,50517306
(주)광명전기,17040,Dec-12,16291860,80616850,13110921,59736559
(주)광명전기,17040,Dec-13,14379994,78305715,12091794,64082992
(주)광명전기,17040,Dec-14,17009058,93730239,14489868,76850052
(주)광명전기,17040,Dec-15,12979421,83058514,10678955,63045495
(주)광명전기,17040,Dec-16,9214479,72296041,8920021,62147467
(주)광명전기,17040,Dec-17,9992851,72825667,9187768,64686772
(주)광명전기,17040,Dec-18,11273625,69980314,10944185,59981263
(주)광명전기,17040,Dec-19,7915758,87126906,7733607,77171530
(주)광무,29480,Dec-11,11126987,37578091,11126987,35909129
(주)광무,29480,Dec-12,7606817,23778931,5521700,16266767
(주)광무,29480,Dec-13,5105102,14314055,249281,7025489
(주)광무,29480,Dec-14,,,230597,9475626
(주)광무,29480,Dec-15,,,476695,5286509
(주)광무,29480,Dec-16,,,714172,11893960
(주)광무,29480,Dec-17,,,188668,14949942
(주)광무,29480,Dec-18,571473,17301470,286303,12582516
(주)광무,29480,Dec-19,505706,39307761,482591,33233586
(주)광주신세계,37710,Dec-11,,,4949450,260854658
(주)광주신세계,37710,Dec-12,,,4638113,287723501
(주)광주신세계,37710,Dec-13,,,4415826,25873334
