회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별)
(주)경인양행,12610,Dec-19,141253404,141253404,101010142,101010142
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,3329941,3329941
(주)고려시멘트,198440,Dec-18,,,4242987,4242987
(주)고려시멘트,198440,Dec-19,,,6942200,6942200
(주)고영테크놀러지,98460,Dec-11,14264259,14264259,13001882,13001882
(주)고영테크놀러지,98460,Dec-12,17763177,17763177,15164342,15164342
(주)고영테크놀러지,98460,Dec-13,20893135,20893135,17888953,17888953
(주)고영테크놀러지,98460,Dec-14,18090390,18090390,13344937,13344937
(주)고영테크놀러지,98460,Dec-15,19344915,19344915,12475503,12475503
(주)고영테크놀러지,98460,Dec-16,19563475,19563475,12591503,12591503
(주)고영테크놀러지,98460,Dec-17,22300525,22300525,12749777,12749777
(주)고영테크놀러지,98460,Dec-18,31398344,31398344,19487304,19487304
(주)고영테크놀러지,98460,Dec-19,36331529,36331529,21338197,21338197
(주)골드앤에스,35290,Dec-11,2865869,2865869,2865869,2865869
(주)골드앤에스,35290,Dec-12,2643834,2643834,2643834,2643834
(주)골드앤에스,35290,Dec-13,3133301,3133301,3133301,3133301
(주)골드앤에스,35290,Dec-14,2940734,2940734,2940734,2940734
(주)골드앤에스,35290,Dec-15,2329866,2329866,2329866,2329866
(주)골드앤에스,35290,Dec-16,1958738,1958738,1958738,1958738
(주)골드앤에스,35290,Dec-17,1057469,1057469,1057469,1057469
(주)골드앤에스,35290,Dec-18,1290682,1290682,1290682,1290682
(주)골드앤에스,35290,Dec-19,498013,498013,498013,498013
(주)골드퍼시픽,38530,Dec-11,,,4047225,4047225
(주)골드퍼시픽,38530,Dec-12,,6326625,6326625,6326625
(주)골드퍼시픽,38530,Dec-13,6434511,6434511,5930685,5930685
(주)골드퍼시픽,38530,Dec-14,7662615,7662615,3617004,3617004
(주)골드퍼시픽,38530,Dec-15,1707754,,1707754,1707754
(주)골드퍼시픽,38530,Dec-16,,,55567,55567
(주)골드퍼시픽,38530,Dec-17,,545070,545070,545070
(주)골드퍼시픽,38530,Dec-18,1607114,,807960,1607114
(주)골드퍼시픽,38530,Dec-19,,,3548341,3548341
(주)골프존,215000,Dec-15,3108991,3108991,1816661,1816661
(주)골프존,215000,Dec-16,12659642,12659642,11069054,11069054
(주)골프존,215000,Dec-17,13130013,13130013,10223995,10223995
(주)골프존,215000,Dec-18,10498417,10498417,7999910,7999910
(주)골프존,215000,Dec-19,10880176,10880176,7433871,7433871
(주)골프존뉴딘홀딩스,121440,Dec-11,5934952,5934952,5109784,5109784
(주)골프존뉴딘홀딩스,121440,Dec-12,17945664,17945664,16416317,16416317
(주)골프존뉴딘홀딩스,121440,Dec-13,32288277,32288277,31018699,31018699
(주)골프존뉴딘홀딩스,121440,Dec-14,30575929,30575929,29629196,29629196
(주)골프존뉴딘홀딩스,121440,Dec-15,23999862,23999862,0,0
(주)골프존뉴딘홀딩스,121440,Dec-16,33842758,33842758,0,0
(주)골프존뉴딘홀딩스,121440,Dec-17,40345794,40345794,0,0
(주)골프존뉴딘홀딩스,121440,Dec-18,51388491,51388491,0,0
(주)골프존뉴딘홀딩스,121440,Dec-19,48390470,48390470,0,0
(주)광림,14200,Dec-11,,,25192191,25192191
(주)광림,14200,Dec-12,,,27920478,27920478
(주)광림,14200,Dec-13,,20425937,20425937,20425937
(주)광림,14200,Dec-14,76887713,,23384110,76887713
(주)광림,14200,Dec-15,,21555582,21555582,21555582
(주)광림,14200,Dec-16,26522759,26345845,21419610,21419610
(주)광림,14200,Dec-17,21761125,21761125,16099250,16099250
(주)광림,14200,Dec-18,25240021,25240021,19113946,19113946
(주)광림,14200,Dec-19,27735699,27735699,19396901,19396901
(주)광명전기,17040,Dec-11,12871667,12871667,8759316,8759316
(주)광명전기,17040,Dec-12,16291860,16291860,13110921,13110921
(주)광명전기,17040,Dec-13,14379994,14379994,12091794,12091794
(주)광명전기,17040,Dec-14,17009058,17009058,14489868,14489868
(주)광명전기,17040,Dec-15,12979421,12979421,10678955,10678955
(주)광명전기,17040,Dec-16,9214479,9214479,8920021,8920021
(주)광명전기,17040,Dec-17,9992851,9992851,9187768,9187768
(주)광명전기,17040,Dec-18,11273625,11273625,10944185,10944185
(주)광명전기,17040,Dec-19,7915758,7915758,7733607,7733607
(주)광무,29480,Dec-11,11126987,11126987,11126987,11126987
(주)광무,29480,Dec-12,7606817,7606817,5521700,5521700
(주)광무,29480,Dec-13,5105102,,249281,5105102
(주)광무,29480,Dec-14,,,230597,230597
(주)광무,29480,Dec-15,,,476695,476695
(주)광무,29480,Dec-16,,,714172,714172
(주)광무,29480,Dec-17,,188668,188668,188668
(주)광무,29480,Dec-18,571473,571473,286303,286303
(주)광무,29480,Dec-19,505706,505706,482591,482591
(주)광주신세계,37710,Dec-11,,,4949450,4949450
(주)광주신세계,37710,Dec-12,,,4638113,4638113
(주)광주신세계,37710,Dec-13,,,4415826,4415826
(주)광주신세계,37710,Dec-14,,,4715758,4715758
(주)광주신세계,37710,Dec-15,,,5113086,5113086
(주)광주신세계,37710,Dec-16,,,5458472,5458472
(주)광주신세계,37710,Dec-17,,,5384423,5384423
(주)광주신세계,37710,Dec-18,,,2621451,2621451
(주)광주신세계,37710,Dec-19,,,2790527,2790527
(주)구영테크,53270,Dec-11,15288601,15288601,5432585,5432585
(주)구영테크,53270,Dec-12,18805001,18805001,7326274,7326274
(주)구영테크,53270,Dec-13,17835115,17835115,7502946,7502946
(주)구영테크,53270,Dec-14,21780928,21780928,7997698,7997698
(주)구영테크,53270,Dec-15,19812030,19812030,6701810,6701810
(주)구영테크,53270,Dec-16,19802569,19802569,7727200,7727200
(주)구영테크,53270,Dec-17,20106730,20106730,8041927,8041927
(주)구영테크,53270,Dec-18,31595113,31595113,10320023,10320023
(주)구영테크,53270,Dec-19,34405094,34405094,9542656,9542656
(주)국동,5320,Dec-11,17915375,17915375,8071551,8071551
(주)국동,5320,Dec-12,16279648,16279648,8204282,8204282
(주)국동,5320,Dec-13,22892835,22892835,10064438,10064438
(주)국동,5320,Dec-14,22684183,22684183,8296174,8296174
(주)국동,5320,Dec-15,27935227,27935227,13730846,13730846
(주)국동,5320,Dec-16,31975546,31975546,15648099,15648099
(주)국동,5320,Dec-17,31470800,31470800,13096071,13096071
(주)국동,5320,Dec-18,32699651,32699651,11916220,11916220
(주)국동,5320,Dec-19,32361904,32361904,11271338,11271338
(주)국보,1140,Dec-11,675022,675022,675022,675022
(주)국보,1140,Dec-12,743450,,743450,743450
(주)국보,1140,Dec-13,748235,748235,748235,748235
(주)국보,1140,Dec-14,665254,665254,665254,665254
(주)국보,1140,Dec-15,413181,413181,413181,413181
(주)국보,1140,Dec-16,376717,376717,376717,376717
(주)국보,1140,Dec-17,405427,405427,405427,405427
(주)국보,1140,Dec-18,354646,354646,354646,354646
(주)국보,1140,Dec-19,43435168,43435168,338808,338808
(주)국보디자인,66620,Dec-11,0,0,0,0
(주)국보디자인,66620,Dec-12,0,0,0,0
(주)국보디자인,66620,Dec-13,0,0,0,0
(주)국보디자인,66620,Dec-14,0,0,0,0
(주)국보디자인,66620,Dec-15,0,0,0,0
(주)국보디자인,66620,Dec-16,0,0,0,0
(주)국보디자인,66620,Dec-17,0,0,0,0
(주)국보디자인,66620,Dec-18,0,0,0,0
(주)국보디자인,66620,Dec-19,0,0,0,0
(주)국순당,43650,Dec-11,16285781,16285781,15071855,15071855
(주)국순당,43650,Dec-12,16139074,16139074,14906288,14906288
(주)국순당,43650,Dec-13,16182543,16182543,13577007,13577007
(주)국순당,43650,Dec-14,15332903,15332903,11886783,11886783
(주)국순당,43650,Dec-15,14869710,14869710,11788376,11788376
(주)국순당,43650,Dec-16,14890028,14890028,10940127,10940127
(주)국순당,43650,Dec-17,14274110,14498642,10134104,10134104
(주)국순당,43650,Dec-18,14888891,14888891,10860632,10860632
(주)국순당,43650,Dec-19,16017909,14782314,10459069,10708059
(주)국영지앤엠,6050,Dec-11,,,1498155,1498155
(주)국영지앤엠,6050,Dec-12,,,1588558,1588558
(주)국영지앤엠,6050,Dec-13,,,1582228,1582228
(주)국영지앤엠,6050,Dec-14,,,1796351,1796351
(주)국영지앤엠,6050,Dec-15,,,1330780,1330780
(주)국영지앤엠,6050,Dec-16,,,4059203,4059203
(주)국영지앤엠,6050,Dec-17,,,3195981,3195981
(주)국영지앤엠,6050,Dec-18,,,2641685,2641685
(주)국영지앤엠,6050,Dec-19,,,2586636,2586636
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,40547172,40547172,0,0
(주)그래디언트,35080,Dec-12,34742521,57657233,0,0
(주)그래디언트,35080,Dec-13,68307862,68307862,0,0
(주)그래디언트,35080,Dec-14,80245551,80245551,0,0
(주)그래디언트,35080,Dec-15,138382962,138382962,0,0
(주)그래디언트,35080,Dec-16,117903146,117903146,0,0
(주)그래디언트,35080,Dec-17,137969792,137969792,0,0
(주)그래디언트,35080,Dec-18,166911756,166911756,0,0
(주)그래디언트,35080,Dec-19,85519268,85519268,0,0
(주)그리티,204020,Dec-18,40441857,40441857,30715245,30715245
(주)그리티,204020,Dec-19,42201748,42201748,32650635,32650635
(주)그린플러스,186230,Dec-19,6019316,6019316,5842839,5842839
(주)글로벌스탠다드테크놀로지,83450,Dec-11,14561368,14561368,13226235,13226235
(주)글로벌스탠다드테크놀로지,83450,Dec-12,17354428,17354428,15560311,15560311
(주)글로벌스탠다드테크놀로지,83450,Dec-13,17043649,17043649,15483578,15483578
(주)글로벌스탠다드테크놀로지,83450,Dec-14,13254999,13254999,11786134,11786134
(주)글로벌스탠다드테크놀로지,83450,Dec-15,9698920,9698920,8283238,8283238
(주)글로벌스탠다드테크놀로지,83450,Dec-16,23047266,23047266,19337480,19337480
(주)글로벌스탠다드테크놀로지,83450,Dec-17,22852794,22852794,17981798,17981798
(주)글로벌스탠다드테크놀로지,83450,Dec-18,18514976,18514976,11906377,11906377
(주)글로벌스탠다드테크놀로지,83450,Dec-19,21844307,21844307,17832463,17832463
(주)금비,8870,Sep-11,17161712,17161712,8615791,8615791
(주)금비,8870,Sep-12,17526440,17526440,8411396,8411396
(주)금비,8870,Sep-13,18026426,18026426,9421859,9421859
(주)금비,8870,Sep-14,16905269,16905269,8328456,8328456
(주)금비,8870,Sep-15,16838525,16838525,9095497,9095497
(주)금비,8870,Sep-16,18552822,18552822,10069163,10069163
(주)금비,8870,Sep-17,17332784,17332784,8904859,8904859
(주)금비,8870,Sep-18,17758613,17758613,8554261,8554261
(주)금비,8870,Sep-19,17199098,17199098,8980570,8980570
(주)금양,1570,Dec-11,14236426,14236426,6884124,6884124
(주)금양,1570,Dec-12,13739318,13739318,7118999,7118999
(주)금양,1570,Dec-13,20839381,20839381,8359928,8359928
(주)금양,1570,Dec-14,25271205,25271205,10954973,10954973
(주)금양,1570,Dec-15,21613668,21613668,9434413,9434413
(주)금양,1570,Dec-16,19103181,19103181,6869584,6869584
(주)금양,1570,Dec-17,22603043,22603043,8612918,8612918
(주)금양,1570,Dec-18,24409366,24409366,8960870,8960870
(주)금양,1570,Dec-19,27024408,27024408,10501788,10501788
(주)금호에이치티,214330,Dec-15,28696569,28696569,20906519,20906519
(주)금호에이치티,214330,Dec-16,30299760,30299760,20950659,20950659
(주)금호에이치티,214330,Dec-17,31489881,31489881,21605544,21605544
(주)금호에이치티,214330,Dec-18,49440535,49440535,31971852,31971852
(주)금호에이치티,214330,Dec-19,48755715,48755715,31972894,31972894
(주)금화피에스시,36190,Dec-11,,,0,0
(주)금화피에스시,36190,Dec-12,,0,0,0
(주)금화피에스시,36190,Dec-13,211891,211891,0,0
(주)금화피에스시,36190,Dec-14,650775,650775,0,0
(주)금화피에스시,36190,Dec-15,572369,572369,0,0
(주)금화피에스시,36190,Dec-16,832281,832281,0,0
(주)금화피에스시,36190,Dec-17,1035746,1035746,0,0
(주)금화피에스시,36190,Dec-18,1139754,1139754,0,0
(주)금화피에스시,36190,Dec-19,1217558,1217558,0,0
(주)기가레인,49080,Dec-13,10704669,10704669,10634480,10634480
(주)기가레인,49080,Dec-14,11467784,11467784,11226248,11226248
(주)기가레인,49080,Dec-15,8173832,8173832,6815349,6815349
(주)기가레인,49080,Dec-16,7789794,7789794,5755900,5755900
(주)기가레인,49080,Dec-17,24300940,24300940,22471865,22471865
(주)기가레인,49080,Dec-18,37262134,37262134,35715541,35715541
(주)기가레인,49080,Dec-19,17628230,17628230,15205943,15205943
(주)기산텔레콤,35460,Dec-11,18767251,18767251,10909684,10909684
(주)기산텔레콤,35460,Dec-12,13259612,13259612,5331514,5331514
(주)기산텔레콤,35460,Dec-13,15151600,15151600,5894529,5894529
(주)기산텔레콤,35460,Dec-14,22011486,22011486,5456977,5456977
(주)기산텔레콤,35460,Dec-15,18183749,18183749,4919930,4919930
(주)기산텔레콤,35460,Dec-16,17338891,17338891,4378274,4378274
(주)기산텔레콤,35460,Dec-17,21211655,21211655,7924502,7924502
(주)기산텔레콤,35460,Dec-18,19445191,19445191,3963378,3963378
(주)기산텔레콤,35460,Dec-19,20148676,20148676,3162634,3162634
(주)까뮤이앤씨,13700,Dec-11,,,4678067,4678067
(주)까뮤이앤씨,13700,Dec-12,,,5293572,5293572
(주)까뮤이앤씨,13700,Dec-13,,,1151053,1151053
(주)까뮤이앤씨,13700,Dec-14,,,1514376,1514376
(주)까뮤이앤씨,13700,Dec-15,,,1396884,1396884
(주)까뮤이앤씨,13700,Dec-16,,,1361867,1361867
(주)까뮤이앤씨,13700,Dec-17,,,1477286,1477286
(주)까뮤이앤씨,13700,Dec-18,,,1984047,1984047
(주)까뮤이앤씨,13700,Dec-19,,,1224883,1224883
(주)까스텔바작,308100,Dec-19,37141130,37141130,37141130,37141130
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,19870176,19870176,11643170,11643170
(주)나노,187790,Dec-16,15952670,15952670,7609827,7609827
(주)나노,187790,Dec-17,20989648,20989648,6727280,6727280
(주)나노,187790,Dec-18,23400275,23400275,7901458,7901458
(주)나노,187790,Dec-19,21584379,21584379,9169186,9169186
(주)나노브릭,286750,Dec-19,1921947,,1921947,1921947
(주)나노신소재,121600,Dec-11,26824943,26824943,26824943,26824943
(주)나노신소재,121600,Dec-12,27117909,27117909,27117909,27117909
(주)나노신소재,121600,Dec-13,26850873,26850873,26850873,26850873
(주)나노신소재,121600,Dec-14,31359550,31359550,31359550,31359550
(주)나노신소재,121600,Dec-15,29013917,29013917,29013917,29013917
(주)나노신소재,121600,Dec-16,29895861,29895861,29895861,29895861
(주)나노신소재,121600,Dec-17,30968835,30968835,30968835,30968835
