회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)경동인베스트,12320,Dec-14,18386682,766552554,550250914,1014437,631297926,0
(주)경동인베스트,12320,Dec-15,8347076,571798491,392919112,958537,459634757,0
(주)경동인베스트,12320,Dec-16,10949433,508994824,337654347,1016660,394847821,0
(주)경동인베스트,12320,Dec-17,14232992,238339688,77526863,0,110951332,0
(주)경동인베스트,12320,Dec-18,30703229,188460289,78414333,87903,44742051,0
(주)경동인베스트,12320,Dec-19,30814751,236475693,84662496,176596,44653640,0
(주)경방,50,Dec-11,72996830,138673371,406687562,71422892,123787600,0
(주)경방,50,Dec-12,52907652,123685731,164949423,50300747,101710997,0
(주)경방,50,Dec-13,40216862,103410904,135215333,35601409,79482802,0
(주)경방,50,Dec-14,37758471,101229398,409405729,34615710,83665762,0
(주)경방,50,Dec-15,52862910,108093423,185946014,37595998,83760073,0
(주)경방,50,Dec-16,45810493,106002223,155435755,33656952,80538917,0
(주)경방,50,Dec-17,31921285,90254697,319476563,22476156,71472590,0
(주)경방,50,Dec-18,59792825,120711492,163151849,35574579,88159568,0
(주)경방,50,Dec-19,31308041,264861016,192380293,13959690,223798878,0
(주)경보제약,214390,Dec-15,,,,49522277,105108130,0
(주)경보제약,214390,Dec-16,,,,47568951,102226920,0
(주)경보제약,214390,Dec-17,,,,47964422,110638039,0
(주)경보제약,214390,Dec-18,,,,53494316,128936315,0
(주)경보제약,214390,Dec-19,,,,62312499,124176490,0
(주)경인양행,12610,Dec-11,95390048,166259207,107188765,51423188,99039937,0
(주)경인양행,12610,Dec-12,70357744,146242797,94090486,38724208,94723927,0
(주)경인양행,12610,Dec-13,90667397,175887375,108289018,60685132,123143650,0
(주)경인양행,12610,Dec-14,89741323,164606526,86323503,57418066,107227115,0
(주)경인양행,12610,Dec-15,95494779,176664098,109310448,62450588,113173448,0
(주)경인양행,12610,Dec-16,99419770,191409058,119502456,66161603,126364739,0
(주)경인양행,12610,Dec-17,97118533,193184742,124353660,63955013,125062666,0
(주)경인양행,12610,Dec-18,123873222,234817064,156924274,86129207,165167110,0
(주)경인양행,12610,Dec-19,141253404,251884675,192593606,101010142,172620331,0
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,3329941,38542950,0
(주)고려시멘트,198440,Dec-18,,,,4242987,49955334,0
(주)고려시멘트,198440,Dec-19,,,,6942200,46591282,0
(주)고영테크놀러지,98460,Dec-11,14264259,63304178,14902695,13001882,61560094,0
(주)고영테크놀러지,98460,Dec-12,17763177,77857574,15604806,15164342,75787332,0
(주)고영테크놀러지,98460,Dec-13,20893135,94895999,17831243,17888953,93556579,0
(주)고영테크놀러지,98460,Dec-14,18090390,108649874,20476391,13344937,107119140,0
(주)고영테크놀러지,98460,Dec-15,19344915,121834639,21007557,12475503,124933566,0
(주)고영테크놀러지,98460,Dec-16,19563475,154891864,27477608,12591503,156029191,0
(주)고영테크놀러지,98460,Dec-17,22300525,161356541,32283948,12749777,159374622,0
(주)고영테크놀러지,98460,Dec-18,31398344,227563739,40471875,19487304,231667150,0
(주)고영테크놀러지,98460,Dec-19,36331529,225797248,38413935,21338197,229213476,0
(주)골드앤에스,35290,Dec-11,2865869,23477041,21734828,2865869,23165184,0
(주)골드앤에스,35290,Dec-12,2643834,26661256,20697748,2643834,27310447,0
(주)골드앤에스,35290,Dec-13,3133301,15792977,29802347,3133301,17985887,0
(주)골드앤에스,35290,Dec-14,2940734,15072221,25047175,2940734,15782408,0
(주)골드앤에스,35290,Dec-15,2329866,15364121,7942854,2329866,15122533,0
(주)골드앤에스,35290,Dec-16,1958738,8660668,3670098,1958738,8552277,0
(주)골드앤에스,35290,Dec-17,1057469,10831000,3198537,1057469,10974294,0
(주)골드앤에스,35290,Dec-18,1290682,21031370,28003279,1290682,21031370,0
(주)골드앤에스,35290,Dec-19,498013,3910189,21055498,498013,3910189,0
(주)골드퍼시픽,38530,Dec-11,,,,4047225,15105931,0
(주)골드퍼시픽,38530,Dec-12,,,,6326625,19029706,0
(주)골드퍼시픽,38530,Dec-13,6434511,16708814,10776770,5930685,15961156,0
(주)골드퍼시픽,38530,Dec-14,7662615,23894969,17941676,3617004,15761409,0
(주)골드퍼시픽,38530,Dec-15,1707754,14304863,4089090,1707754,14304863,0
(주)골드퍼시픽,38530,Dec-16,,,,55567,5438550,0
(주)골드퍼시픽,38530,Dec-17,,,,545070,17215160,0
(주)골드퍼시픽,38530,Dec-18,1607114,23990386,12191199,807960,22006122,0
(주)골드퍼시픽,38530,Dec-19,,,,3548341,28455147,0
(주)골프존,215000,Dec-15,3108991,81295773,50803120,1816661,71290784,0
(주)골프존,215000,Dec-16,12659642,89781733,56451253,11069054,75788492,0
(주)골프존,215000,Dec-17,13130013,160591890,51918381,10223995,142686039,0
(주)골프존,215000,Dec-18,10498417,145265354,54339957,7999910,134088763,0
(주)골프존,215000,Dec-19,10880176,81730468,61066134,7433871,70491340,0
(주)골프존뉴딘홀딩스,121440,Dec-11,5934952,276277197,27175102,5109784,249046740,0
(주)골프존뉴딘홀딩스,121440,Dec-12,17945664,267312187,127906398,16416317,267719852,0
(주)골프존뉴딘홀딩스,121440,Dec-13,32288277,280228001,210617017,31018699,315880696,110530
(주)골프존뉴딘홀딩스,121440,Dec-14,30575929,176744598,192439743,29629196,174950116,0
(주)골프존뉴딘홀딩스,121440,Dec-15,23999862,97152205,103565383,0,45672526,0
(주)골프존뉴딘홀딩스,121440,Dec-16,33842758,102314350,144628383,0,63048320,0
(주)골프존뉴딘홀딩스,121440,Dec-17,40345794,117348020,120725767,0,46961353,0
(주)골프존뉴딘홀딩스,121440,Dec-18,51388491,99968915,209277715,0,59445798,0
(주)골프존뉴딘홀딩스,121440,Dec-19,48390470,125716505,85327312,0,30696570,0
(주)광림,14200,Dec-11,,,,25192191,49443117,0
(주)광림,14200,Dec-12,,,,27920478,53533329,0
(주)광림,14200,Dec-13,,,,20425937,66494275,0
(주)광림,14200,Dec-14,76887713,149961809,85772868,23384110,53880127,0
(주)광림,14200,Dec-15,,,,21555582,57623469,0
(주)광림,14200,Dec-16,26522759,88113464,105795434,21419610,51509785,0
(주)광림,14200,Dec-17,21761125,78175789,73471288,16099250,255751980,0
(주)광림,14200,Dec-18,25240021,75325405,89327971,19113946,145430179,0
(주)광림,14200,Dec-19,27735699,114526470,148515736,19396901,82568345,0
(주)광명전기,17040,Dec-11,12871667,70952226,52472085,8759316,50517306,0
(주)광명전기,17040,Dec-12,16291860,80616850,59112462,13110921,59736559,0
(주)광명전기,17040,Dec-13,14379994,78305715,45597121,12091794,64082992,0
(주)광명전기,17040,Dec-14,17009058,93730239,53299701,14489868,76850052,0
(주)광명전기,17040,Dec-15,12979421,83058514,37684895,10678955,63045495,0
(주)광명전기,17040,Dec-16,9214479,72296041,43304256,8920021,62147467,0
(주)광명전기,17040,Dec-17,9992851,72825667,41093650,9187768,64686772,0
(주)광명전기,17040,Dec-18,11273625,69980314,36256155,10944185,59981263,0
(주)광명전기,17040,Dec-19,7915758,87126906,45133574,7733607,77171530,0
(주)광무,29480,Dec-11,11126987,37578091,33725662,11126987,35909129,0
(주)광무,29480,Dec-12,7606817,23778931,20318859,5521700,16266767,0
(주)광무,29480,Dec-13,5105102,14314055,21611943,249281,7025489,0
(주)광무,29480,Dec-14,,,,230597,9475626,0
(주)광무,29480,Dec-15,,,,476695,5286509,0
(주)광무,29480,Dec-16,,,,714172,11893960,0
(주)광무,29480,Dec-17,,,,188668,14949942,0
(주)광무,29480,Dec-18,571473,17301470,14986294,286303,12582516,0
(주)광무,29480,Dec-19,505706,39307761,36140360,482591,33233586,0
(주)광주신세계,37710,Dec-11,,,,4949450,260854658,0
(주)광주신세계,37710,Dec-12,,,,4638113,287723501,0
(주)광주신세계,37710,Dec-13,,,,4415826,25873334,0
(주)광주신세계,37710,Dec-14,,,,4715758,24561635,0
(주)광주신세계,37710,Dec-15,,,,5113086,33510638,0
(주)광주신세계,37710,Dec-16,,,,5458472,32426270,0
(주)광주신세계,37710,Dec-17,,,,5384423,33243825,0
(주)광주신세계,37710,Dec-18,,,,2621451,77504431,33946
(주)광주신세계,37710,Dec-19,,,,2790527,103160925,0
(주)구영테크,53270,Dec-11,15288601,58842369,104279859,5432585,40821654,0
(주)구영테크,53270,Dec-12,18805001,66346373,115585365,7326274,48964877,0
(주)구영테크,53270,Dec-13,17835115,53694228,89109382,7502946,36391962,0
(주)구영테크,53270,Dec-14,21780928,57115595,79347724,7997698,40628726,0
(주)구영테크,53270,Dec-15,19812030,58836903,68834054,6701810,41055597,0
(주)구영테크,53270,Dec-16,19802569,54139890,67161561,7727200,39434041,0
(주)구영테크,53270,Dec-17,20106730,64140319,81848867,8041927,52077454,0
(주)구영테크,53270,Dec-18,31595113,60744298,75014258,10320023,43158029,0
(주)구영테크,53270,Dec-19,34405094,70165074,89345198,9542656,37519675,0
(주)국동,5320,Dec-11,17915375,39415062,55840092,8071551,22715717,0
(주)국동,5320,Dec-12,16279648,39351863,49512946,8204282,17991148,0
(주)국동,5320,Dec-13,22892835,48642552,51305589,10064438,24414342,0
(주)국동,5320,Dec-14,22684183,60454108,43845038,8296174,36105772,0
(주)국동,5320,Dec-15,27935227,63906154,44926359,13730846,34533151,0
(주)국동,5320,Dec-16,31975546,83256355,47910562,15648099,51330735,0
(주)국동,5320,Dec-17,31470800,66343830,48234584,13096071,39587109,0
(주)국동,5320,Dec-18,32699651,83767312,63170690,11916220,46980024,0
(주)국동,5320,Dec-19,32361904,89543258,42862482,11271338,54839302,0
(주)국보,1140,Dec-11,675022,41337436,54216640,675022,39894724,0
(주)국보,1140,Dec-12,743450,39130945,53242160,743450,36506928,0
(주)국보,1140,Dec-13,748235,37418409,55559279,748235,35691910,0
(주)국보,1140,Dec-14,665254,31669967,55303602,665254,30298511,0
(주)국보,1140,Dec-15,413181,26759792,52453525,413181,25758664,0
(주)국보,1140,Dec-16,376717,26046898,54893083,376717,24610414,0
(주)국보,1140,Dec-17,405427,18529522,45812874,405427,17793062,0
(주)국보,1140,Dec-18,354646,11759027,28126737,354646,11593846,0
(주)국보,1140,Dec-19,43435168,70457619,75280895,338808,17297097,0
(주)국보디자인,66620,Dec-11,0,59455203,31069394,0,57200948,0
(주)국보디자인,66620,Dec-12,0,74341481,34306810,0,72788158,0
(주)국보디자인,66620,Dec-13,0,102871707,59554141,0,95233392,0
(주)국보디자인,66620,Dec-14,0,106963249,54113739,0,99218627,0
(주)국보디자인,66620,Dec-15,0,107093318,54622328,0,96703601,0
(주)국보디자인,66620,Dec-16,0,128985094,66972237,0,118586463,0
(주)국보디자인,66620,Dec-17,0,135628503,61606792,0,127549210,0
(주)국보디자인,66620,Dec-18,0,142346121,62027834,0,127871195,0
(주)국보디자인,66620,Dec-19,0,194818591,94320054,0,169956490,0
(주)국순당,43650,Dec-11,16285781,82405755,16472336,15071855,77580053,0
(주)국순당,43650,Dec-12,16139074,87400525,13830374,14906288,81287902,0
(주)국순당,43650,Dec-13,16182543,100545624,13705357,13577007,84404848,0
(주)국순당,43650,Dec-14,15332903,99291581,14219171,11886783,86268346,0
(주)국순당,43650,Dec-15,14869710,97221146,10740663,11788376,82905503,0
(주)국순당,43650,Dec-16,14890028,85261001,10786059,10940127,71906088,0
(주)국순당,43650,Dec-17,14274110,86651908,12226432,10134104,75544356,0
(주)국순당,43650,Dec-18,14888891,72906719,11783237,10860632,62941465,0
(주)국순당,43650,Dec-19,16017909,78834555,33853250,10459069,60930981,0
(주)국영지앤엠,6050,Dec-11,,,,1498155,25252313,0
(주)국영지앤엠,6050,Dec-12,,,,1588558,21149484,0
(주)국영지앤엠,6050,Dec-13,,,,1582228,25059260,0
(주)국영지앤엠,6050,Dec-14,,,,1796351,22615829,0
(주)국영지앤엠,6050,Dec-15,,,,1330780,27918404,0
(주)국영지앤엠,6050,Dec-16,,,,4059203,29575531,0
(주)국영지앤엠,6050,Dec-17,,,,3195981,29995395,0
(주)국영지앤엠,6050,Dec-18,,,,2641685,25138635,0
(주)국영지앤엠,6050,Dec-19,,,,2586636,32068324,0
(주)국전약품,307750,Dec-18,,,,,,
(주)국전약품,307750,Dec-19,,,,,,
(주)그래디언트,35080,Dec-11,40547172,278334197,340898793,0,24034151,0
(주)그래디언트,35080,Dec-12,34742521,240486033,269391513,0,14309378,0
(주)그래디언트,35080,Dec-13,68307862,979087606,720884668,0,1714561,0
(주)그래디언트,35080,Dec-14,80245551,1142871354,878695192,0,3742011,0
(주)그래디언트,35080,Dec-15,138382962,1337838696,1068144809,0,949479,0
(주)그래디언트,35080,Dec-16,117903146,1415600914,1146717741,0,395047,0
(주)그래디언트,35080,Dec-17,137969792,1229878565,976373594,0,3201309,0
(주)그래디언트,35080,Dec-18,166911756,1261972833,1016015610,0,2674301,0
(주)그래디언트,35080,Dec-19,85519268,1206801338,980078258,0,208003,0
(주)그리티,204020,Dec-18,40441857,89112620,17801728,30715245,75670982,0
(주)그리티,204020,Dec-19,42201748,82603832,17294799,32650635,68611692,0
(주)그린플러스,186230,Dec-19,6019316,38480019,17448583,5842839,28574671,0
(주)글로벌스탠다드테크놀로지,83450,Dec-11,14561368,33914648,22182733,13226235,31754029,0
(주)글로벌스탠다드테크놀로지,83450,Dec-12,17354428,31615500,15995521,15560311,27371107,0
(주)글로벌스탠다드테크놀로지,83450,Dec-13,17043649,37636405,17024585,15483578,34350069,0
(주)글로벌스탠다드테크놀로지,83450,Dec-14,13254999,42966221,16020729,11786134,38669764,0
(주)글로벌스탠다드테크놀로지,83450,Dec-15,9698920,35391249,10452602,8283238,30726947,0
(주)글로벌스탠다드테크놀로지,83450,Dec-16,23047266,53825575,25498390,19337480,46676903,0
(주)글로벌스탠다드테크놀로지,83450,Dec-17,22852794,57916418,21709365,17981798,46766708,0
(주)글로벌스탠다드테크놀로지,83450,Dec-18,18514976,54651818,17071170,11906377,41265448,0
(주)글로벌스탠다드테크놀로지,83450,Dec-19,21844307,88978443,31060762,17832463,78199372,0
(주)금양,1570,Dec-11,14236426,73356949,73872403,6884124,50168793,0
(주)금양,1570,Dec-12,13739318,69850864,63820848,7118999,46841743,0
