회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별)
(주)국보,1140,Dec-18,71549828,34775907,66929948,34021141
(주)국보,1140,Dec-19,89087334,86752439,58296078,45188516
(주)국보디자인,66620,Dec-11,130689686,32057338,123203000,30730895
(주)국보디자인,66620,Dec-12,119402993,35313021,118458574,34589879
(주)국보디자인,66620,Dec-13,163518536,62304123,153216189,57018397
(주)국보디자인,66620,Dec-14,176373907,57660989,158268803,55233687
(주)국보디자인,66620,Dec-15,192608497,57782472,157657615,53570805
(주)국보디자인,66620,Dec-16,201410031,71523640,191620729,70548163
(주)국보디자인,66620,Dec-17,270658405,65097890,262522024,63937167
(주)국보디자인,66620,Dec-18,254259835,66436346,231093439,58152003
(주)국보디자인,66620,Dec-19,269005976,99151096,237054909,85686398
(주)국순당,43650,Dec-11,127686247,21020767,124279594,19804029
(주)국순당,43650,Dec-12,118697826,18103728,115146725,17184003
(주)국순당,43650,Dec-13,99173525,23547445,96140591,17213771
(주)국순당,43650,Dec-14,91863604,20669149,89173752,18944456
(주)국순당,43650,Dec-15,77443124,18420650,74955341,17410245
(주)국순당,43650,Dec-16,69701266,18986190,68425801,16888868
(주)국순당,43650,Dec-17,62761236,20660503,60087461,17086381
(주)국순당,43650,Dec-18,61496072,22939575,52679104,17730015
(주)국순당,43650,Dec-19,102095769,47525638,48045002,13082667
(주)국영지앤엠,6050,Dec-11,,,42569848,28289760
(주)국영지앤엠,6050,Dec-12,,,43781593,14237403
(주)국영지앤엠,6050,Dec-13,,,55789778,16762705
(주)국영지앤엠,6050,Dec-14,,,51491847,11754876
(주)국영지앤엠,6050,Dec-15,,,40107647,14740854
(주)국영지앤엠,6050,Dec-16,,,51456556,15112874
(주)국영지앤엠,6050,Dec-17,,,62861661,13489458
(주)국영지앤엠,6050,Dec-18,,,56301480,8586831
(주)국영지앤엠,6050,Dec-19,,,73013468,15830851
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,448781572,9501248,187176481
(주)그래디언트,35080,Dec-12,454225001,343327081,11150621,70524662
(주)그래디언트,35080,Dec-13,2930521926,846564410,7939840,70931985
(주)그래디언트,35080,Dec-14,3135027346,1020007595,7753595,35815115
(주)그래디언트,35080,Dec-15,3536848758,1202893253,12870821,44313733
(주)그래디언트,35080,Dec-16,3845761388,1233206219,16516754,15287631
(주)그래디언트,35080,Dec-17,3541486629,1062216374,12485184,15302824
(주)그래디언트,35080,Dec-18,3440906300,1095183390,12237889,14238879
(주)그래디언트,35080,Dec-19,3412333826,1110465400,8719700,16057558
(주)그리티,204020,Dec-18,119259702,21294442,117056356,12506261
(주)그리티,204020,Dec-19,123079831,17970493,120984485,11970153
(주)그린플러스,186230,Dec-19,48831866,34930648,39502728,19815070
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,24980582,40662578,23359541
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,17816313,62774905,15671535
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,19996780,78917554,17883380
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,19126184,85992839,17693459
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,13016302,80102292,11103032
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,28626022,81859588,25336853
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,24125110,154761834,21687828
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,19219582,115619452,14883193
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,33440861,150777009,30580877
(주)금양,1570,Dec-11,109810009,85642155,100918699,81062141
(주)금양,1570,Dec-12,122905331,82014813,108275608,81935888
(주)금양,1570,Dec-13,156304448,101560871,132045280,97062605
(주)금양,1570,Dec-14,158550531,115754926,137946044,98653967
(주)금양,1570,Dec-15,158999533,107452186,152450369,110764433
(주)금양,1570,Dec-16,168681746,144421157,161001876,152714672
(주)금양,1570,Dec-17,180373683,138488586,150809075,135869024
(주)금양,1570,Dec-18,205441375,125320820,151676398,106319214
(주)금양,1570,Dec-19,172723864,155935477,135915020,136927078
(주)금호에이치티,214330,Dec-15,203071984,42487367,181779820,27249745
(주)금호에이치티,214330,Dec-16,208574892,70324951,189733826,59072744
(주)금호에이치티,214330,Dec-17,179707629,59410075,165485490,48846497
(주)금호에이치티,214330,Dec-18,209260006,113528186,189250383,99203809
(주)금호에이치티,214330,Dec-19,251095062,149447504,221734443,133896103
(주)금화피에스시,36190,Dec-11,,,82738193,17828767
(주)금화피에스시,36190,Dec-12,,,108224285,13178195
(주)금화피에스시,36190,Dec-13,166122419,25315182,156630832,21979899
(주)금화피에스시,36190,Dec-14,189631759,24531587,166948026,19483169
(주)금화피에스시,36190,Dec-15,235969690,39950792,196919865,32829516
(주)금화피에스시,36190,Dec-16,235018376,46326207,201547339,37567568
(주)금화피에스시,36190,Dec-17,205781841,47411791,174993150,39948467
(주)금화피에스시,36190,Dec-18,233326733,41789419,202098199,30944347
(주)금화피에스시,36190,Dec-19,209435314,42283315,179177462,27406945
(주)기가레인,49080,Dec-13,94791934,60137638,94055571,60329664
(주)기가레인,49080,Dec-14,95718992,56351498,95460665,56158957
(주)기가레인,49080,Dec-15,61576391,86012923,61254807,83089580
(주)기가레인,49080,Dec-16,75445071,98134514,70397030,95576680
(주)기가레인,49080,Dec-17,100131227,92959232,89874499,90732165
(주)기가레인,49080,Dec-18,124772205,110553832,114668638,109417741
(주)기가레인,49080,Dec-19,72769411,89733582,63361399,87651745
(주)기산텔레콤,35460,Dec-11,65679195,52370807,36332290,26937576
(주)기산텔레콤,35460,Dec-12,74315907,41717873,49240507,12670352
(주)기산텔레콤,35460,Dec-13,79463728,42293634,48367030,21167070
(주)기산텔레콤,35460,Dec-14,74512326,39545997,41612762,17854587
(주)기산텔레콤,35460,Dec-15,79710503,33753043,45712905,15178171
(주)기산텔레콤,35460,Dec-16,59172319,34339130,24679656,9697230
(주)기산텔레콤,35460,Dec-17,63467585,35145065,29568090,9115826
(주)기산텔레콤,35460,Dec-18,56445716,24539492,24864346,4973394
(주)기산텔레콤,35460,Dec-19,67054955,32098792,30545683,8645985
(주)까뮤이앤씨,13700,Dec-11,,,90048208,202802031
(주)까뮤이앤씨,13700,Dec-12,,,90976586,162718454
(주)까뮤이앤씨,13700,Dec-13,,,83568532,133919447
(주)까뮤이앤씨,13700,Dec-14,,,123567918,93950382
(주)까뮤이앤씨,13700,Dec-15,,,132370311,83679257
(주)까뮤이앤씨,13700,Dec-16,,,139708060,91865334
(주)까뮤이앤씨,13700,Dec-17,,,172176860,80831808
(주)까뮤이앤씨,13700,Dec-18,,,116296828,82677272
(주)까뮤이앤씨,13700,Dec-19,,,283420655,97944105
(주)까스텔바작,308100,Dec-19,81358617,12326845,81068234,11301641
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,56835726,14881694,40746063
(주)나노,187790,Dec-16,48175171,49121575,18480121,30282763
(주)나노,187790,Dec-17,73089292,46672426,29944292,22132488
(주)나노,187790,Dec-18,81942719,48795977,34238747,22139959
(주)나노,187790,Dec-19,73694955,54119319,38421023,25023622
(주)나노브릭,286750,Dec-19,7775408,10401714,7775408,10401714
(주)나노신소재,121600,Dec-11,33480756,14862539,33480756,14860341
