회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별)
(주)국동,5320,Dec-18,47246.08,123134702,8928.66,80727956
(주)국동,5320,Dec-19,53909.77,133723726,-1520.24,96856085
(주)국보,1140,Dec-11,14836.73,98869465,13951.65,97415381
(주)국보,1140,Dec-12,15684.53,98494841,13380.25,93953021
(주)국보,1140,Dec-13,8219.66,98315386,6868.2,94915572
(주)국보,1140,Dec-14,5210.25,91005502,4075.68,87597909
(주)국보,1140,Dec-15,8167.53,83085438,7344.69,80158667
(주)국보,1140,Dec-16,6923.11,81308887,4899.16,77487791
(주)국보,1140,Dec-17,4890.55,73270170,4109.65,69819240
(주)국보,1140,Dec-18,9202.65,48188113,8443.01,45599283
(주)국보,1140,Dec-19,8104.48,115356448,786.09,57467353
(주)국보디자인,66620,Dec-11,37630.05,80200900,35818.45,79203327
(주)국보디자인,66620,Dec-12,34487.68,92877548,34226.02,92873298
(주)국보디자인,66620,Dec-13,44261.95,127902185,41668.79,121964092
(주)국보디자인,66620,Dec-14,48193.45,132011877,42850.2,125685773
(주)국보디자인,66620,Dec-15,53043.56,141089858,42258.71,129037954
(주)국보디자인,66620,Dec-16,54982.2,158452485,54240,150830570
(주)국보디자인,66620,Dec-17,76642.09,164381715,73546.06,158317679
(주)국보디자인,66620,Dec-18,69527.95,175036784,61350.27,161750972
(주)국보디자인,66620,Dec-19,79433.85,222514980,62003.27,197762410
(주)국순당,43650,Dec-11,33279.55,199135153,32287.82,193849294
(주)국순당,43650,Dec-12,31085.72,209729554,28065.87,203489729
(주)국순당,43650,Dec-13,32841.1,218115221,25153.16,203199593
(주)국순당,43650,Dec-14,29706.7,217479839,24319.77,205782935
(주)국순당,43650,Dec-15,18258.1,216587928,13157.64,203528460
(주)국순당,43650,Dec-16,18388.84,213004831,14524.22,200077411
(주)국순당,43650,Dec-17,31047.34,242199755,9927.8,208832133
(주)국순당,43650,Dec-18,19112.58,238619493,14970.51,221229658
(주)국순당,43650,Dec-19,14926.79,252484287,14246.23,210006510
(주)국영지앤엠,6050,Dec-11,,,3486.7,61022765
(주)국영지앤엠,6050,Dec-12,,,12743.18,60197670
(주)국영지앤엠,6050,Dec-13,,,8302.22,63108054
(주)국영지앤엠,6050,Dec-14,,,7988.13,58995756
(주)국영지앤엠,6050,Dec-15,,,6630.74,63713392
(주)국영지앤엠,6050,Dec-16,,,7893.21,65670915
(주)국영지앤엠,6050,Dec-17,,,9692.54,66101002
(주)국영지앤엠,6050,Dec-18,,,6989.65,60335138
(주)국영지앤엠,6050,Dec-19,,,8084.83,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,60243.93,777653618,4264.28,521750143
(주)그래디언트,35080,Dec-12,139063.68,739985481,51766.97,482181596
(주)그래디언트,35080,Dec-13,176314.61,1598503940,-3491.71,473264178
(주)그래디언트,35080,Dec-14,208989.84,1920350951,5932.51,455860309
(주)그래디언트,35080,Dec-15,240472.76,2106702049,20084.99,475792856
(주)그래디언트,35080,Dec-16,151643.27,2073537018,-44434.41,404583242
(주)그래디언트,35080,Dec-17,171482.48,1804533355,-49657.55,344022749
(주)그래디언트,35080,Dec-18,227407.59,1809664488,10502.87,339457297
(주)그래디언트,35080,Dec-19,236692.21,1780051911,6703.3,336145750
(주)그리티,204020,Dec-18,23409.46,95755030,19484.99,86557287
(주)그리티,204020,Dec-19,17793.55,92151596,13191.93,86803901
(주)그린플러스,186230,Dec-19,14324.08,72321985,11053.23,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,16576.7,52575255,13825.35,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,25842.97,53824618,21570.05,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,25846.64,62626777,21824.97,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,29112.38,69972237,24242.9,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,32655.3,69691968,27127.4,60770711
(주)글로벌스탠다드테크놀로지,83450,Dec-16,34929.88,89405841,28512.23,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,55747.58,102400669,48792.88,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,53316.81,105027408,41400.9,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,71457.79,136751562,57332.3,120984040
(주)금양,1570,Dec-11,12521.92,130817841,10017.49,124086392
(주)금양,1570,Dec-12,16267.46,127557393,12136.86,127197484
(주)금양,1570,Dec-13,14775.26,147115126,9944.21,142485295
(주)금양,1570,Dec-14,15008.53,160244911,11458.88,145135554
(주)금양,1570,Dec-15,34946.42,165405931,12003.03,157467543
(주)금양,1570,Dec-16,-10089.35,178901902,-20026.97,174953809
(주)금양,1570,Dec-17,51739.78,196084032,14797.19,167120998
(주)금양,1570,Dec-18,45103.46,204777156,33681.93,155507052
(주)금양,1570,Dec-19,5126.82,224222540,-3626.49,171931897
(주)금호에이치티,214330,Dec-15,52220.95,123875646,49719.42,109367040
(주)금호에이치티,214330,Dec-16,49989.96,156606980,49039.75,151786975
(주)금호에이치티,214330,Dec-17,40550.16,150164495,36109.34,146407321
(주)금호에이치티,214330,Dec-18,46654.92,238380056,40132.59,230268876
(주)금호에이치티,214330,Dec-19,52694.04,322078193,46919.36,314666069
(주)금화피에스시,36190,Dec-11,,,56699.04,94174014
(주)금화피에스시,36190,Dec-12,,,71820.4,105483370
(주)금화피에스시,36190,Dec-13,109187.93,142932108,103050.93,135180701
(주)금화피에스시,36190,Dec-14,129346.5,158057524,118494.36,146360964
(주)금화피에스시,36190,Dec-15,153610.82,189001800,139901.15,175086217
(주)금화피에스시,36190,Dec-16,136417.9,215036137,124732.48,197557790
(주)금화피에스시,36190,Dec-17,111545.94,231639148,104432.29,216252318
