회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별)
(주)경인양행,12610,Dec-13,260808400,127667556,183106757,72282759
(주)경인양행,12610,Dec-14,277181095,135555605,190395047,77811393
(주)경인양행,12610,Dec-15,263163677,136115404,175006703,76154669
(주)경인양행,12610,Dec-16,274873817,137784128,179267850,77953872
(주)경인양행,12610,Dec-17,299987729,149692038,193975818,86525558
(주)경인양행,12610,Dec-18,331102011,155376235,222659442,90678289
(주)경인양행,12610,Dec-19,358802386,194110502,245244968,119519529
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,47901220
(주)고려시멘트,198440,Dec-18,,,85775723,48776544
(주)고려시멘트,198440,Dec-19,,,70921781,51139394
(주)고영테크놀러지,98460,Dec-11,86130810,15041656,80200892,14869610
(주)고영테크놀러지,98460,Dec-12,107841666,15547786,100791139,15336664
(주)고영테크놀러지,98460,Dec-13,111902729,14825443,103933681,14690294
(주)고영테크놀러지,98460,Dec-14,142840131,19958721,135531589,19812580
(주)고영테크놀러지,98460,Dec-15,145904431,19713468,138554625,19340953
(주)고영테크놀러지,98460,Dec-16,171793841,23842197,153254768,23462507
(주)고영테크놀러지,98460,Dec-17,203368626,25337806,188934907,24158929
(주)고영테크놀러지,98460,Dec-18,238208865,33117594,219818022,32377941
(주)고영테크놀러지,98460,Dec-19,222057035,37283940,209480760,35418136
(주)골드앤에스,35290,Dec-11,47522791,1027834,47522791,995140
(주)골드앤에스,35290,Dec-12,43889087,988045,43889087,851327
(주)골드앤에스,35290,Dec-13,39548810,23605894,36607591,810357
(주)골드앤에스,35290,Dec-14,31287203,22767398,29428881,502559
(주)골드앤에스,35290,Dec-15,22197935,330937,22197935,299779
(주)골드앤에스,35290,Dec-16,15893494,204183,15893494,193816
(주)골드앤에스,35290,Dec-17,12802035,338535,12802035,336869
(주)골드앤에스,35290,Dec-18,8680452,11191043,8680452,11191043
(주)골드앤에스,35290,Dec-19,7642733,3722968,7642733,3722968
(주)골드퍼시픽,38530,Dec-11,,,11236925,10069863
(주)골드퍼시픽,38530,Dec-12,,,10491048,8743387
(주)골드퍼시픽,38530,Dec-13,7167832,9882790,6488691,7249195
(주)골드퍼시픽,38530,Dec-14,16486257,9909463,4855121,5643164
(주)골드퍼시픽,38530,Dec-15,18635305,2580222,6121489,2580222
(주)골드퍼시픽,38530,Dec-16,,,9588100,1333057
(주)골드퍼시픽,38530,Dec-17,,,5031439,1297094
(주)골드퍼시픽,38530,Dec-18,5708281,94653,5580994,83408
(주)골드퍼시픽,38530,Dec-19,,,11323125,908909
(주)골프존,215000,Dec-15,201560389,77871991,184085342,74039599
(주)골프존,215000,Dec-16,216964342,73081406,196864993,69486714
(주)골프존,215000,Dec-17,200105321,71606171,171859065,66800539
(주)골프존,215000,Dec-18,198705194,83642928,191571105,81753994
(주)골프존,215000,Dec-19,247018099,115927449,239051647,110267389
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,52306467,209788389,49239742
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,198231941,276341690,136357274
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,222285916,340005073,136081977
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,454297223,387066126,178117980
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,401308099,29389093,98347480
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,398579767,27652102,98552925
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,394254656,23499543,92900686
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,380012689,16100354,83633825
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,360513819,26897482,70002997
(주)광림,14200,Dec-11,,,106495363,23759906
(주)광림,14200,Dec-12,,,85322569,23876350
(주)광림,14200,Dec-13,,,103442134,23947251
(주)광림,14200,Dec-14,231446314,56739580,92553612,23724344
(주)광림,14200,Dec-15,,,237222890,24452723
(주)광림,14200,Dec-16,87302967,70932936,87302967,25674614
(주)광림,14200,Dec-17,135191558,58197036,99421336,26240529
(주)광림,14200,Dec-18,136595300,59154003,75493055,24128152
(주)광림,14200,Dec-19,145864184,60314708,93241157,23627901
(주)광명전기,17040,Dec-11,92382628,20386015,57967857,11465013
(주)광명전기,17040,Dec-12,117216514,18456738,79318302,11648472
(주)광명전기,17040,Dec-13,117852824,17081607,90344376,11245458
(주)광명전기,17040,Dec-14,134778387,17811443,115801471,12676386
(주)광명전기,17040,Dec-15,116316957,17802534,93000177,12392219
(주)광명전기,17040,Dec-16,96942911,19037693,96931493,12127197
(주)광명전기,17040,Dec-17,101561159,34515922,105083042,15402240
(주)광명전기,17040,Dec-18,114110654,39291851,96949804,21240625
(주)광명전기,17040,Dec-19,131864294,26207863,125009206,20755434
(주)광무,29480,Dec-11,51755052,18150942,50359203,17456144
(주)광무,29480,Dec-12,41178683,12485607,40406860,12347204
(주)광무,29480,Dec-13,20534276,11030800,10105219,10935118
(주)광무,29480,Dec-14,,,38409667,8657715
(주)광무,29480,Dec-15,,,17648493,8108941
(주)광무,29480,Dec-16,,,26429957,8053509
(주)광무,29480,Dec-17,,,21540953,7752645
(주)광무,29480,Dec-18,23074941,8423811,20707286,7903725
(주)광무,29480,Dec-19,36483979,3934491,25244176,2004796
(주)광주신세계,37710,Dec-11,,,219613514,95759237
(주)광주신세계,37710,Dec-12,,,213803173,118344439
(주)광주신세계,37710,Dec-13,,,206606675,113548429
(주)광주신세계,37710,Dec-14,,,204820461,112432843
(주)광주신세계,37710,Dec-15,,,205331892,111688001
(주)광주신세계,37710,Dec-16,,,210423594,109768330
(주)광주신세계,37710,Dec-17,,,209647360,108947528
(주)광주신세계,37710,Dec-18,,,135213362,107893227
(주)광주신세계,37710,Dec-19,,,154879496,255366762
(주)구영테크,53270,Dec-11,147832315,79063199,62527619,26073978
(주)구영테크,53270,Dec-12,155788988,83304389,65451015,31959958
(주)구영테크,53270,Dec-13,172747316,82458455,76282590,32040532
(주)구영테크,53270,Dec-14,170528694,85581135,77799749,31369668
(주)구영테크,53270,Dec-15,172083049,90370617,87109177,33224421
(주)구영테크,53270,Dec-16,148301597,97159369,75320433,37856179
(주)구영테크,53270,Dec-17,149833357,108247080,74298129,56419110
(주)구영테크,53270,Dec-18,195238339,131119419,81928926,71615647
(주)구영테크,53270,Dec-19,230853336,123266501,93132845,71525354
(주)국동,5320,Dec-11,154293577,26139127,100097439,71685
