회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)경방,50,Dec-15,325770660,325770660,258275719,258275719
(주)경방,50,Dec-16,315500908,315500908,248710695,248710695
(주)경방,50,Dec-17,310601150,310601150,229435458,229435458
(주)경방,50,Dec-18,285829683,285829683,214332809,214332809
(주)경방,50,Dec-19,145683128,145683128,64860661,64860661
(주)경보제약,214390,Dec-15,,,74892236,74892236
(주)경보제약,214390,Dec-16,,,83949070,83949070
(주)경보제약,214390,Dec-17,,,78497115,78497115
(주)경보제약,214390,Dec-18,,,76497132,76497132
(주)경보제약,214390,Dec-19,,,88116421,88116421
(주)경인양행,12610,Dec-11,136165573,130087093,69431560,69431560
(주)경인양행,12610,Dec-12,124092900,124092900,67259638,67259638
(주)경인양행,12610,Dec-13,127667556,127667556,72282759,72282759
(주)경인양행,12610,Dec-14,135555605,135555605,77811393,77811393
(주)경인양행,12610,Dec-15,136115404,136115404,76154669,76154669
(주)경인양행,12610,Dec-16,137784128,137784128,77953872,77953872
(주)경인양행,12610,Dec-17,149692038,149692038,86525558,86525558
(주)경인양행,12610,Dec-18,155376235,155376235,90678289,90678289
(주)경인양행,12610,Dec-19,194110502,194110502,119519529,119519529
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,47901220,47901220
(주)고려시멘트,198440,Dec-18,,,48776544,48776544
(주)고려시멘트,198440,Dec-19,,,51139394,51139394
(주)고영테크놀러지,98460,Dec-11,15041656,15041656,14869610,14869610
(주)고영테크놀러지,98460,Dec-12,15547786,15547786,15336664,15336664
(주)고영테크놀러지,98460,Dec-13,14825443,14825443,14690294,14690294
(주)고영테크놀러지,98460,Dec-14,19958721,19958721,19812580,19812580
(주)고영테크놀러지,98460,Dec-15,19713468,19713468,19340953,19340953
(주)고영테크놀러지,98460,Dec-16,23842197,23842197,23462507,23462507
(주)고영테크놀러지,98460,Dec-17,25337806,25337806,24158929,24158929
(주)고영테크놀러지,98460,Dec-18,33117594,33117594,32377941,32377941
(주)고영테크놀러지,98460,Dec-19,37283940,37283940,35418136,35418136
(주)골드앤에스,35290,Dec-11,1027834,1027834,995140,995140
(주)골드앤에스,35290,Dec-12,988045,988045,851327,851327
(주)골드앤에스,35290,Dec-13,23605894,23605894,810357,810357
(주)골드앤에스,35290,Dec-14,22767398,22767398,502559,502559
(주)골드앤에스,35290,Dec-15,330937,330937,299779,299779
(주)골드앤에스,35290,Dec-16,204183,204183,193816,193816
(주)골드앤에스,35290,Dec-17,338535,338535,336869,336869
(주)골드앤에스,35290,Dec-18,11191043,9921876,11191043,9921876
