회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별)
(주)고려시멘트,198440,Dec-18,,,4645869,127536833
(주)고려시멘트,198440,Dec-19,,,3396444,127035573
(주)고영테크놀러지,98460,Dec-11,15634438,87006201,16580579,87017886
(주)고영테크놀러지,98460,Dec-12,15221925,103351965,14836215,103019642
(주)고영테크놀러지,98460,Dec-13,13933294,120951617,14816762,121329325
(주)고영테크놀러지,98460,Dec-14,22111066,141720465,22775832,141873467
(주)고영테크놀러지,98460,Dec-15,23530903,158857627,23271756,160170850
(주)고영테크놀러지,98460,Dec-16,29723733,195121241,28063238,194332855
(주)고영테크놀러지,98460,Dec-17,26734105,205207385,28907302,205696350
(주)고영테크놀러지,98460,Dec-18,42309672,279059436,42430216,279985447
(주)고영테크놀러지,98460,Dec-19,29559680,305481184,34702997,308020011
(주)골드앤에스,35290,Dec-11,1002287,46677146,1101095,46347129
(주)골드앤에스,35290,Dec-12,-6467495,51950606,-6036290,51062616
(주)골드앤에스,35290,Dec-13,-16837473,51442505,-16378087,34508798
(주)골드앤에스,35290,Dec-14,-9319175,46528474,-8058617,28884288
(주)골드앤에스,35290,Dec-15,-9502547,24102094,-9396462,23597566
(주)골드앤에스,35290,Dec-16,390367,18671644,388207,18296141
(주)골드앤에스,35290,Dec-17,-7975875,17173934,-8062623,16994788
(주)골드앤에스,35290,Dec-18,-4380399,42472631,-4045846,42472631
(주)골드앤에스,35290,Dec-19,-24883278,16096170,-24883215,16096170
(주)골드퍼시픽,38530,Dec-11,,,990336,27473520
(주)골드퍼시픽,38530,Dec-12,,,254546,29861540
(주)골드퍼시픽,38530,Dec-13,-9381353,33687572,-8455942,30517744
(주)골드퍼시픽,38530,Dec-14,-7390326,41948832,-7306525,31936409
(주)골드퍼시픽,38530,Dec-15,-10215946,28573328,-12525668,27495738
(주)골드퍼시픽,38530,Dec-16,,,-23433498,11122066
(주)골드퍼시픽,38530,Dec-17,,,-965087,26567967
(주)골드퍼시픽,38530,Dec-18,-4471963,37825442,-4380343,37288362
(주)골드퍼시픽,38530,Dec-19,,,-31603970,72945743
(주)골프존,215000,Dec-15,36533155,178132253,33262807,171629353
(주)골프존,215000,Dec-16,36536248,187914226,35913366,177635830
(주)골프존,215000,Dec-17,79392004,253672419,75544308,239011847
(주)골프존,215000,Dec-18,20419449,254057808,21663391,254578679
(주)골프존,215000,Dec-19,16213888,312587283,19704546,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,46487063,378054302,47591974,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,73354594,540922890,72099265,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,2803470,637840057,4493226,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,79234486,762037240,63571492,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,871101274,767325175,890006593,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,2876449,760772930,-20255655,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,-21585123,756500949,-21778628,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,-7527390,774743339,-7653686,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,-34848135,776384700,-30341791,537526345
(주)광림,14200,Dec-11,,,2583332,86353051
(주)광림,14200,Dec-12,,,586385,89766075
(주)광림,14200,Dec-13,,,1630750,101592603
