회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별)
(주)고려시멘트,198440,Dec-17,,,115881620,115881620
(주)고려시멘트,198440,Dec-18,,,127536833,127536833
(주)고려시멘트,198440,Dec-19,,,127035573,127035573
(주)고영테크놀러지,98460,Dec-11,87006201,87006201,87017886,87017886
(주)고영테크놀러지,98460,Dec-12,103351965,103351965,103019642,103019642
(주)고영테크놀러지,98460,Dec-13,120951617,120951617,121329325,121329325
(주)고영테크놀러지,98460,Dec-14,141720465,141720465,141873467,141873467
(주)고영테크놀러지,98460,Dec-15,158857627,158857627,160170850,160170850
(주)고영테크놀러지,98460,Dec-16,195121241,195121241,194332855,194332855
(주)고영테크놀러지,98460,Dec-17,205207385,205207385,205696350,205696350
(주)고영테크놀러지,98460,Dec-18,279059436,279059436,279985447,279985447
(주)고영테크놀러지,98460,Dec-19,305481184,305481184,308020011,308020011
(주)골드앤에스,35290,Dec-11,46677146,46677146,46347129,46347129
(주)골드앤에스,35290,Dec-12,51950606,51950606,51062616,51062616
(주)골드앤에스,35290,Dec-13,51442505,51442505,34508798,34508798
(주)골드앤에스,35290,Dec-14,46528474,46528474,28884288,28884288
(주)골드앤에스,35290,Dec-15,24102094,24102094,23597566,23597566
(주)골드앤에스,35290,Dec-16,18671644,17865543,18296141,17490041
(주)골드앤에스,35290,Dec-17,17173934,17173934,16994788,16994788
(주)골드앤에스,35290,Dec-18,42472631,41269454,42472631,41269454
(주)골드앤에스,35290,Dec-19,16096170,16096170,16096170,16096170
(주)골드퍼시픽,38530,Dec-11,,,27473520,27473520
(주)골드퍼시픽,38530,Dec-12,,29861540,29861540,29861540
(주)골드퍼시픽,38530,Dec-13,33687572,33687572,30517744,30517744
(주)골드퍼시픽,38530,Dec-14,41948832,41948832,31936409,31936409
(주)골드퍼시픽,38530,Dec-15,28573328,,27495738,28573328
(주)골드퍼시픽,38530,Dec-16,,,11122066,11122066
(주)골드퍼시픽,38530,Dec-17,,26567967,26567967,26567967
(주)골드퍼시픽,38530,Dec-18,37825442,,37288362,37825442
(주)골드퍼시픽,38530,Dec-19,,,72945743,72945743
(주)골프존,215000,Dec-15,178132253,178132253,171629353,171629353
(주)골프존,215000,Dec-16,187914226,187914226,177635830,177635830
(주)골프존,215000,Dec-17,253672419,253672419,239011847,239011847
(주)골프존,215000,Dec-18,254057808,254057808,254578679,254578679
(주)골프존,215000,Dec-19,312587283,312587283,304860836,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,378054302,378054302,373246120,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,540922890,540922890,512614848,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,637840057,637840057,589946855,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,762037240,762037240,586599347,586599347
