회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)경동인베스트,12320,Dec-14,81588.6,0,93996.69,28780.99
(주)경동인베스트,12320,Dec-15,-30690.54,0,34539.58,28090.06
(주)경동인베스트,12320,Dec-16,26071.34,0,72056.94,27886.51
(주)경동인베스트,12320,Dec-17,58509.5,7050.41,-608.84,1399.49
(주)경동인베스트,12320,Dec-18,128174.79,83935.65,2304.64,2003.61
(주)경동인베스트,12320,Dec-19,129681.42,101205.16,78.98,2561.18
(주)경방,50,Dec-11,85127.47,23032.44,79256.78,21278.19
(주)경방,50,Dec-12,80728.78,23852.76,75544.51,21214.8
(주)경방,50,Dec-13,109135.73,24075.36,99612.08,20881.07
(주)경방,50,Dec-14,105032.79,24688.43,97566.02,21765.09
(주)경방,50,Dec-15,117114.75,25022.76,107949.86,21226.96
(주)경방,50,Dec-16,125709.78,24709.64,109992.25,20908.42
(주)경방,50,Dec-17,125830.72,23975.36,109353.53,19957.79
(주)경방,50,Dec-18,98012.24,22662.84,88599.95,17620.99
(주)경방,50,Dec-19,127253.44,19486.66,80679.67,12789.39
(주)경보제약,214390,Dec-15,,,64338.21,28637.8
(주)경보제약,214390,Dec-16,,,62027.13,33811.33
(주)경보제약,214390,Dec-17,,,70313.62,32365.53
(주)경보제약,214390,Dec-18,,,68893.82,37461.12
(주)경보제약,214390,Dec-19,,,63450.36,41096.93
(주)경인양행,12610,Dec-11,55925.52,37652.46,25633.29,18151.1
(주)경인양행,12610,Dec-12,50537.66,34371.35,29938.88,19018.18
(주)경인양행,12610,Dec-13,60639.47,35063.78,48021.56,25768.22
(주)경인양행,12610,Dec-14,73075.28,47414.66,47119.14,29061.46
(주)경인양행,12610,Dec-15,67632.25,48524.81,35639.84,28424.51
(주)경인양행,12610,Dec-16,75607,51587.39,40282.61,29835.91
(주)경인양행,12610,Dec-17,77094.24,56209.57,39415.23,32472.31
(주)경인양행,12610,Dec-18,98776.24,63029.21,56886.72,38916.52
(주)경인양행,12610,Dec-19,111001.57,70651.98,58827.05,43175.77
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,14885.67,8722.05
(주)고려시멘트,198440,Dec-18,,,19051.09,8743.08
(주)고려시멘트,198440,Dec-19,,,16208.11,8380.51
(주)고영테크놀러지,98460,Dec-11,28970.09,8767.8,27718.99,6690.97
(주)고영테크놀러지,98460,Dec-12,32628.63,11837.99,28550.06,8955.33
(주)고영테크놀러지,98460,Dec-13,31220.69,13692.93,28707.49,10299.36
(주)고영테크놀러지,98460,Dec-14,46699.29,16791.26,42596.7,13194.58
(주)고영테크놀러지,98460,Dec-15,46544.16,18860.1,43429.68,13512.06
(주)고영테크놀러지,98460,Dec-16,62157.4,23093.44,52985.52,16203.95
(주)고영테크놀러지,98460,Dec-17,65695.26,29369.15,58409.3,20514.86
(주)고영테크놀러지,98460,Dec-18,86343.44,30314.75,75984.96,20275.12
(주)고영테크놀러지,98460,Dec-19,80742.92,33298.8,73465.3,21332.43
(주)골드앤에스,35290,Dec-11,15570.49,5938.37,14658.86,4985.31
(주)골드앤에스,35290,Dec-12,7635.89,6427.74,7893.95,6294.9
