회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)경인양행,12610,Dec-12,218604655,56308561,70357744,141304459,0,38724208
(주)경인양행,12610,Dec-13,260808400,69253772,90667397,183106757,0,60685132
(주)경인양행,12610,Dec-14,277181095,64789479,89741323,190395047,40378430,57418066
(주)경인양행,12610,Dec-15,263163677,60317420,95494779,175006703,40536511,62450588
(주)경인양행,12610,Dec-16,274873817,64396864,99419770,179267850,44658202,66161603
(주)경인양행,12610,Dec-17,299987729,68522442,97118533,193975818,45961158,63955013
(주)경인양행,12610,Dec-18,331102011,82567584,123873222,222659442,61097103,86129207
(주)경인양행,12610,Dec-19,358802386,80961683,141253404,245244968,55723288,101010142
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,87660276,30481250,3329941
(주)고려시멘트,198440,Dec-18,,,,85775723,32476313,4242987
(주)고려시멘트,198440,Dec-19,,,,70921781,25700956,6942200
(주)고영테크놀러지,98460,Dec-11,86130810,23215229,14264259,80200892,25227493,13001882
(주)고영테크놀러지,98460,Dec-12,107841666,29150759,17763177,100791139,31988780,15164342
(주)고영테크놀러지,98460,Dec-13,111902729,32324265,20893135,103933681,38176088,17888953
(주)고영테크놀러지,98460,Dec-14,142840131,38484841,18090390,135531589,47690802,13344937
(주)고영테크놀러지,98460,Dec-15,145904431,47462104,19344915,138554625,64256973,12475503
(주)고영테크놀러지,98460,Dec-16,171793841,57993580,19563475,153254768,84100616,12591503
(주)고영테크놀러지,98460,Dec-17,203368626,72204125,22300525,188934907,103464560,12749777
(주)고영테크놀러지,98460,Dec-18,238208865,87348349,31398344,219818022,107503723,19487304
(주)고영테크놀러지,98460,Dec-19,222057035,85250616,36331529,209480760,111177420,21338197
(주)골드앤에스,35290,Dec-11,47522791,8521200,2865869,47522791,8521199,2865869
