회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별)
(주)금화피에스시,36190,Dec-17,158082025,158082025,141168180,141168180
(주)금화피에스시,36190,Dec-18,178015924,178015924,157919642,157919642
(주)금화피에스시,36190,Dec-19,184009183,184009183,152061849,152061849
(주)기가레인,49080,Dec-13,52670777,52670777,52867551,52867551
(주)기가레인,49080,Dec-14,42916021,42916021,42277551,42277551
(주)기가레인,49080,Dec-15,45758661,45758661,42133622,42133622
(주)기가레인,49080,Dec-16,46144283,46144283,43016521,43016522
(주)기가레인,49080,Dec-17,72343064,72343064,69139156,69139156
(주)기가레인,49080,Dec-18,97225166,97225166,93687799,93687799
(주)기가레인,49080,Dec-19,60133834,60133834,60124344,60124344
(주)기산텔레콤,35460,Dec-11,55476277,55476277,36475109,36475109
(주)기산텔레콤,35460,Dec-12,55620433,55620433,25695937,25695937
(주)기산텔레콤,35460,Dec-13,63696575,64109540,36537435,36537435
(주)기산텔레콤,35460,Dec-14,64834230,64834230,35605455,35605455
(주)기산텔레콤,35460,Dec-15,64461290,64461290,37184206,37184206
(주)기산텔레콤,35460,Dec-16,62942880,62942880,31145919,31145919
(주)기산텔레콤,35460,Dec-17,58352347,58352347,29268094,29268094
(주)기산텔레콤,35460,Dec-18,46536756,46536756,23094786,23094786
(주)기산텔레콤,35460,Dec-19,49053647,49053647,22585911,22585911
(주)까뮤이앤씨,13700,Dec-11,,,76964607,76964607
(주)까뮤이앤씨,13700,Dec-12,,,119571783,124941703
(주)까뮤이앤씨,13700,Dec-13,,,109233863,109233863
(주)까뮤이앤씨,13700,Dec-14,,,34559227,34559227
(주)까뮤이앤씨,13700,Dec-15,,,62979800,62979800
(주)까뮤이앤씨,13700,Dec-16,,,45642684,45642683
(주)까뮤이앤씨,13700,Dec-17,,,41210840,41210840
(주)까뮤이앤씨,13700,Dec-18,,,42850829,42850829
