회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별)
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,3329941
(주)고려시멘트,198440,Dec-18,,,85775723,4242987
(주)고려시멘트,198440,Dec-19,,,70921781,6942200
(주)고영테크놀러지,98460,Dec-11,86130810,14264259,80200892,13001882
(주)고영테크놀러지,98460,Dec-12,107841666,17763177,100791139,15164342
(주)고영테크놀러지,98460,Dec-13,111902729,20893135,103933681,17888953
(주)고영테크놀러지,98460,Dec-14,142840131,18090390,135531589,13344937
(주)고영테크놀러지,98460,Dec-15,145904431,19344915,138554625,12475503
(주)고영테크놀러지,98460,Dec-16,171793841,19563475,153254768,12591503
(주)고영테크놀러지,98460,Dec-17,203368626,22300525,188934907,12749777
(주)고영테크놀러지,98460,Dec-18,238208865,31398344,219818022,19487304
(주)고영테크놀러지,98460,Dec-19,222057035,36331529,209480760,21338197
(주)골드앤에스,35290,Dec-11,47522791,2865869,47522791,2865869
(주)골드앤에스,35290,Dec-12,43889087,2643834,43889087,2643834
(주)골드앤에스,35290,Dec-13,39548810,3133301,36607591,3133301
(주)골드앤에스,35290,Dec-14,31287203,2940734,29428881,2940734
(주)골드앤에스,35290,Dec-15,22197935,2329866,22197935,2329866
(주)골드앤에스,35290,Dec-16,15893494,1958738,15893494,1958738
(주)골드앤에스,35290,Dec-17,12802035,1057469,12802035,1057469
(주)골드앤에스,35290,Dec-18,8680452,1290682,8680452,1290682
(주)골드앤에스,35290,Dec-19,7642733,498013,7642733,498013
(주)골드퍼시픽,38530,Dec-11,,,11236925,4047225
(주)골드퍼시픽,38530,Dec-12,,,10491048,6326625
(주)골드퍼시픽,38530,Dec-13,7167832,6434511,6488691,5930685
(주)골드퍼시픽,38530,Dec-14,16486257,7662615,4855121,3617004
(주)골드퍼시픽,38530,Dec-15,18635305,1707754,6121489,1707754
(주)골드퍼시픽,38530,Dec-16,,,9588100,55567
(주)골드퍼시픽,38530,Dec-17,,,5031439,545070
(주)골드퍼시픽,38530,Dec-18,5708281,1607114,5580994,807960
(주)골드퍼시픽,38530,Dec-19,,,11323125,3548341
(주)골프존,215000,Dec-15,201560389,3108991,184085342,1816661
(주)골프존,215000,Dec-16,216964342,12659642,196864993,11069054
(주)골프존,215000,Dec-17,200105321,13130013,171859065,10223995
(주)골프존,215000,Dec-18,198705194,10498417,191571105,7999910
(주)골프존,215000,Dec-19,247018099,10880176,239051647,7433871
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,5934952,209788389,5109784
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,17945664,276341690,16416317
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,32288277,340005073,31018699
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,30575929,387066126,29629196
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,23999862,29389093,0
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,33842758,27652102,0
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,40345794,23499543,0
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,51388491,16100354,0
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,48390470,26897482,0
(주)광림,14200,Dec-11,,,106495363,25192191
(주)광림,14200,Dec-12,,,85322569,27920478
(주)광림,14200,Dec-13,,,103442134,20425937
(주)광림,14200,Dec-14,231446314,76887713,92553612,23384110
(주)광림,14200,Dec-15,,,237222890,21555582
(주)광림,14200,Dec-16,87302967,26522759,87302967,21419610
(주)광림,14200,Dec-17,135191558,21761125,99421336,16099250
(주)광림,14200,Dec-18,136595300,25240021,75493055,19113946
(주)광림,14200,Dec-19,145864184,27735699,93241157,19396901
(주)광명전기,17040,Dec-11,92382628,12871667,57967857,8759316
(주)광명전기,17040,Dec-12,117216514,16291860,79318302,13110921
(주)광명전기,17040,Dec-13,117852824,14379994,90344376,12091794
(주)광명전기,17040,Dec-14,134778387,17009058,115801471,14489868
(주)광명전기,17040,Dec-15,116316957,12979421,93000177,10678955
(주)광명전기,17040,Dec-16,96942911,9214479,96931493,8920021
(주)광명전기,17040,Dec-17,101561159,9992851,105083042,9187768
(주)광명전기,17040,Dec-18,114110654,11273625,96949804,10944185
(주)광명전기,17040,Dec-19,131864294,7915758,125009206,7733607
(주)광무,29480,Dec-11,51755052,11126987,50359203,11126987
(주)광무,29480,Dec-12,41178683,7606817,40406860,5521700
(주)광무,29480,Dec-13,20534276,5105102,10105219,249281
(주)광무,29480,Dec-14,,,38409667,230597
(주)광무,29480,Dec-15,,,17648493,476695
(주)광무,29480,Dec-16,,,26429957,714172
(주)광무,29480,Dec-17,,,21540953,188668
(주)광무,29480,Dec-18,23074941,571473,20707286,286303
(주)광무,29480,Dec-19,36483979,505706,25244176,482591
(주)광주신세계,37710,Dec-11,,,219613514,4949450
(주)광주신세계,37710,Dec-12,,,213803173,4638113
(주)광주신세계,37710,Dec-13,,,206606675,4415826
(주)광주신세계,37710,Dec-14,,,204820461,4715758
(주)광주신세계,37710,Dec-15,,,205331892,5113086
(주)광주신세계,37710,Dec-16,,,210423594,5458472
(주)광주신세계,37710,Dec-17,,,209647360,5384423
(주)광주신세계,37710,Dec-18,,,135213362,2621451
(주)광주신세계,37710,Dec-19,,,154879496,2790527
(주)구영테크,53270,Dec-11,147832315,15288601,62527619,5432585
(주)구영테크,53270,Dec-12,155788988,18805001,65451015,7326274
(주)구영테크,53270,Dec-13,172747316,17835115,76282590,7502946
(주)구영테크,53270,Dec-14,170528694,21780928,77799749,7997698
(주)구영테크,53270,Dec-15,172083049,19812030,87109177,6701810
(주)구영테크,53270,Dec-16,148301597,19802569,75320433,7727200
(주)구영테크,53270,Dec-17,149833357,20106730,74298129,8041927
(주)구영테크,53270,Dec-18,195238339,31595113,81928926,10320023
(주)구영테크,53270,Dec-19,230853336,34405094,93132845,9542656
(주)국동,5320,Dec-11,154293577,17915375,100097439,8071551
(주)국동,5320,Dec-12,138172746,16279648,91524436,8204282
(주)국동,5320,Dec-13,147860227,22892835,95716049,10064438
(주)국동,5320,Dec-14,186086561,22684183,117861978,8296174
(주)국동,5320,Dec-15,170296068,27935227,102431161,13730846
(주)국동,5320,Dec-16,197368723,31975546,127275873,15648099
(주)국동,5320,Dec-17,191602989,31470800,130016453,13096071
(주)국동,5320,Dec-18,219550054,32699651,136811631,11916220
(주)국동,5320,Dec-19,223077183,32361904,116180044,11271338
(주)국보,1140,Dec-11,130636214,675022,118304924,675022
(주)국보,1140,Dec-12,122343037,743450,109183947,743450
(주)국보,1140,Dec-13,117073443,748235,108994114,748235
(주)국보,1140,Dec-14,97520169,665254,89859741,665254
(주)국보,1140,Dec-15,91618545,413181,85267457,413181
(주)국보,1140,Dec-16,87333326,376717,77773715,376717
(주)국보,1140,Dec-17,78255522,405427,74662255,405427
(주)국보,1140,Dec-18,71549828,354646,66929948,354646
(주)국보,1140,Dec-19,89087334,43435168,58296078,338808
(주)국보디자인,66620,Dec-11,130689686,0,123203000,0
(주)국보디자인,66620,Dec-12,119402993,0,118458574,0
(주)국보디자인,66620,Dec-13,163518536,0,153216189,0
(주)국보디자인,66620,Dec-14,176373907,0,158268803,0
(주)국보디자인,66620,Dec-15,192608497,0,157657615,0
(주)국보디자인,66620,Dec-16,201410031,0,191620729,0
(주)국보디자인,66620,Dec-17,270658405,0,262522024,0
(주)국보디자인,66620,Dec-18,254259835,0,231093439,0
(주)국보디자인,66620,Dec-19,269005976,0,237054909,0
(주)국순당,43650,Dec-11,127686247,16285781,124279594,15071855
(주)국순당,43650,Dec-12,118697826,16139074,115146725,14906288
(주)국순당,43650,Dec-13,99173525,16182543,96140591,13577007
(주)국순당,43650,Dec-14,91863604,15332903,89173752,11886783
(주)국순당,43650,Dec-15,77443124,14869710,74955341,11788376
(주)국순당,43650,Dec-16,69701266,14890028,68425801,10940127
(주)국순당,43650,Dec-17,62761236,14274110,60087461,10134104
(주)국순당,43650,Dec-18,61496072,14888891,52679104,10860632
(주)국순당,43650,Dec-19,102095769,16017909,48045002,10459069
(주)국영지앤엠,6050,Dec-11,,,42569848,1498155
(주)국영지앤엠,6050,Dec-12,,,43781593,1588558
(주)국영지앤엠,6050,Dec-13,,,55789778,1582228
(주)국영지앤엠,6050,Dec-14,,,51491847,1796351
(주)국영지앤엠,6050,Dec-15,,,40107647,1330780
(주)국영지앤엠,6050,Dec-16,,,51456556,4059203
(주)국영지앤엠,6050,Dec-17,,,62861661,3195981
(주)국영지앤엠,6050,Dec-18,,,56301480,2641685
(주)국영지앤엠,6050,Dec-19,,,73013468,2586636
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,40547172,9501248,0
(주)그래디언트,35080,Dec-12,454225001,34742521,11150621,0
(주)그래디언트,35080,Dec-13,2930521926,68307862,7939840,0
(주)그래디언트,35080,Dec-14,3135027346,80245551,7753595,0
(주)그래디언트,35080,Dec-15,3536848758,138382962,12870821,0
(주)그래디언트,35080,Dec-16,3845761388,117903146,16516754,0
(주)그래디언트,35080,Dec-17,3541486629,137969792,12485184,0
(주)그래디언트,35080,Dec-18,3440906300,166911756,12237889,0
(주)그래디언트,35080,Dec-19,3412333826,85519268,8719700,0
(주)그리티,204020,Dec-18,119259702,40441857,117056356,30715245
(주)그리티,204020,Dec-19,123079831,42201748,120984485,32650635
(주)그린플러스,186230,Dec-19,48831866,6019316,39502728,5842839
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,14561368,40662578,13226235
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,17354428,62774905,15560311
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,17043649,78917554,15483578
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,13254999,85992839,11786134
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,9698920,80102292,8283238
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,23047266,81859588,19337480
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,22852794,154761834,17981798
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,18514976,115619452,11906377
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,21844307,150777009,17832463
(주)금양,1570,Dec-11,109810009,14236426,100918699,6884124
(주)금양,1570,Dec-12,122905331,13739318,108275608,7118999
(주)금양,1570,Dec-13,156304448,20839381,132045280,8359928
(주)금양,1570,Dec-14,158550531,25271205,137946044,10954973
(주)금양,1570,Dec-15,158999533,21613668,152450369,9434413
(주)금양,1570,Dec-16,168681746,19103181,161001876,6869584
(주)금양,1570,Dec-17,180373683,22603043,150809075,8612918
(주)금양,1570,Dec-18,205441375,24409366,151676398,8960870
(주)금양,1570,Dec-19,172723864,27024408,135915020,10501788
(주)금호에이치티,214330,Dec-15,203071984,28696569,181779820,20906519
(주)금호에이치티,214330,Dec-16,208574892,30299760,189733826,20950659
(주)금호에이치티,214330,Dec-17,179707629,31489881,165485490,21605544
(주)금호에이치티,214330,Dec-18,209260006,49440535,189250383,31971852
(주)금호에이치티,214330,Dec-19,251095062,48755715,221734443,31972894
(주)금화피에스시,36190,Dec-11,,,82738193,0
(주)금화피에스시,36190,Dec-12,,,108224285,0
(주)금화피에스시,36190,Dec-13,166122419,211891,156630832,0
(주)금화피에스시,36190,Dec-14,189631759,650775,166948026,0
(주)금화피에스시,36190,Dec-15,235969690,572369,196919865,0
(주)금화피에스시,36190,Dec-16,235018376,832281,201547339,0
(주)금화피에스시,36190,Dec-17,205781841,1035746,174993150,0
(주)금화피에스시,36190,Dec-18,233326733,1139754,202098199,0
(주)금화피에스시,36190,Dec-19,209435314,1217558,179177462,0
(주)기가레인,49080,Dec-13,94791934,10704669,94055571,10634480
(주)기가레인,49080,Dec-14,95718992,11467784,95460665,11226248
(주)기가레인,49080,Dec-15,61576391,8173832,61254807,6815349
(주)기가레인,49080,Dec-16,75445071,7789794,70397030,5755900
(주)기가레인,49080,Dec-17,100131227,24300940,89874499,22471865
(주)기가레인,49080,Dec-18,124772205,37262134,114668638,35715541
(주)기가레인,49080,Dec-19,72769411,17628230,63361399,15205943
(주)기산텔레콤,35460,Dec-11,65679195,18767251,36332290,10909684
(주)기산텔레콤,35460,Dec-12,74315907,13259612,49240507,5331514
(주)기산텔레콤,35460,Dec-13,79463728,15151600,48367030,5894529
(주)기산텔레콤,35460,Dec-14,74512326,22011486,41612762,5456977
(주)기산텔레콤,35460,Dec-15,79710503,18183749,45712905,4919930
(주)기산텔레콤,35460,Dec-16,59172319,17338891,24679656,4378274
(주)기산텔레콤,35460,Dec-17,63467585,21211655,29568090,7924502
(주)기산텔레콤,35460,Dec-18,56445716,19445191,24864346,3963378
(주)기산텔레콤,35460,Dec-19,67054955,20148676,30545683,3162634
(주)까뮤이앤씨,13700,Dec-11,,,90048208,4678067
(주)까뮤이앤씨,13700,Dec-12,,,90976586,5293572
(주)까뮤이앤씨,13700,Dec-13,,,83568532,1151053
(주)까뮤이앤씨,13700,Dec-14,,,123567918,1514376
(주)까뮤이앤씨,13700,Dec-15,,,132370311,1396884
(주)까뮤이앤씨,13700,Dec-16,,,139708060,1361867
(주)까뮤이앤씨,13700,Dec-17,,,172176860,1477286
(주)까뮤이앤씨,13700,Dec-18,,,116296828,1984047
(주)까뮤이앤씨,13700,Dec-19,,,283420655,1224883
(주)까스텔바작,308100,Dec-19,81358617,37141130,81068234,37141130
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,19870176,14881694,11643170
(주)나노,187790,Dec-16,48175171,15952670,18480121,7609827
(주)나노,187790,Dec-17,73089292,20989648,29944292,6727280
(주)나노,187790,Dec-18,81942719,23400275,34238747,7901458
(주)나노,187790,Dec-19,73694955,21584379,38421023,9169186
(주)나노브릭,286750,Dec-19,7775408,1921947,7775408,1921947
(주)나노신소재,121600,Dec-11,33480756,26824943,33480756,26824943
(주)나노신소재,121600,Dec-12,23644347,27117909,23644347,27117909
(주)나노신소재,121600,Dec-13,27009014,26850873,26827489,26850873
(주)나노신소재,121600,Dec-14,27926752,31359550,27926752,31359550
(주)나노신소재,121600,Dec-15,43140425,29013917,43140425,29013917
(주)나노신소재,121600,Dec-16,41111800,29895861,41111800,29895861
(주)나노신소재,121600,Dec-17,45568866,30968835,45568866,30968835
(주)나노신소재,121600,Dec-18,52249960,39994521,52249960,39994521
