회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별)
(주)국순당,43650,Dec-16,-2760688,69701266,-2212642,68425801
(주)국순당,43650,Dec-17,9687855,62761236,9847390,60087461
(주)국순당,43650,Dec-18,-2977369,61496072,15171022,52679104
(주)국순당,43650,Dec-19,-8269903,102095769,571892,48045002
(주)국영지앤엠,6050,Dec-11,,,-1752706,42569848
(주)국영지앤엠,6050,Dec-12,,,4832440,43781593
(주)국영지앤엠,6050,Dec-13,,,953338,55789778
(주)국영지앤엠,6050,Dec-14,,,395531,51491847
(주)국영지앤엠,6050,Dec-15,,,-533927,40107647
(주)국영지앤엠,6050,Dec-16,,,385503,51456556
(주)국영지앤엠,6050,Dec-17,,,1431624,62861661
(주)국영지앤엠,6050,Dec-18,,,-354808,56301480
(주)국영지앤엠,6050,Dec-19,,,1089819,73013468
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,-12292479,428571939,-4906079,9501248
(주)그래디언트,35080,Dec-12,12756395,454225001,15794035,11150621
(주)그래디언트,35080,Dec-13,23780984,2930521926,-9664900,7939840
(주)그래디언트,35080,Dec-14,31456346,3135027346,625806,7753595
(주)그래디언트,35080,Dec-15,42995247,3536848758,13112622,12870821
(주)그래디언트,35080,Dec-16,-39011241,3845761388,-40598919,16516754
(주)그래디언트,35080,Dec-17,-63634928,3541486629,-54754214,12485184
(주)그래디언트,35080,Dec-18,-4194664,3440906300,4404863,12237889
(주)그래디언트,35080,Dec-19,6507368,3412333826,4125060,8719700
(주)그리티,204020,Dec-18,4810592,119259702,6019400,117056356
(주)그리티,204020,Dec-19,1563323,123079831,2627015,120984485
(주)그린플러스,186230,Dec-19,2533086,48831866,2435883,39502728
(주)글로벌스탠다드테크놀로지,83450,Dec-11,3521902,41504144,2301945,40662578
(주)글로벌스탠다드테크놀로지,83450,Dec-12,7003711,64812103,5403733,62774905
(주)글로벌스탠다드테크놀로지,83450,Dec-13,5925826,80982977,5075966,78917554
(주)글로벌스탠다드테크놀로지,83450,Dec-14,7880919,89122994,6151625,85992839
(주)글로벌스탠다드테크놀로지,83450,Dec-15,5703892,84422579,3910170,80102292
(주)글로벌스탠다드테크놀로지,83450,Dec-16,4644376,90819412,3758214,81859588
(주)글로벌스탠다드테크놀로지,83450,Dec-17,15756344,162835484,13135277,154761834
(주)글로벌스탠다드테크놀로지,83450,Dec-18,10303468,129850197,7747618,115619452
(주)글로벌스탠다드테크놀로지,83450,Dec-19,17968416,168231754,17027156,150777009
(주)금비,8870,Sep-11,5926611,182184368,828877,90614774
(주)금비,8870,Sep-12,2324776,176226095,134171,83296660
(주)금비,8870,Sep-13,1899708,175061513,302774,82028937
(주)금비,8870,Sep-14,3097739,177506459,-1062704,80715556
(주)금비,8870,Sep-15,7665205,189495056,2817261,93629076
(주)금비,8870,Sep-16,13187315,200543667,6032090,100327539
(주)금비,8870,Sep-17,6646301,185531452,1457776,80379261
(주)금비,8870,Sep-18,10167339,196995589,4159383,90793198
(주)금비,8870,Sep-19,10620899,201404468,2736847,91480486
(주)금양,1570,Dec-11,2964115,109810009,2436780,100918699
(주)금양,1570,Dec-12,3717420,122905331,3159937,108275608
(주)금양,1570,Dec-13,719232,156304448,1518013,132045280
(주)금양,1570,Dec-14,-111826,158550531,2861900,137946044
(주)금양,1570,Dec-15,14474633,158999533,2338700,152450369
(주)금양,1570,Dec-16,-20526295,168681746,-23749351,161001876
(주)금양,1570,Dec-17,18645438,180373683,366688,150809075
(주)금양,1570,Dec-18,20253300,205441375,16116052,151676398
(주)금양,1570,Dec-19,-10903987,172723864,-12752836,135915020
(주)금호에이치티,214330,Dec-15,14971109,203071984,16768247,181779820
(주)금호에이치티,214330,Dec-16,8354070,208574892,12887704,189733826
(주)금호에이치티,214330,Dec-17,4933421,179707629,5433832,165485490
(주)금호에이치티,214330,Dec-18,7792877,209260006,7102658,189250383
(주)금호에이치티,214330,Dec-19,-75223,251095062,1794762,221734443
(주)금화피에스시,36190,Dec-11,,,15182500,82738193
(주)금화피에스시,36190,Dec-12,,,18485546,108224285
(주)금화피에스시,36190,Dec-13,22786047,166122419,21184156,156630832
(주)금화피에스시,36190,Dec-14,21397903,189631759,20636145,166948026
(주)금화피에스시,36190,Dec-15,22676558,235969690,21704964,196919865
(주)금화피에스시,36190,Dec-16,23917682,235018376,22053825,201547339
(주)금화피에스시,36190,Dec-17,20153925,205781841,20754033,174993150
(주)금화피에스시,36190,Dec-18,39649709,233326733,38175421,202098199
(주)금화피에스시,36190,Dec-19,27677441,209435314,25283209,179177462
(주)기가레인,49080,Dec-13,10828194,94791934,11073413,94055571
(주)기가레인,49080,Dec-14,7764423,95718992,9064933,95460665
(주)기가레인,49080,Dec-15,-13369109,61576391,-14035109,61254807
(주)기가레인,49080,Dec-16,-10347329,75445071,-10793714,70397030
(주)기가레인,49080,Dec-17,-920801,100131227,-401780,89874499
(주)기가레인,49080,Dec-18,-21635992,124772205,-23731827,114668638
(주)기가레인,49080,Dec-19,-46059977,72769411,-44243046,63361399
(주)기산텔레콤,35460,Dec-11,-12092371,65679195,-8844829,36332290
(주)기산텔레콤,35460,Dec-12,-1882261,74315907,1433180,49240507
(주)기산텔레콤,35460,Dec-13,3928729,79463728,2049347,48367030
(주)기산텔레콤,35460,Dec-14,2744606,74512326,655537,41612762
(주)기산텔레콤,35460,Dec-15,1701580,79710503,564987,45712905
(주)기산텔레콤,35460,Dec-16,-2639743,59172319,-1733928,24679656
(주)기산텔레콤,35460,Dec-17,-5538516,63467585,-2085390,29568090
(주)기산텔레콤,35460,Dec-18,-3327575,56445716,-5791304,24864346
(주)기산텔레콤,35460,Dec-19,3498486,67054955,2205257,30545683
(주)까뮤이앤씨,13700,Dec-11,,,-115818356,90048208
(주)까뮤이앤씨,13700,Dec-12,,,-4642070,90976586
(주)까뮤이앤씨,13700,Dec-13,,,-12045286,83568532
(주)까뮤이앤씨,13700,Dec-14,,,2285412,123567918
