회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별)
(주)광무,29480,Dec-12,2867.93,5362621,-2546.32,5209598
(주)광무,29480,Dec-13,-19191.93,5389067,-27128.53,5236044
(주)광무,29480,Dec-14,,,7685.26,1294681
(주)광무,29480,Dec-15,,,4969.66,898034
(주)광무,29480,Dec-16,,,7028.95,898035
(주)광무,29480,Dec-17,,,4347.69,746596
(주)광무,29480,Dec-18,3161.84,746596,2567.43,746596
(주)광무,29480,Dec-19,6253.03,746596,3691.03,746596
(주)광주신세계,37710,Dec-11,,,81174.22,0
(주)광주신세계,37710,Dec-12,,,78930.35,0
(주)광주신세계,37710,Dec-13,,,77074.43,0
(주)광주신세계,37710,Dec-14,,,75546.09,0
(주)광주신세계,37710,Dec-15,,,78789.64,0
(주)광주신세계,37710,Dec-16,,,79200.71,0
(주)광주신세계,37710,Dec-17,,,79390.39,0
(주)광주신세계,37710,Dec-18,,,74360.77,0
(주)광주신세계,37710,Dec-19,,,84867.5,0
(주)구영테크,53270,Dec-11,30173.23,80827831,16205.29,37205247
(주)구영테크,53270,Dec-12,34066.87,82735751,15794.6,41385696
(주)구영테크,53270,Dec-13,40563.29,88685816,18802.93,44353453
(주)구영테크,53270,Dec-14,40918.73,97627792,19185.74,44522736
(주)구영테크,53270,Dec-15,44427.3,105499964,21494.68,44903404
(주)구영테크,53270,Dec-16,41169.13,111603833,23004.45,46726832
(주)구영테크,53270,Dec-17,37905.67,107248930,19348.46,48487619
(주)구영테크,53270,Dec-18,46490.62,131087665,24326.3,65379682
(주)구영테크,53270,Dec-19,48045.12,111814117,23970.02,73606016
(주)국동,5320,Dec-11,2980.52,20811390,-2116.88,0
(주)국동,5320,Dec-12,18227.04,20377290,4858.24,0
(주)국동,5320,Dec-13,25635.95,18620573,7354.16,0
(주)국동,5320,Dec-14,36358.9,22742640,10914.26,0
(주)국동,5320,Dec-15,37153.81,24776004,13416.63,0
(주)국동,5320,Dec-16,36128.26,31674909,13780.66,0
(주)국동,5320,Dec-17,25998.16,29710414,-2076.99,0
(주)국동,5320,Dec-18,47246.08,31775272,8928.66,0
(주)국동,5320,Dec-19,53909.77,34799500,-1520.24,0
(주)국보,1140,Dec-11,14836.73,5137651,13951.65,5137651
(주)국보,1140,Dec-12,15684.53,5137651,13380.25,5137651
(주)국보,1140,Dec-13,8219.66,5183351,6868.2,5183351
(주)국보,1140,Dec-14,5210.25,3498166,4075.68,3498166
(주)국보,1140,Dec-15,8167.53,198767,7344.69,198767
(주)국보,1140,Dec-16,6923.11,198767,4899.16,198767
(주)국보,1140,Dec-17,4890.55,198767,4109.65,198767
(주)국보,1140,Dec-18,9202.65,47567,8443.01,47567
(주)국보,1140,Dec-19,8104.48,47567,786.09,47567
(주)국보디자인,66620,Dec-11,37630.05,69446,35818.45,69446
(주)국보디자인,66620,Dec-12,34487.68,69446,34226.02,69446
(주)국보디자인,66620,Dec-13,44261.95,69446,41668.79,69446
(주)국보디자인,66620,Dec-14,48193.45,69446,42850.2,69446
(주)국보디자인,66620,Dec-15,53043.56,74246,42258.71,74246
(주)국보디자인,66620,Dec-16,54982.2,74246,54240,74246
(주)국보디자인,66620,Dec-17,76642.09,74246,73546.06,74246
(주)국보디자인,66620,Dec-18,69527.95,74246,61350.27,74246
(주)국보디자인,66620,Dec-19,79433.85,74246,62003.27,74246
(주)국순당,43650,Dec-11,33279.55,37977112,32287.82,35768471
(주)국순당,43650,Dec-12,31085.72,37873852,28065.87,36200024
(주)국순당,43650,Dec-13,32841.1,38829929,25153.16,36351213
