회사명,거래소코드,회계년도,유형자산(IFRS연결),건설중인자산(IFRS연결),유형자산(IFRS개별),건설중인자산(IFRS개별),합계_기말인원
(주)광무,29480,Dec-11,0,784770,17456144,784770,152
(주)광무,29480,Dec-12,0,9500,12347204,0,132
(주)광무,29480,Dec-13,0,0,10935118,0,37
(주)광무,29480,Dec-14,,,8657715,0,109
(주)광무,29480,Dec-15,,,8108941,0,106
(주)광무,29480,Dec-16,,,8053509,0,110
(주)광무,29480,Dec-17,,,7752645,0,117
(주)광무,29480,Dec-18,0,128,7903725,128,122
(주)광무,29480,Dec-19,0,113628,2004796,128,129
(주)광주신세계,37710,Dec-11,,,95759237,0,310
(주)광주신세계,37710,Dec-12,,,118344439,71167,292
(주)광주신세계,37710,Dec-13,,,113548429,8567,394
(주)광주신세계,37710,Dec-14,,,112432843,431000,389
(주)광주신세계,37710,Dec-15,,,111688001,372359,373
(주)광주신세계,37710,Dec-16,,,109768330,258471,363
(주)광주신세계,37710,Dec-17,,,108947528,2522631,348
(주)광주신세계,37710,Dec-18,,,107893227,2481908,340
(주)광주신세계,37710,Dec-19,,,255366762,1115600,174
(주)구영테크,53270,Dec-11,0,1551850,26073978,928886,191
(주)구영테크,53270,Dec-12,0,4210110,31959958,3503142,216
(주)구영테크,53270,Dec-13,0,520839,32040532,111864,266
(주)구영테크,53270,Dec-14,0,44719,31369668,44720,291
(주)구영테크,53270,Dec-15,0,3800903,33224421,3800903,286
(주)구영테크,53270,Dec-16,0,9075238,37856179,9070417,284
(주)구영테크,53270,Dec-17,6139319,23780213,56419110,23501701,303
(주)구영테크,53270,Dec-18,0,10946837,71615647,8609465,283
(주)구영테크,53270,Dec-19,0,4114196,71525354,3410433,248
(주)국동,5320,Dec-11,0,0,71685,0,69
(주)국동,5320,Dec-12,0,0,62414,0,60
(주)국동,5320,Dec-13,0,0,102132,0,65
(주)국동,5320,Dec-14,0,0,125789,0,67
(주)국동,5320,Dec-15,0,2423169,124678,0,73
(주)국동,5320,Dec-16,0,4229511,122290,0,72
(주)국동,5320,Dec-17,0,2053647,126345,0,73
(주)국동,5320,Dec-18,0,2229878,134369,0,85
(주)국동,5320,Dec-19,0,2793591,130910,0,80
(주)국보,1140,Dec-11,0,0,37844785,0,192
(주)국보,1140,Dec-12,0,1490523,38507895,1490523,176
(주)국보,1140,Dec-13,0,0,42150058,0,173
(주)국보,1140,Dec-14,0,0,41186594,0,170
(주)국보,1140,Dec-15,0,0,40409826,0,184
(주)국보,1140,Dec-16,0,0,39652037,0,142
(주)국보,1140,Dec-17,0,0,39364721,0,127
(주)국보,1140,Dec-18,0,0,16527335,0,123
(주)국보,1140,Dec-19,0,0,7137358,0,136
(주)국보디자인,66620,Dec-11,0,0,1453461,0,266
(주)국보디자인,66620,Dec-12,0,0,2230621,0,265
(주)국보디자인,66620,Dec-13,0,0,2190348,0,285
(주)국보디자인,66620,Dec-14,0,400000,2596263,400000,285
(주)국보디자인,66620,Dec-15,0,575000,6908270,575000,302
(주)국보디자인,66620,Dec-16,0,0,7420242,0,352
(주)국보디자인,66620,Dec-17,0,0,7245407,0,387
(주)국보디자인,66620,Dec-18,0,0,7072221,0,341
(주)국보디자인,66620,Dec-19,0,0,8367291,0,331
(주)국순당,43650,Dec-11,0,2202618,77006392,1554554,410
(주)국순당,43650,Dec-12,0,1510185,74415222,252880,377
(주)국순당,43650,Dec-13,0,27132,71314218,604880,365
(주)국순당,43650,Dec-14,300000,27132,63633133,26880,350
(주)국순당,43650,Dec-15,0,0,60756894,0,336
(주)국순당,43650,Dec-16,0,0,56088957,0,309
(주)국순당,43650,Dec-17,0,0,49398687,0,256
(주)국순당,43650,Dec-18,0,6700,58144452,6700,260
(주)국순당,43650,Dec-19,0,218138,45386881,0,248
(주)국영지앤엠,6050,Dec-11,,,31308145,29774827,105
(주)국영지앤엠,6050,Dec-12,,,32061920,0,98
(주)국영지앤엠,6050,Dec-13,,,31747733,641910,102
(주)국영지앤엠,6050,Dec-14,,,32414094,1500,120
(주)국영지앤엠,6050,Dec-15,,,31600586,0,105
(주)국영지앤엠,6050,Dec-16,,,31778265,0,113
(주)국영지앤엠,6050,Dec-17,,,31770240,0,111
(주)국영지앤엠,6050,Dec-18,,,30512052,0,107
(주)국영지앤엠,6050,Dec-19,,,31059486,0,115
