회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),부채(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),부채(IFRS개별)
(주)기가레인,49080,Dec-16,-1748284,98134514,-3279275,95576680
(주)기가레인,49080,Dec-17,-3057024,92959232,-3893464,90732165
(주)기가레인,49080,Dec-18,-9812084,110553832,-9320776,109417741
(주)기가레인,49080,Dec-19,8012780,89733582,8306714,87651745
(주)기산텔레콤,35460,Dec-11,-3853879,52370807,503727,26937576
(주)기산텔레콤,35460,Dec-12,12442975,41717873,7329218,12670352
(주)기산텔레콤,35460,Dec-13,-1989067,42293634,1903830,21167070
(주)기산텔레콤,35460,Dec-14,-933212,39545997,2836990,17854587
(주)기산텔레콤,35460,Dec-15,9032265,33753043,6283220,15178171
(주)기산텔레콤,35460,Dec-16,-2082377,34339130,-1680119,9697230
(주)기산텔레콤,35460,Dec-17,610439,35145065,2647045,9115826
(주)기산텔레콤,35460,Dec-18,-4595324,24539492,-2276209,4973394
(주)기산텔레콤,35460,Dec-19,8214391,32098792,5501406,8645985
(주)까뮤이앤씨,13700,Dec-11,,,-20322130,202802031
(주)까뮤이앤씨,13700,Dec-12,,,3105839,162718454
(주)까뮤이앤씨,13700,Dec-13,,,-10254054,133919447
(주)까뮤이앤씨,13700,Dec-14,,,12949303,93950382
