회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원
(주)광주신세계,37710,11-Dec,,380753715,310
(주)광주신세계,37710,12-Dec,,430662968,292
(주)광주신세계,37710,13-Dec,,656355808,394
(주)광주신세계,37710,14-Dec,,652758688,389
(주)광주신세계,37710,15-Dec,,659495158,373
(주)광주신세계,37710,16-Dec,,655502726,363
(주)광주신세계,37710,17-Dec,,655018971,348
(주)광주신세계,37710,18-Dec,,696204982,340
(주)광주신세계,37710,19-Dec,,752423111,174
(주)구영테크,53270,11-Dec,149471330,94940916,191
(주)구영테크,53270,12-Dec,161163024,109440531,216
(주)구영테크,53270,13-Dec,149230187,97549406,266
(주)구영테크,53270,14-Dec,155857242,101546298,291
(주)구영테크,53270,15-Dec,161330950,102761141,286
(주)구영테크,53270,16-Dec,166748490,108895002,284
(주)구영테크,53270,17-Dec,187009683,139584386,303
(주)구영테크,53270,18-Dec,202572970,146492374,283
(주)구영테크,53270,19-Dec,206569873,141034767,248
(주)국동,5320,11-Dec,68162305,42291817,69
(주)국동,5320,12-Dec,65808287,35813125,60
(주)국동,5320,13-Dec,73040609,40194919,65
(주)국동,5320,14-Dec,89271398,53392996,67
(주)국동,5320,15-Dec,93758552,66242141,73
(주)국동,5320,16-Dec,124126720,86116813,72
(주)국동,5320,17-Dec,106307080,75154254,73
(주)국동,5320,18-Dec,123134702,80727956,85
(주)국동,5320,19-Dec,133723726,96856085,80
(주)국보,1140,11-Dec,98869465,97415381,192
(주)국보,1140,12-Dec,98494841,93953021,176
(주)국보,1140,13-Dec,98315386,94915572,173
(주)국보,1140,14-Dec,91005502,87597909,170
(주)국보,1140,15-Dec,83085438,80158667,184
(주)국보,1140,16-Dec,81308887,77487791,142
(주)국보,1140,17-Dec,73270170,69819240,127
(주)국보,1140,18-Dec,48188113,45599283,123
(주)국보,1140,19-Dec,115356448,57467353,136
(주)국보디자인,66620,11-Dec,80200900,79203327,266
(주)국보디자인,66620,12-Dec,92877548,92873298,265
(주)국보디자인,66620,13-Dec,127902185,121964092,285
(주)국보디자인,66620,14-Dec,132011877,125685773,285
(주)국보디자인,66620,15-Dec,141089858,129037954,302
(주)국보디자인,66620,16-Dec,158452485,150830570,352
(주)국보디자인,66620,17-Dec,164381715,158317679,387
(주)국보디자인,66620,18-Dec,175036784,161750972,341
(주)국보디자인,66620,19-Dec,222514980,197762410,331
(주)국순당,43650,11-Dec,199135153,193849294,410
(주)국순당,43650,12-Dec,209729554,203489729,377
(주)국순당,43650,13-Dec,218115221,203199593,365
(주)국순당,43650,14-Dec,217479839,205782935,350
(주)국순당,43650,15-Dec,216587928,203528460,336
(주)국순당,43650,16-Dec,213004831,200077411,309
(주)국순당,43650,17-Dec,242199755,208832133,256
(주)국순당,43650,18-Dec,238619493,221229658,260
(주)국순당,43650,19-Dec,252484287,210006510,248
(주)국영지앤엠,6050,11-Dec,,61022765,105
(주)국영지앤엠,6050,12-Dec,,60197670,98
(주)국영지앤엠,6050,13-Dec,,63108054,102
(주)국영지앤엠,6050,14-Dec,,58995756,120
(주)국영지앤엠,6050,15-Dec,,63713392,105
(주)국영지앤엠,6050,16-Dec,,65670915,113
(주)국영지앤엠,6050,17-Dec,,66101002,111
(주)국영지앤엠,6050,18-Dec,,60335138,107
(주)국영지앤엠,6050,19-Dec,,68657302,115
(주)국전약품,307750,18-Dec,,,1
(주)국전약품,307750,19-Dec,,,1
(주)그래디언트,35080,11-Dec,777653618,521750143,59
(주)그래디언트,35080,12-Dec,739985481,482181596,14
(주)그래디언트,35080,13-Dec,1598503940,473264178,18
(주)그래디언트,35080,14-Dec,1920350951,455860309,25
(주)그래디언트,35080,15-Dec,2106702049,475792856,19
(주)그래디언트,35080,16-Dec,2073537018,404583242,11
(주)그래디언트,35080,17-Dec,1804533355,344022749,12
