회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별)
(주)고영테크놀러지,98460,Dec-19,61812656,243668528,55999383,252020628
(주)골드앤에스,35290,Dec-11,24240316,22436829,23709321,22637807
(주)골드앤에스,35290,Dec-12,26432789,25517817,24809934,26252682
(주)골드앤에스,35290,Dec-13,38315150,13127355,24695648,9813150
(주)골드앤에스,35290,Dec-14,34445853,12082621,19800028,9084260
(주)골드앤에스,35290,Dec-15,8941840,15160254,8605906,14991660
(주)골드앤에스,35290,Dec-16,4403117,14268527,4193998,14102143
(주)골드앤에스,35290,Dec-17,3827858,13346076,3890051,13104737
(주)골드앤에스,35290,Dec-18,28693062,13779569,28605618,13867013
(주)골드앤에스,35290,Dec-19,21187743,-5091573,21097263,-5001092
(주)골드퍼시픽,38530,Dec-11,,,5643796,21829724
(주)골드퍼시픽,38530,Dec-12,,,6933139,22928402
(주)골드퍼시픽,38530,Dec-13,17496573,16190999,13401333,17116411
(주)골드퍼시픽,38530,Dec-14,25380917,16567915,15034120,16902289
(주)골드퍼시픽,38530,Dec-15,7380179,21193149,7380179,20115559
(주)골드퍼시픽,38530,Dec-16,,,9232425,1889641
(주)골드퍼시픽,38530,Dec-17,,,21203473,5364494
(주)골드퍼시픽,38530,Dec-18,17738744,20086698,17201663,20086698
(주)골드퍼시픽,38530,Dec-19,,,51876425,21069318
(주)골프존,215000,Dec-15,69278343,108853909,66566259,105063093
(주)골프존,215000,Dec-16,67265600,120648626,61749251,115886579
(주)골프존,215000,Dec-17,64290538,189381881,57616911,181394935
(주)골프존,215000,Dec-18,59138246,194919561,57141835,197436844
(주)골프존,215000,Dec-19,112544404,200042879,99331248,205529589
(주)골프존뉴딘홀딩스,121440,Dec-11,29085545,348968757,25141723,348104397
(주)골프존뉴딘홀딩스,121440,Dec-12,129285917,411636973,101615001,410999847
(주)골프존뉴딘홀딩스,121440,Dec-13,213296141,424543916,162390400,427556455
(주)골프존뉴딘홀딩스,121440,Dec-14,275651284,486385956,112963321,473636026
(주)골프존뉴딘홀딩스,121440,Dec-15,215964752,551360423,33959695,551703320
(주)골프존뉴딘홀딩스,121440,Dec-16,232685516,528087415,55051510,506841449
(주)골프존뉴딘홀딩스,121440,Dec-17,255588307,500912642,56170310,480074463
(주)골프존뉴딘홀딩스,121440,Dec-18,288773468,485969871,78906181,484480922
(주)골프존뉴딘홀딩스,121440,Dec-19,329187192,447197508,87456888,450069457
(주)광림,14200,Dec-11,,,29675945,56677106
(주)광림,14200,Dec-12,,,26263800,63502275
(주)광림,14200,Dec-13,,,36795801,64796802
(주)광림,14200,Dec-14,115915632,128970849,54024876,66259380
(주)광림,14200,Dec-15,,,65439447,80899308
(주)광림,14200,Dec-16,116090771,113505965,61859263,90221084
(주)광림,14200,Dec-17,100367615,107690687,193026086,176556237
(주)광림,14200,Dec-18,97737400,90075229,115448249,120931215
(주)광림,14200,Dec-19,161696117,90772137,132819619,60749234
(주)광명전기,17040,Dec-11,60950408,62936103,43005031,56987613
(주)광명전기,17040,Dec-12,68072142,62992204,49081920,55136666
(주)광명전기,17040,Dec-13,51063085,69847678,44690725,60793004
(주)광명전기,17040,Dec-14,59883994,78696030,52251735,67539909
(주)광명전기,17040,Dec-15,43628267,87829336,36443563,71275955
(주)광명전기,17040,Dec-16,48795959,98063360,39069932,86335358
(주)광명전기,17040,Dec-17,56068919,96648221,43450530,85430878
(주)광명전기,17040,Dec-18,53074770,98748349,36169226,87989865
(주)광명전기,17040,Dec-19,51313845,105398860,46405743,94186043
(주)광무,29480,Dec-11,38114862,37831616,36539844,49296267
(주)광무,29480,Dec-12,26281385,29507217,23645347,36518143
(주)광무,29480,Dec-13,26597916,8786699,17543532,11346800
(주)광무,29480,Dec-14,,,19357078,8505450
(주)광무,29480,Dec-15,,,13388763,7744452
(주)광무,29480,Dec-16,,,21036538,8053231
(주)광무,29480,Dec-17,,,15398329,13552175
(주)광무,29480,Dec-18,17702532,10729216,16322215,9695091
(주)광무,29480,Dec-19,40295715,22844122,34954525,22202195
(주)광주신세계,37710,Dec-11,,,70539083,310214632
(주)광주신세계,37710,Dec-12,,,69047125,361615843
(주)광주신세계,37710,Dec-13,,,247664982,408690826
(주)광주신세계,37710,Dec-14,,,204133762,448624926
(주)광주신세계,37710,Dec-15,,,168114362,491380796
(주)광주신세계,37710,Dec-16,,,121212540,534290186
(주)광주신세계,37710,Dec-17,,,75655139,579363832
(주)광주신세계,37710,Dec-18,,,75548265,620656716
(주)광주신세계,37710,Dec-19,,,91233250,661189861
(주)구영테크,53270,Dec-11,112838066,36633264,66978384,27962532
(주)구영테크,53270,Dec-12,124476132,36686891,80138360,29302171
(주)구영테크,53270,Dec-13,110206350,39023837,66787227,30762180
(주)구영테크,53270,Dec-14,103644323,52212920,59346118,42200180
(주)구영테크,53270,Dec-15,104929726,56401223,58694581,44066560
(주)구영테크,53270,Dec-16,108968199,57780291,62465401,46429602
(주)구영테크,53270,Dec-17,131198641,55811041,92481970,47102417
(주)구영테크,53270,Dec-18,133745074,68827896,88631025,57861349
(주)구영테크,53270,Dec-19,134865616,71704257,82365983,58668784
(주)국동,5320,Dec-11,62332735,5829570,39597506,2694312
(주)국동,5320,Dec-12,56385558,9422729,33038005,2775119
(주)국동,5320,Dec-13,57628398,15412210,34247141,5947778
(주)국동,5320,Dec-14,60632031,28639367,39056428,14336568
(주)국동,5320,Dec-15,62532443,31226110,43846686,22395455
(주)국동,5320,Dec-16,72400997,51725723,46046814,40069999
(주)국동,5320,Dec-17,63676354,42630725,36515485,38638770
(주)국동,5320,Dec-18,74659657,48475045,38965464,41762492
(주)국동,5320,Dec-19,68242500,65481226,42506527,54349558
(주)국보,1140,Dec-11,64402912,34466553,63540967,33874415
(주)국보,1140,Dec-12,64701450,33793391,62297482,31655538
(주)국보,1140,Dec-13,68547122,29768264,67236888,27678685
(주)국보,1140,Dec-14,68385263,22620239,66613157,20984752
(주)국보,1140,Dec-15,64675995,18409444,63045201,17113465
