회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)강원에너지,114190,Dec-16,53716336,335220,12090212,49882033,335220,17100077
(주)강원에너지,114190,Dec-17,68068421,361382,33693980,66557788,361382,36681993
(주)강원에너지,114190,Dec-18,70556730,543737,43608244,70097814,543737,40299772
(주)강원에너지,114190,Dec-19,30544232,118784,30840573,30346449,118784,27565065
(주)갤럭시아에스엠,11420,Dec-11,24658098,20209,15665609,17322791,0,12001627
(주)갤럭시아에스엠,11420,Dec-12,24752609,37487,13440442,21665386,0,12435097
(주)갤럭시아에스엠,11420,Dec-13,19899780,126351,13503615,15680160,0,9491278
(주)갤럭시아에스엠,11420,Dec-14,26742964,508736,17868979,21910144,404356,14705118
(주)갤럭시아에스엠,11420,Dec-15,44426010,11280,16873228,40480215,0,14961439
(주)갤럭시아에스엠,11420,Dec-16,37929417,0,12464561,33508731,0,9845511
(주)갤럭시아에스엠,11420,Dec-17,28750883,0,8744690,25522603,0,7871709
(주)갤럭시아에스엠,11420,Dec-18,14251248,0,6670268,14317048,0,6429460
(주)갤럭시아에스엠,11420,Dec-19,13644588,0,6311576,13644588,0,6311576
(주)경농,2100,Dec-11,94363834,70194121,24871768,85897543,70007203,24782041
(주)경농,2100,Dec-12,142516976,102583675,102878086,88973571,69708618,45244293
(주)경농,2100,Dec-13,129526582,98860077,72472377,90491612,70268926,40577371
(주)경농,2100,Dec-14,139646908,98308244,90426180,92163573,69968941,46610936
(주)경농,2100,Dec-15,161184139,115444315,114383542,110823037,84302523,75250424
(주)경농,2100,Dec-16,156061222,115876266,112348070,113338004,89356248,75688103
(주)경농,2100,Dec-17,163437464,119704437,121066567,114661596,91796107,78430974
(주)경농,2100,Dec-18,169982099,120967753,128301300,124295854,91526504,86896477
(주)경농,2100,Dec-19,185020093,133714688,122608005,138697201,101542875,80682497
(주)경동나비엔,9450,Dec-11,129512842,60788326,81664623,109967953,41637076,74711381
(주)경동나비엔,9450,Dec-12,145371681,59527947,100189444,123218302,33893618,87833093
(주)경동나비엔,9450,Dec-13,134043087,71724409,149468556,104914630,37417214,132677192
(주)경동나비엔,9450,Dec-14,159947056,83525372,186324883,134136648,40963230,156677220
(주)경동나비엔,9450,Dec-15,158254944,87185691,177125715,129837058,39239496,136609355
(주)경동나비엔,9450,Dec-16,175420277,89997026,177489101,145915928,41128987,135099803
(주)경동나비엔,9450,Dec-17,230894567,110374505,219839746,175839342,57016736,159637322
(주)경동나비엔,9450,Dec-18,287001959,150049770,275122471,209454208,74930222,191253920
(주)경동나비엔,9450,Dec-19,274279157,138114361,270253541,214093729,66299991,183748685
(주)경동도시가스,267290,Dec-17,376858740,1111165,334894003,374489353,1111165,334399752
(주)경동도시가스,267290,Dec-18,444232799,1299646,375912237,441723742,1299646,375445868
(주)경동도시가스,267290,Dec-19,395154174,1333402,321180745,392458231,1333402,320773519
(주)경동인베스트,12320,Dec-11,610411619,6238419,488755455,563584969,837931,450578763
(주)경동인베스트,12320,Dec-12,814034002,20579836,649801248,753036515,1073025,612902677
(주)경동인베스트,12320,Dec-13,778164231,13656418,596199441,724069045,759346,555649865
(주)경동인베스트,12320,Dec-14,766552554,18386682,550250914,631297926,1014437,449400573
(주)경동인베스트,12320,Dec-15,571798491,8347076,392919112,459634757,958537,294859087
(주)경동인베스트,12320,Dec-16,508994824,10949433,337654347,394847821,1016660,259946634
(주)경동인베스트,12320,Dec-17,238339688,14232992,77526863,110951332,0,615156
(주)경동인베스트,12320,Dec-18,188460289,30703229,78414333,44742051,87903,424952
(주)경동인베스트,12320,Dec-19,236475693,30814751,84662496,44653640,176596,7787239
(주)경방,50,Dec-11,138673371,72996830,406687562,123787600,71422892,362096037
(주)경방,50,Dec-12,123685731,52907652,164949423,101710997,50300747,121339742
