회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)경동나비엔,9450,Dec-12,379014259,145371681,100189444,341339118,123218302,87833093
(주)경동나비엔,9450,Dec-13,414177562,134043087,149468556,371601179,104914630,132677192
(주)경동나비엔,9450,Dec-14,428985365,159947056,186324883,382392117,134136648,156677220
(주)경동나비엔,9450,Dec-15,512031120,158254944,177125715,448302084,129837058,136609355
(주)경동나비엔,9450,Dec-16,583252904,175420277,177489101,506082201,145915928,135099803
(주)경동나비엔,9450,Dec-17,684660958,230894567,219839746,569819524,175839342,159637322
(주)경동나비엔,9450,Dec-18,726741615,287001959,275122471,618058456,209454208,191253920
(주)경동나비엔,9450,Dec-19,774290704,274279157,270253541,655419303,214093729,183748685
(주)경동도시가스,267290,Dec-17,871548284,376858740,334894003,870828897,374489353,334399752
(주)경동도시가스,267290,Dec-18,1606531867,444232799,375912237,1605687067,441723742,375445868
(주)경동도시가스,267290,Dec-19,1422707835,395154174,321180745,1421866212,392458231,320773519
(주)경동인베스트,12320,Dec-11,1847666903,610411619,488755455,1806174764,563584969,450578763
(주)경동인베스트,12320,Dec-12,2502642394,814034002,649801248,2403814656,753036515,612902677
(주)경동인베스트,12320,Dec-13,2788264380,778164231,596199441,2664100017,724069045,555649865
(주)경동인베스트,12320,Dec-14,2603059058,766552554,550250914,2399450987,631297926,449400573
(주)경동인베스트,12320,Dec-15,1604168482,571798491,392919112,1352478311,459634757,294859087
(주)경동인베스트,12320,Dec-16,1181902637,508994824,337654347,1021002691,394847821,259946634
(주)경동인베스트,12320,Dec-17,195069859,238339688,77526863,612436,110951332,615156
(주)경동인베스트,12320,Dec-18,228644016,188460289,78414333,7460898,44742051,424952
(주)경동인베스트,12320,Dec-19,271765025,236475693,84662496,8641051,44653640,7787239
(주)경방,50,Dec-11,348136369,138673371,406687562,275746943,123787600,362096037
(주)경방,50,Dec-12,333620804,123685731,164949423,265409209,101710997,121339742
(주)경방,50,Dec-13,347189559,103410904,135215333,264782077,79482802,88576434
(주)경방,50,Dec-14,329036023,101229398,409405729,256979444,83665762,388656785
(주)경방,50,Dec-15,357628146,108093423,185946014,307744480,83760073,143915877
(주)경방,50,Dec-16,377445013,106002223,155435755,313876822,80538917,120641481
(주)경방,50,Dec-17,360788750,90254697,319476563,288103985,71472590,249334914
(주)경방,50,Dec-18,351438926,120711492,163151849,279085217,88159568,102888605
(주)경방,50,Dec-19,343892085,264861016,192380293,253552382,223798878,150525799
(주)경보제약,214390,Dec-15,,,,178032632,105108130,64542191
(주)경보제약,214390,Dec-16,,,,186726170,102226920,72716830
(주)경보제약,214390,Dec-17,,,,191661374,110638039,60379395
(주)경보제약,214390,Dec-18,,,,201343596,128936315,69317865
(주)경보제약,214390,Dec-19,,,,191706189,124176490,83814952
(주)경인양행,12610,Dec-11,233095049,166259207,107188765,128707611,99039937,64682274
(주)경인양행,12610,Dec-12,218604655,146242797,94090486,141304459,94723927,70551008
(주)경인양행,12610,Dec-13,260808400,175887375,108289018,183106757,123143650,88530619
