회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별)
(주)고영테크놀러지,98460,Dec-11,63304178,14902695,87006201,61560094,14154716,87017886
(주)고영테크놀러지,98460,Dec-12,77857574,15604806,103351965,75787332,14596799,103019642
(주)고영테크놀러지,98460,Dec-13,94895999,17831243,120951617,93556579,16476867,121329325
(주)고영테크놀러지,98460,Dec-14,108649874,20476391,141720465,107119140,18713887,141873467
(주)고영테크놀러지,98460,Dec-15,121834639,21007557,158857627,124933566,20345674,160170850
(주)고영테크놀러지,98460,Dec-16,154891864,27477608,195121241,156029191,26393379,194332855
(주)고영테크놀러지,98460,Dec-17,161356541,32283948,205207385,159374622,29687984,205696350
(주)고영테크놀러지,98460,Dec-18,227563739,40471875,279059436,231667150,38506988,279985447
(주)고영테크놀러지,98460,Dec-19,225797248,38413935,305481184,229213476,34506180,308020011
(주)골드앤에스,35290,Dec-11,23477041,21734828,46677146,23165184,21203833,46347129
(주)골드앤에스,35290,Dec-12,26661256,20697748,51950606,27310447,19364629,51062616
(주)골드앤에스,35290,Dec-13,15792977,29802347,51442505,17985887,22293201,34508798
(주)골드앤에스,35290,Dec-14,15072221,25047175,46528474,15782408,14232991,28884288
(주)골드앤에스,35290,Dec-15,15364121,7942854,24102094,15122533,7606920,23597566
(주)골드앤에스,35290,Dec-16,8660668,3670098,18671644,8552277,3460979,18296141
(주)골드앤에스,35290,Dec-17,10831000,3198537,17173934,10974294,3260731,16994788
(주)골드앤에스,35290,Dec-18,21031370,28003279,42472631,21031370,27915835,42472631
(주)골드앤에스,35290,Dec-19,3910189,21055498,16096170,3910189,20965017,16096170
(주)골드퍼시픽,38530,Dec-11,,,,15105931,2479288,27473520
(주)골드퍼시픽,38530,Dec-12,,,,19029706,3581856,29861540
(주)골드퍼시픽,38530,Dec-13,16708814,10776770,33687572,15961156,8833269,30517744
(주)골드퍼시픽,38530,Dec-14,23894969,17941676,41948832,15761409,8600544,31936409
(주)골드퍼시픽,38530,Dec-15,14304863,4089090,28573328,14304863,4089090,27495738
(주)골드퍼시픽,38530,Dec-16,,,,5438550,6684024,11122066
(주)골드퍼시픽,38530,Dec-17,,,,17215160,20748043,26567967
(주)골드퍼시픽,38530,Dec-18,23990386,12191199,37825442,22006122,11654119,37288362
(주)골드퍼시픽,38530,Dec-19,,,,28455147,50456375,72945743
(주)골프존,215000,Dec-15,81295773,50803120,178132253,71290784,48712106,171629353
(주)골프존,215000,Dec-16,89781733,56451253,187914226,75788492,51807444,177635830
(주)골프존,215000,Dec-17,160591890,51918381,253672419,142686039,45867329,239011847
(주)골프존,215000,Dec-18,145265354,54339957,254057808,134088763,52508860,254578679
(주)골프존,215000,Dec-19,81730468,61066134,312587283,70491340,54396575,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,276277197,27175102,378054302,249046740,23959622,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,267312187,127906398,540922890,267719852,100380679,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,280228001,210617017,637840057,315880696,158799918,589946855
