회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-13,280228001,637840057,315880696,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,176744598,762037240,174950116,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,97152205,767325175,45672526,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,102314350,760772930,63048320,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,117348020,756500949,46961353,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,99968915,774743339,59445798,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,125716505,776384700,30696570,537526345
(주)광림,14200,Dec-11,,,49443117,86353051
(주)광림,14200,Dec-12,,,53533329,89766075
(주)광림,14200,Dec-13,,,66494275,101592603
(주)광림,14200,Dec-14,149961809,244886480,53880127,120284256
(주)광림,14200,Dec-15,,,57623469,146338755
(주)광림,14200,Dec-16,88113464,229596737,51509785,152080347
(주)광림,14200,Dec-17,78175789,208058303,255751980,369582323
(주)광림,14200,Dec-18,75325405,187812629,145430179,236379465
(주)광림,14200,Dec-19,114526470,252468254,82568345,193568854
(주)광명전기,17040,Dec-11,70952226,123886511,50517306,99992644
(주)광명전기,17040,Dec-12,80616850,131064345,59736559,104218586
(주)광명전기,17040,Dec-13,78305715,120910764,64082992,105483729
(주)광명전기,17040,Dec-14,93730239,138580023,76850052,119791644
(주)광명전기,17040,Dec-15,83058514,131457603,63045495,107719518
(주)광명전기,17040,Dec-16,72296041,146859319,62147467,125405290
(주)광명전기,17040,Dec-17,72825667,152717140,64686772,128881408
(주)광명전기,17040,Dec-18,69980314,151823119,59981263,124159091
(주)광명전기,17040,Dec-19,87126906,156712705,77171530,140591786
(주)광무,29480,Dec-11,37578091,75946478,35909129,85836111
(주)광무,29480,Dec-12,23778931,55788602,16266767,60163490
(주)광무,29480,Dec-13,14314055,35384615,7025489,28890332
(주)광무,29480,Dec-14,,,9475626,27862528
(주)광무,29480,Dec-15,,,5286509,21133216
(주)광무,29480,Dec-16,,,11893960,29089768
(주)광무,29480,Dec-17,,,14949942,28950503
(주)광무,29480,Dec-18,17301470,28431748,12582516,26017306
(주)광무,29480,Dec-19,39307761,63139837,33233586,57156720
(주)광주신세계,37710,Dec-11,,,260854658,380753715
(주)광주신세계,37710,Dec-12,,,287723501,430662968
(주)광주신세계,37710,Dec-13,,,25873334,656355808
(주)광주신세계,37710,Dec-14,,,24561635,652758688
(주)광주신세계,37710,Dec-15,,,33510638,659495158
(주)광주신세계,37710,Dec-16,,,32426270,655502726
(주)광주신세계,37710,Dec-17,,,33243825,655018971
(주)광주신세계,37710,Dec-18,,,77504431,696204982
(주)광주신세계,37710,Dec-19,,,103160925,752423111
(주)구영테크,53270,Dec-11,58842369,149471330,40821654,94940916
(주)구영테크,53270,Dec-12,66346373,161163024,48964877,109440531
(주)구영테크,53270,Dec-13,53694228,149230187,36391962,97549406
(주)구영테크,53270,Dec-14,57115595,155857242,40628726,101546298
(주)구영테크,53270,Dec-15,58836903,161330950,41055597,102761141
(주)구영테크,53270,Dec-16,54139890,166748490,39434041,108895002
(주)구영테크,53270,Dec-17,64140319,187009683,52077454,139584386
(주)구영테크,53270,Dec-18,60744298,202572970,43158029,146492374
(주)구영테크,53270,Dec-19,70165074,206569873,37519675,141034767
(주)국동,5320,Dec-11,39415062,68162305,22715717,42291817
(주)국동,5320,Dec-12,39351863,65808287,17991148,35813125
(주)국동,5320,Dec-13,48642552,73040609,24414342,40194919
(주)국동,5320,Dec-14,60454108,89271398,36105772,53392996
(주)국동,5320,Dec-15,63906154,93758552,34533151,66242141
(주)국동,5320,Dec-16,83256355,124126720,51330735,86116813
(주)국동,5320,Dec-17,66343830,106307080,39587109,75154254
(주)국동,5320,Dec-18,83767312,123134702,46980024,80727956
(주)국동,5320,Dec-19,89543258,133723726,54839302,96856085
(주)국보,1140,Dec-11,41337436,98869465,39894724,97415381
(주)국보,1140,Dec-12,39130945,98494841,36506928,93953021
(주)국보,1140,Dec-13,37418409,98315386,35691910,94915572
(주)국보,1140,Dec-14,31669967,91005502,30298511,87597909
(주)국보,1140,Dec-15,26759792,83085438,25758664,80158667
(주)국보,1140,Dec-16,26046898,81308887,24610414,77487791
(주)국보,1140,Dec-17,18529522,73270170,17793062,69819240
(주)국보,1140,Dec-18,11759027,48188113,11593846,45599283
(주)국보,1140,Dec-19,70457619,115356448,17297097,57467353
(주)국보디자인,66620,Dec-11,59455203,80200900,57200948,79203327
(주)국보디자인,66620,Dec-12,74341481,92877548,72788158,92873298
(주)국보디자인,66620,Dec-13,102871707,127902185,95233392,121964092
(주)국보디자인,66620,Dec-14,106963249,132011877,99218627,125685773
(주)국보디자인,66620,Dec-15,107093318,141089858,96703601,129037954
(주)국보디자인,66620,Dec-16,128985094,158452485,118586463,150830570
(주)국보디자인,66620,Dec-17,135628503,164381715,127549210,158317679
(주)국보디자인,66620,Dec-18,142346121,175036784,127871195,161750972
(주)국보디자인,66620,Dec-19,194818591,222514980,169956490,197762410
(주)국순당,43650,Dec-11,82405755,199135153,77580053,193849294
