회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별)
(주)광명전기,17040,Dec-17,101561159,13326881,105083042,12111820
(주)광명전기,17040,Dec-18,114110654,11215318,96949804,9140681
(주)광명전기,17040,Dec-19,131864294,11445805,125009206,10714507
(주)광무,29480,Dec-11,51755052,2896522,50359203,2878872
(주)광무,29480,Dec-12,41178683,3451446,40406860,2234116
(주)광무,29480,Dec-13,20534276,6942208,10105219,217205
(주)광무,29480,Dec-14,,,38409667,2596908
(주)광무,29480,Dec-15,,,17648493,1618468
(주)광무,29480,Dec-16,,,26429957,3511856
(주)광무,29480,Dec-17,,,21540953,3938636
(주)광무,29480,Dec-18,23074941,4677581,20707286,4669886
(주)광무,29480,Dec-19,36483979,4822290,25244176,4822290
(주)광주신세계,37710,Dec-11,,,219613514,6321463
(주)광주신세계,37710,Dec-12,,,213803173,5075335
(주)광주신세계,37710,Dec-13,,,206606675,4886193
(주)광주신세계,37710,Dec-14,,,204820461,4704385
(주)광주신세계,37710,Dec-15,,,205331892,5016639
(주)광주신세계,37710,Dec-16,,,210423594,4614162
(주)광주신세계,37710,Dec-17,,,209647360,4800593
(주)광주신세계,37710,Dec-18,,,135213362,4480641
(주)광주신세계,37710,Dec-19,,,154879496,1573309
(주)구영테크,53270,Dec-11,147832315,16472298,62527619,6299970
(주)구영테크,53270,Dec-12,155788988,17049710,65451015,7454466
(주)구영테크,53270,Dec-13,172747316,15687991,76282590,6844830
(주)구영테크,53270,Dec-14,170528694,14490199,77799749,7335754
(주)구영테크,53270,Dec-15,172083049,15341928,87109177,6601210
(주)구영테크,53270,Dec-16,148301597,17062202,75320433,8951343
(주)구영테크,53270,Dec-17,149833357,12713646,74298129,6282989
(주)구영테크,53270,Dec-18,195238339,17759576,81928926,6110577
(주)구영테크,53270,Dec-19,230853336,24047776,93132845,5907988
(주)국동,5320,Dec-11,154293577,7004176,100097439,5839281
(주)국동,5320,Dec-12,138172746,11745693,91524436,3897290
(주)국동,5320,Dec-13,147860227,11443259,95716049,4920293
(주)국동,5320,Dec-14,186086561,6514361,117861978,2400487
(주)국동,5320,Dec-15,170296068,8483606,102431161,3471027
(주)국동,5320,Dec-16,197368723,11310843,127275873,3776098
(주)국동,5320,Dec-17,191602989,0,130016453,0
