회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(소분류),종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원)
(주)골드퍼시픽,038530,2014/12,  생활용품 도매업,-60.71,0.64,0,30896
(주)골드퍼시픽,038530,2015/12,  생활용품 도매업,104.55,0,108333,0
(주)골드퍼시픽,038530,2016/12,  생활용품 도매업,113.33,0,158333,0
(주)골드퍼시픽,038530,2017/12,  생활용품 도매업,-68.75,0,,0
(주)골드퍼시픽,038530,2018/12,  생활용품 도매업,-13.33,0,820000,0
(주)골드퍼시픽,038530,2019/12,  생활용품 도매업,115.38,0,,0
(주)골프존,215000,2015/12,  소프트웨어 개발 및 공급업,,,1747578,0
(주)골프존,215000,2016/12,  소프트웨어 개발 및 공급업,0,0,,0
(주)골프존,215000,2017/12,  소프트웨어 개발 및 공급업,-12.86,0,,0
(주)골프존,215000,2018/12,  소프트웨어 개발 및 공급업,92.62,0,,0
(주)골프존,215000,2019/12,  소프트웨어 개발 및 공급업,-15.32,0,,0
(주)골프존뉴딘홀딩스,121440,2011/12,  상품 중개업,0,0,0,0
(주)골프존뉴딘홀딩스,121440,2012/12,  상품 중개업,27.95,0,0,0
(주)골프존뉴딘홀딩스,121440,2013/12,  상품 중개업,-18.47,0,0,0
(주)골프존뉴딘홀딩스,121440,2014/12,  상품 중개업,-9.15,0,0,0
(주)골프존뉴딘홀딩스,121440,2015/12,  상품 중개업,-65.95,0,,0
(주)골프존뉴딘홀딩스,121440,2016/12,  상품 중개업,15.49,0,,0
(주)골프존뉴딘홀딩스,121440,2017/12,  상품 중개업,-30.49,0,,0
(주)골프존뉴딘홀딩스,121440,2018/12,  상품 중개업,-50,0,,0
(주)골프존뉴딘홀딩스,121440,2019/12,  상품 중개업,-26.32,0,,0
(주)광림,014200,2011/12,  자동차용 엔진 및 자동차 제조업,4.74,0,120636,0
(주)광림,014200,2012/12,  자동차용 엔진 및 자동차 제조업,-2.51,0,137653,0
(주)광림,014200,2013/12,  자동차용 엔진 및 자동차 제조업,11.86,0,16744,0
(주)광림,014200,2014/12,  자동차용 엔진 및 자동차 제조업,0,0,285589,0
(주)광림,014200,2015/12,  자동차용 엔진 및 자동차 제조업,9.22,0.19,129876,462162
(주)광림,014200,2016/12,  자동차용 엔진 및 자동차 제조업,-0.84,0,0,0
(주)광림,014200,2017/12,  자동차용 엔진 및 자동차 제조업,-4.26,0,0,0
(주)광림,014200,2018/12,  자동차용 엔진 및 자동차 제조업,-13.33,0,0,0
(주)광림,014200,2019/12,  자동차용 엔진 및 자동차 제조업,-4.1,0,0,0
(주)광명전기,017040,2011/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",13.64,0,833743,0
(주)광명전기,017040,2012/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",2.29,0,621281,0
(주)광명전기,017040,2013/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",2.23,0,508662,0
(주)광명전기,017040,2014/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",5.46,0,1295887,0
(주)광명전기,017040,2015/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",1.04,0,939825,0
(주)광명전기,017040,2016/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",3.08,0,1138855,0
(주)광명전기,017040,2017/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",-5.47,0,414307,0
(주)광명전기,017040,2018/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",1.05,0,429004,0
(주)광명전기,017040,2019/12,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",1.04,0,646457,0
(주)광무,029480,2011/12,  통신 및 방송 장비 제조업,3.4,0,,0
(주)광무,029480,2012/12,  통신 및 방송 장비 제조업,-13.16,0,,0
(주)광무,029480,2013/12,  통신 및 방송 장비 제조업,-71.97,0,,0
(주)광무,029480,2014/12,  통신 및 방송 장비 제조업,194.59,0,,0
(주)광무,029480,2015/12,  통신 및 방송 장비 제조업,-2.75,0,,0
(주)광무,029480,2016/12,  통신 및 방송 장비 제조업,3.77,0,,0
(주)광무,029480,2017/12,  통신 및 방송 장비 제조업,6.36,0,,0
(주)광무,029480,2018/12,  통신 및 방송 장비 제조업,4.27,0,,0
(주)광무,029480,2019/12,  통신 및 방송 장비 제조업,5.74,0,,0
(주)광주신세계,037710,2011/12,  종합 소매업,-0.96,0,0,8266
(주)광주신세계,037710,2012/12,  종합 소매업,-5.81,0,0,9481
(주)광주신세계,037710,2013/12,  종합 소매업,34.93,0,0,0
(주)광주신세계,037710,2014/12,  종합 소매업,-1.27,0,0,0
(주)광주신세계,037710,2015/12,  종합 소매업,-4.11,0,0,0
(주)광주신세계,037710,2016/12,  종합 소매업,-2.68,0,0,0
(주)광주신세계,037710,2017/12,  종합 소매업,-4.13,0,0,0
(주)광주신세계,037710,2018/12,  종합 소매업,-2.3,0,0,0
(주)광주신세계,037710,2019/12,  종합 소매업,-48.82,0,0,0
(주)구영테크,053270,2011/12,  자동차 신품 부품 제조업,-5.91,0,0,0
(주)구영테크,053270,2012/12,  자동차 신품 부품 제조업,13.09,0,0,0
(주)구영테크,053270,2013/12,  자동차 신품 부품 제조업,23.15,0,0,0
(주)구영테크,053270,2014/12,  자동차 신품 부품 제조업,9.4,0.06,0,45952
(주)구영테크,053270,2015/12,  자동차 신품 부품 제조업,-1.72,0.11,0,96323
(주)구영테크,053270,2016/12,  자동차 신품 부품 제조업,-0.7,0.01,0,6841
(주)구영테크,053270,2017/12,  자동차 신품 부품 제조업,6.69,0.01,0,4039
(주)구영테크,053270,2018/12,  자동차 신품 부품 제조업,-6.6,0.06,0,48921
(주)구영테크,053270,2019/12,  자동차 신품 부품 제조업,-12.37,0,0,0
(주)국동,005320,2011/12,  생활용품 도매업,-10.39,0,,0
(주)국동,005320,2012/12,  생활용품 도매업,-13.04,0,,0
(주)국동,005320,2013/12,  생활용품 도매업,8.33,0,,0
(주)국동,005320,2014/12,  생활용품 도매업,3.08,0,,0
(주)국동,005320,2015/12,  생활용품 도매업,8.96,0,,0
(주)국동,005320,2016/12,  생활용품 도매업,-1.37,0,,0
(주)국동,005320,2017/12,  생활용품 도매업,1.39,0,,0
(주)국동,005320,2018/12,  생활용품 도매업,16.44,0,,0
(주)국동,005320,2019/12,  생활용품 도매업,-5.88,0,,0
(주)국보,001140,2011/12,  도로 화물 운송업,-0.52,0,,0
(주)국보,001140,2012/12,  도로 화물 운송업,-8.33,0,,0
(주)국보,001140,2013/12,  도로 화물 운송업,-1.7,0,,0
(주)국보,001140,2014/12,  도로 화물 운송업,-1.73,0,,0
(주)국보,001140,2015/12,  도로 화물 운송업,8.24,0,,0
(주)국보,001140,2016/12,  도로 화물 운송업,-22.83,0,,0
(주)국보,001140,2017/12,  도로 화물 운송업,-10.56,0,,0
(주)국보,001140,2018/12,  도로 화물 운송업,-3.15,0,,0
(주)국보,001140,2019/12,  도로 화물 운송업,10.57,0,,0
(주)국보디자인,066620,2011/12,  실내건축 및 건축마무리 공사업,9.92,0,,0
(주)국보디자인,066620,2012/12,  실내건축 및 건축마무리 공사업,-0.38,0,,0
(주)국보디자인,066620,2013/12,  실내건축 및 건축마무리 공사업,7.55,0.42,0,645834
(주)국보디자인,066620,2014/12,  실내건축 및 건축마무리 공사업,0,0.51,0,801695
(주)국보디자인,066620,2015/12,  실내건축 및 건축마무리 공사업,5.96,0.52,0,814903
(주)국보디자인,066620,2016/12,  실내건축 및 건축마무리 공사업,16.56,0.37,0,707544
(주)국보디자인,066620,2017/12,  실내건축 및 건축마무리 공사업,9.94,0,,0
(주)국보디자인,066620,2018/12,  실내건축 및 건축마무리 공사업,-11.89,0,,0
