,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본율(개별),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결)
64,(주)강원에너지,114190,16-Dec,"70,850","53,746",75.86,"77,187","55,089",71.37
65,(주)강원에너지,114190,17-Dec,"87,781","47,117",53.68,"93,179","48,303",51.84
66,(주)강원에너지,114190,18-Dec,"89,620","49,286",54.99,"93,846","50,204",53.5
67,(주)강원에너지,114190,19-Dec,"55,106","22,904",41.56,"56,602","21,125",37.32
68,(주)갤럭시아에스엠,11420,11-Dec,"40,712","24,540",60.28,"45,110","25,274",56.03
69,(주)갤럭시아에스엠,11420,12-Dec,"40,170","25,153",62.62,"43,979","25,907",58.91
70,(주)갤럭시아에스엠,11420,13-Dec,"34,159","22,473",65.79,"37,637","21,493",57.11
71,(주)갤럭시아에스엠,11420,14-Dec,"40,528","23,402",57.74,"45,274","23,206",51.26
72,(주)갤럭시아에스엠,11420,15-Dec,"67,197","50,665",75.4,"68,687","49,739",72.41
73,(주)갤럭시아에스엠,11420,16-Dec,"55,826","44,847",80.33,"58,445","44,847",76.73
74,(주)갤럭시아에스엠,11420,17-Dec,"48,958","40,494",82.71,"49,831","40,494",81.26
75,(주)갤럭시아에스엠,11420,18-Dec,"33,338","26,797",80.38,"33,253","26,472",79.61
76,(주)갤럭시아에스엠,11420,19-Dec,"28,242","21,799",77.19,"28,242","21,799",77.19
77,(주)골드앤에스,35290,11-Dec,"46,347","22,638",48.84,"46,677","22,437",48.07
78,(주)골드앤에스,35290,12-Dec,"51,063","26,253",51.41,"51,951","25,518",49.12
79,(주)골드앤에스,35290,13-Dec,"34,509","9,813",28.44,"51,443","13,127",25.52
80,(주)골드앤에스,35290,14-Dec,"28,884","9,084",31.45,"46,528","12,083",25.97
81,(주)골드앤에스,35290,15-Dec,"23,598","14,992",63.53,"24,102","15,160",62.9
82,(주)골드앤에스,35290,16-Dec,"18,296","14,102",77.08,"18,672","14,269",76.42
83,(주)골드앤에스,35290,17-Dec,"16,995","13,105",77.11,"17,174","13,346",77.71
84,(주)골드앤에스,35290,18-Dec,"42,473","13,867",32.65,"42,473","13,780",32.44
85,(주)골드앤에스,35290,19-Dec,"16,096","-5,001",-31.07,"16,096","-5,092",-31.64
86,(주)골드퍼시픽,38530,11-Dec,"27,474","21,830",79.46,"27,474","21,830",79.46
87,(주)골드퍼시픽,38530,12-Dec,"29,862","22,928",76.78,"29,862","22,928",76.78
88,(주)골드퍼시픽,38530,13-Dec,"30,518","17,116",56.08,"33,688","16,191",48.06
89,(주)골드퍼시픽,38530,14-Dec,"31,936","16,902",52.92,"41,949","16,568",39.5
90,(주)골드퍼시픽,38530,15-Dec,"27,496","20,116",73.16,"28,573","21,193",74.17
91,(주)골드퍼시픽,38530,16-Dec,"11,122","1,890",16.99,"11,122","1,890",16.99
92,(주)골드퍼시픽,38530,17-Dec,"26,568","5,364",20.19,"26,568","5,364",20.19
93,(주)골드퍼시픽,38530,18-Dec,"37,288","20,087",53.87,"37,825","20,087",53.11
94,(주)골드퍼시픽,38530,19-Dec,"72,946","21,069",28.88,"72,946","21,069",28.88
95,(주)골프존뉴딘홀딩스,121440,11-Dec,"373,246","348,104",93.26,"378,054","348,969",92.31
96,(주)골프존뉴딘홀딩스,121440,12-Dec,"512,615","411,000",80.18,"540,923","411,637",76.1
97,(주)골프존뉴딘홀딩스,121440,13-Dec,"589,947","427,556",72.47,"637,840","424,544",66.56
98,(주)골프존뉴딘홀딩스,121440,14-Dec,"586,599","473,636",80.74,"762,037","486,386",63.83
99,(주)골프존뉴딘홀딩스,121440,15-Dec,"585,663","551,703",94.2,"767,325","551,360",71.85
100,(주)골프존뉴딘홀딩스,121440,16-Dec,"561,893","506,841",90.2,"760,773","528,087",69.41
101,(주)골프존뉴딘홀딩스,121440,17-Dec,"536,245","480,074",89.53,"756,501","500,913",66.21
102,(주)골프존뉴딘홀딩스,121440,18-Dec,"563,387","484,481",85.99,"774,743","485,970",62.73
103,(주)골프존뉴딘홀딩스,121440,19-Dec,"537,526","450,069",83.73,"776,385","447,198",57.6
104,(주)광림,14200,11-Dec,"86,353","56,677",65.63,"86,353","56,677",65.63
105,(주)광림,14200,12-Dec,"89,766","63,502",70.74,"89,766","63,502",70.74
106,(주)광림,14200,13-Dec,"101,593","64,797",63.78,"101,593","64,797",63.78
107,(주)광림,14200,14-Dec,"120,284","66,259",55.09,"244,886","128,971",52.67
108,(주)광림,14200,15-Dec,"146,339","80,899",55.28,"146,339","80,899",55.28
109,(주)광림,14200,16-Dec,"152,080","90,221",59.32,"229,597","113,506",49.44
110,(주)광림,14200,17-Dec,"369,582","176,556",47.77,"208,058","107,691",51.76
111,(주)광림,14200,18-Dec,"236,379","120,931",51.16,"187,813","90,075",47.96
112,(주)광림,14200,19-Dec,"193,569","60,749",31.38,"252,468","90,772",35.95
113,(주)광무,29480,11-Dec,"85,836","49,296",57.43,"75,946","37,832",49.81
114,(주)광무,29480,12-Dec,"60,163","36,518",60.7,"55,789","29,507",52.89
115,(주)광무,29480,13-Dec,"28,890","11,347",39.28,"35,385","8,787",24.83
116,(주)광무,29480,14-Dec,"27,863","8,505",30.52,"27,863","8,505",30.52
117,(주)광무,29480,15-Dec,"21,133","7,744",36.64,"21,133","7,744",36.64
118,(주)광무,29480,16-Dec,"29,090","8,053",27.68,"29,090","8,053",27.68
119,(주)광무,29480,17-Dec,"28,951","13,552",46.81,"28,951","13,552",46.81
120,(주)광무,29480,18-Dec,"26,017","9,695",37.26,"28,432","10,729",37.74
121,(주)광무,29480,19-Dec,"57,157","22,202",38.84,"63,140","22,844",36.18
122,(주)국보,1140,11-Dec,"97,415","33,874",34.77,"98,869","34,467",34.86
123,(주)국보,1140,12-Dec,"93,953","31,656",33.69,"98,495","33,793",34.31
124,(주)국보,1140,13-Dec,"94,916","27,679",29.16,"98,315","29,768",30.28
125,(주)국보,1140,14-Dec,"87,598","20,985",23.96,"91,006","22,620",24.86
126,(주)국보,1140,15-Dec,"80,159","17,113",21.35,"83,085","18,409",22.16
127,(주)국보,1140,16-Dec,"77,488","13,201",17.04,"81,309","15,276",18.79
128,(주)국보,1140,17-Dec,"69,819","16,039",22.97,"73,270","17,849",24.36
129,(주)국보,1140,18-Dec,"45,599","11,578",25.39,"48,188","13,412",27.83
130,(주)국보,1140,19-Dec,"57,467","12,279",21.37,"115,356","28,604",24.8
131,(주)국순당,43650,11-Dec,"193,849","174,045",89.78,"199,135","178,114",89.44
132,(주)국순당,43650,12-Dec,"203,490","186,306",91.56,"209,730","191,626",91.37
133,(주)국순당,43650,13-Dec,"203,200","185,986",91.53,"218,115","194,568",89.2
134,(주)국순당,43650,14-Dec,"205,783","186,838",90.79,"217,480","196,811",90.5
135,(주)국순당,43650,15-Dec,"203,528","186,118",91.45,"216,588","198,167",91.49
136,(주)국순당,43650,16-Dec,"200,077","183,189",91.56,"213,005","194,019",91.09
137,(주)국순당,43650,17-Dec,"208,832","191,746",91.82,"242,200","221,539",91.47
138,(주)국순당,43650,18-Dec,"221,230","203,500",91.99,"238,619","215,680",90.39
139,(주)국순당,43650,19-Dec,"210,007","196,924",93.77,"252,484","204,959",81.18
140,(주)국영지앤엠,6050,11-Dec,"61,023","32,733",53.64,"61,023","32,733",53.64
141,(주)국영지앤엠,6050,12-Dec,"60,198","45,960",76.35,"60,198","45,960",76.35
142,(주)국영지앤엠,6050,13-Dec,"63,108","46,345",73.44,"63,108","46,345",73.44
143,(주)국영지앤엠,6050,14-Dec,"58,996","47,241",80.07,"58,996","47,241",80.07
144,(주)국영지앤엠,6050,15-Dec,"63,713","48,973",76.87,"63,713","48,973",76.87
145,(주)국영지앤엠,6050,16-Dec,"65,671","50,558",76.99,"65,671","50,558",76.99
146,(주)국영지앤엠,6050,17-Dec,"66,101","52,612",79.59,"66,101","52,612",79.59
147,(주)국영지앤엠,6050,18-Dec,"60,335","51,748",85.77,"60,335","51,748",85.77
148,(주)국영지앤엠,6050,19-Dec,"68,657","52,826",76.94,"68,657","52,826",76.94
149,(주)기가레인,49080,13-Dec,"122,926","62,597",50.92,"122,524","62,386",50.92
150,(주)기가레인,49080,14-Dec,"133,238","77,079",57.85,"131,924","75,572",57.28
151,(주)기가레인,49080,15-Dec,"148,551","65,462",44.07,"151,758","65,745",43.32
152,(주)기가레인,49080,16-Dec,"152,640","57,063",37.38,"155,732","57,597",36.98
153,(주)기가레인,49080,17-Dec,"179,756","89,024",49.52,"181,628","88,669",48.82
154,(주)기가레인,49080,18-Dec,"176,296","66,878",37.94,"179,114","68,560",38.28
155,(주)기가레인,49080,19-Dec,"115,539","27,888",24.14,"117,798","28,065",23.82
156,(주)기산텔레콤,35460,11-Dec,"59,417","32,479",54.66,"86,259","33,889",39.29
157,(주)기산텔레콤,35460,12-Dec,"46,588","33,918",72.8,"73,235","31,517",43.04
158,(주)기산텔레콤,35460,13-Dec,"57,255","36,088",63.03,"78,811","36,517",46.33
159,(주)기산텔레콤,35460,14-Dec,"54,284","36,430",67.11,"78,053","38,507",49.33
160,(주)기산텔레콤,35460,15-Dec,"53,901","38,723",71.84,"76,013","42,259",55.59
161,(주)기산텔레콤,35460,16-Dec,"47,117","37,420",79.42,"74,210","39,871",53.73
