구분,코드,산업명,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
(주)대웅제약,069620,  의료용 물질 및 의약품 제조업,57.92 ,58.93 ,57.56 ,63.59 ,64.51 ,58.53 ,58.68 ,62.09 ,58.85 
(주)대원,007680,  종합 건설업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,85.40 ,86.12 ,83.69 
(주)대유,290380,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,36.10 ,37.68 
(주)대유에이텍,002880,  자동차 및 트레일러 제조업,92.52 ,92.41 ,93.58 ,94.49 ,91.18 ,88.79 ,89.84 ,91.28 ,90.79 
(주)대유에이피,290120,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,89.85 ,87.74 
(주)대유플러스,000300,  자동차 및 트레일러 제조업,96.26 ,99.96 ,95.42 ,95.30 ,94.30 ,91.90 ,89.94 ,91.93 ,92.10 
(주)대창,012800,  1차 금속 제조업,95.41 ,95.77 ,96.15 ,94.59 ,98.24 ,91.94 ,90.57 ,92.76 ,92.37 
(주)대창솔루션,096350,  기타 운송장비 제조업,90.76 ,91.27 ,95.64 ,93.39 ,89.78 ,105.81 ,111.43 ,113.02 ,90.14 
(주)대창스틸,140520,  1차 금속 제조업,0.00 ,#DIV/0!,#DIV/0!,94.03 ,94.10 ,95.11 ,95.15 ,94.73 ,93.66 
(주)대한과학,131220,  도매 및 상품 중개업,73.44 ,75.48 ,73.81 ,74.77 ,77.39 ,77.57 ,74.10 ,75.24 ,76.97 
(주)대한항공,003490,  항공 운송업,86.45 ,88.63 ,90.56 ,87.08 ,82.12 ,80.14 ,81.85 ,84.19 ,87.47 
(주)대현,016090,"  의복, 의복 액세서리 및 모피제품 제조업",42.50 ,42.76 ,42.54 ,44.43 ,45.37 ,43.74 ,44.35 ,43.37 ,43.36 
(주)대호에이엘,069460,  1차 금속 제조업,90.48 ,93.91 ,95.85 ,97.14 ,93.80 ,96.23 ,95.14 ,95.57 ,97.11 
(주)대호특수강,021040,  1차 금속 제조업,95.02 ,98.30 ,92.92 ,90.34 ,90.55 ,87.97 ,89.87 ,91.72 ,93.51 
(주)더 미동,161570,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,83.14 ,83.92 ,89.23 ,96.41 ,90.97 ,95.73 ,95.51 
(주)더블유게임즈,192080,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)더블유아이,073570,  기타 기계 및 장비 제조업,93.20 ,121.14 ,120.05 ,90.40 ,83.29 ,114.64 ,106.64 ,102.58 ,68.25 
(주)더블유에스아이,299170,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)더존비즈온,012510,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",47.15 ,45.68 ,47.29 ,45.45 ,44.19 ,41.32 ,41.45 ,44.71 ,44.12 
(주)덕산테코피아,317330,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,58.11 
(주)덕성,004830,  고무 및 플라스틱제품 제조업,90.16 ,84.54 ,83.68 ,85.92 ,87.59 ,87.89 ,88.56 ,90.47 ,85.37 
(주)덕신하우징,090410,  금속가공제품 제조업; 기계 및 가구 제외,#DIV/0!,#DIV/0!,#DIV/0!,78.62 ,83.86 ,96.56 ,85.48 ,84.43 ,87.95 
(주)데이타솔루션,263800,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,84.86 ,90.75 ,86.42 
(주)덱스터스튜디오,206560,  영상ㆍ오디오 기록물 제작 및 배급업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,66.85 ,68.55 ,142.51 ,69.52 ,0.00 
(주)덴티스,261200,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)덴티움,145720,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,32.67 ,37.20 ,41.46 
