회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS)(천원),기계장치(IFRS)(천원),부가가치(IFRS)(백만원),[제조]자본(*)(IFRS),[제조]종업원수(IFRS),유형자산회전율(개별),순운전자본회전율(개별),운전자본회전률(개별),노동장비율(개별),기계장비율(개별),자본집약도(개별),총자본투자효율(개별),설비투자효율(개별),기계투자효율(개별),부가가치율(개별)
(주)TCC스틸,2710,16-Dec,317235565,250878191,97007914,77521428,43730610,101346,60524036,53606.1,92623510,277,1.264500369,16.27977281,32.55954563,157506.3682,218498.3249,334380902.5,57.87526299,122.867303,88.56993608,16.8978847
(주)TCC스틸,2710,17-Dec,333762378,248896237,101914014,148607324,45541678,19800,66209010,30346.26,89627045,283,1.340969964,-7.147969977,-14.29593995,160854.6926,233954.0989,316703339.2,33.85837389,66.663023,45.83403377,9.092175152
(주)TCC스틸,2710,18-Dec,351301866,268135677,128625665,82038987,43204124,306250,63748365,44068.24,98351707,277,1.310164578,7.540822421,15.08164484,154865.9711,230138.5018,355060314.1,44.80678714,102.7282611,69.12842392,12.54426585
(주)TCC스틸,2710,19-Dec,339334364,270265082,121879909,152915323,47129444,2512043,68773022,42215.18,97501452,275,1.255561249,-10.9337792,-21.8675584,162245.0945,250083.7164,354550734.5,43.29697572,94.61595488,61.38334302,12.440585
(주)가비아,79940,11-Dec,33792831,37295822,9245779,11953563,7163470,0,0,15017.54,24298687,191,0.906075512,-12.47988429,-24.95976858,37505.07853,0,127218256.5,61.80391558,209.6405792,#DIV/0!,44.44001747
(주)가비아,79940,12-Dec,38482449,51795749,9613034,10723878,23749485,0,0,17319.4,31165211,211,0.742965393,-34.64253216,-69.28506433,112556.8009,0,147702421.8,55.57286296,72.9253708,#DIV/0!,45.00597142
(주)가비아,79940,13-Dec,40507693,52151784,10360239,11588806,22732962,0,0,16859.32,34822978,228,0.77672689,-32.97149687,-65.94299375,99705.97368,0,152732359.6,48.41435445,74.16244306,#DIV/0!,41.62004486
(주)가비아,79940,14-Dec,43906243,55984243,14916105,13161566,22313113,0,0,19430.85,38147677,247,0.784260725,25.02437563,50.04875127,90336.48988,0,154444036.4,50.93586695,87.08264956,#DIV/0!,44.25532378
(주)가비아,79940,15-Dec,48446932,57657418,17436488,9687159,22210592,0,0,22440.14,42470259,262,0.840254969,6.251758314,12.50351663,84773.25191,0,162100225.2,52.83730434,101.0335069,#DIV/0!,46.31901149
(주)가비아,79940,16-Dec,49430564,61160981,12237594,10247269,22429866,0,0,23132.9,45413712,268,0.808204237,24.83542336,49.67084672,83693.52985,0,169454149.3,50.93813956,103.1343656,#DIV/0!,46.79877818
(주)가비아,79940,17-Dec,52365659,64986436,15116578,17323452,22362004,435654,0,22812.97,47662984,275,0.805793674,-23.72843171,-47.45686342,79732.18182,0,173319941.8,47.86307546,104.0436279,#DIV/0!,43.564753
(주)가비아,79940,18-Dec,55197652,69315988,18388749,18089528,24425180,1738220,0,24805.77,49832912,280,0.796319198,184.4711835,368.942367,81024.85714,0,177974685.7,49.77788575,109.3393297,#DIV/0!,44.9399007
(주)가비아,79940,19-Dec,58254105,82964911,13602872,20260391,39724951,9795289,0,29591.96,54084066,277,0.702153528,-8.75012223,-17.50024446,108049.3213,0,195249335.7,54.71474722,98.87168121,#DIV/0!,50.79806822
(주)강스템바이오텍,217730,15-Dec,1484593,24982626,18896590,2965591,2980005,0,0,-2880.72,21237036,62,0.059425018,0.093188946,0.186377891,48064.59677,0,342532838.7,-13.56460478,-96.66829418,#DIV/0!,-194.0410604
(주)강스템바이오텍,217730,16-Dec,842805,47441769,37966496,3231048,4039297,1068262,0,-5090.69,22976911,79,0.017765042,0.024263542,0.048527084,37608.03797,0,290846974.7,-22.15567619,-171.3439929,#DIV/0!,-604.0175367
(주)강스템바이오텍,217730,17-Dec,5394323,44508729,24316617,4000962,12480829,7327062,0,-2123.85,24668128,75,0.121196968,0.265525429,0.531050857,68716.89333,0,328908373.3,-8.609692637,-41.20966276,#DIV/0!,-39.37194714
