회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)고영테크놀러지,098460,2019/12,26124765,-6674843,-16157867,29168422,-7879555,-17435362
(주)골드앤에스,035290,2011/12,8673653,-9221199,241176,8628850,-8498088,-445968
(주)골드앤에스,035290,2012/12,2427629,-9218663,9778384,2478990,-9284293,9774762
(주)골드앤에스,035290,2013/12,-2348440,-1001142,351222,-204052,-1383374,-1351541
(주)골드앤에스,035290,2014/12,-462082,-915815,1423541,-991208,-1764445,2956818
(주)골드앤에스,035290,2015/12,2167956,-5520151,3746552,1708284,-5567330,4121207
(주)골드앤에스,035290,2016/12,1667960,112543,-1819363,1679723,94530,-1824664
(주)골드앤에스,035290,2017/12,-940910,-5268662,7871374,361216,-6335735,7655990
(주)골드앤에스,035290,2018/12,-2810496,-12992586,28913273,-3136830,-12675663,28913273
(주)골드앤에스,035290,2019/12,-6246635,-4973680,-3273255,-6506543,-4713771,-3273255
(주)골드퍼시픽,038530,2011/12,1749769,-7888757,4078556,,,
(주)골드퍼시픽,038530,2012/12,-4543789,1614727,2896595,,,
(주)골드퍼시픽,038530,2013/12,-4333969,-1723987,6058715,-2334044,-6853546,9215773
(주)골드퍼시픽,038530,2014/12,-5423532,-3778013,9208854,-4905537,-3323988,8252414
(주)골드퍼시픽,038530,2015/12,-7136666,235416,9784781,-5635841,1337628,7138741
(주)골드퍼시픽,038530,2016/12,-6549921,-354491,6521902,,,
(주)골드퍼시픽,038530,2017/12,-878680,-10288331,13916056,,,
(주)골드퍼시픽,038530,2018/12,-2028216,-8720801,16714823,-3626992,-5614342,16531379
(주)골드퍼시픽,038530,2019/12,-3541143,-54745086,52062469,,,
(주)골프존,215000,2015/12,41872803,-5207190,-174324,44345997,-4207242,-174324
(주)골프존,215000,2016/12,32717567,-33314421,-25089880,35237011,-33604113,-25041880
(주)골프존,215000,2017/12,79436410,10630625,-12535982,80376887,11830916,-12541622
(주)골프존,215000,2018/12,34481459,-53326757,-28387248,32883976,-56231601,-28387248
(주)골프존,215000,2019/12,38567865,-48182499,-34659378,39501603,-46930786,-36061125
