,Unnamed: 0,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2013년,2013년.mid,2014년,2014년.mid,2015년,2015년.mid,2016년,2016년.mid,2017년,2017년.mid,2018년,2018년.mid,2019년,2019년.mid,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율
81,81,삼성바이오로직스(주),207940,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,90.99,52.51,71.63,52.32,72.91,54.69,72.63,57.6,,,,,-inf,21.28,-1.79,0.38
82,82,삼성제약(주),1360,  의료용 물질 및 의약품 제조업,59.29,41.73,59.53,41.84,62.92,43.25,71.94,44.93,71.38,48.21,81.0,52.51,90.82,52.32,85.03,54.69,78.91,57.6,-0.4,-5.69,-14.34,0.78,-13.48,-12.12,6.38,7.2
83,83,삼아제약(주),9300,  의료용 물질 및 의약품 제조업,38.13,41.73,36.98,41.84,38.82,43.25,38.64,44.93,38.8,48.21,38.53,52.51,38.06,52.32,39.03,54.69,38.95,57.6,3.02,-4.98,0.46,-0.41,0.7,1.22,-2.55,0.2
84,84,삼일제약(주),520,  의료용 물질 및 의약품 제조업,60.13,41.73,58.54,41.84,58.79,43.25,60.77,44.93,58.03,48.21,57.48,52.51,55.85,52.32,63.51,54.69,61.62,57.6,2.64,-0.43,-3.37,4.51,0.95,2.84,-13.72,2.98
85,85,삼진제약(주),5500,  의료용 물질 및 의약품 제조업,39.81,41.73,41.74,41.84,39.08,43.25,44.37,44.93,44.65,48.21,45.95,52.51,44.56,52.32,45.09,54.69,50.1,57.6,-4.85,6.37,-13.54,-0.63,-2.91,3.03,-1.19,-11.11
86,86,삼천당제약(주),250,  의료용 물질 및 의약품 제조업,46.9,41.73,50.33,41.84,48.26,43.25,49.43,44.93,50.94,48.21,51.35,52.51,52.32,52.32,53.53,54.69,47.11,57.6,-7.31,4.11,-2.42,-3.05,-0.8,-1.89,-2.31,11.99
87,87,신신제약(주),2800,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,65.33,52.32,65.79,54.69,65.82,57.6,,,,,,-inf,-0.7,-0.05
88,88,신일제약(주),12790,  의료용 물질 및 의약품 제조업,51.1,41.73,53.72,41.84,50.1,43.25,49.56,44.93,50.66,48.21,52.51,52.51,55.62,52.32,60.8,54.69,58.98,57.6,-5.13,6.74,1.08,-2.22,-3.65,-5.92,-9.31,2.99
89,89,신풍제약(주),19170,  의료용 물질 및 의약품 제조업,55.51,41.73,60.84,41.84,57.31,43.25,55.51,44.93,57.36,48.21,55.83,52.51,57.88,52.32,60.82,54.69,61.21,57.6,-9.6,5.8,3.14,-3.33,2.67,-3.67,-5.08,-0.64
90,90,아이큐어(주),175250,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,65.62,54.69,61.65,57.6,,,,,,,-inf,6.05
91,91,안국약품(주),1540,  의료용 물질 및 의약품 제조업,50.09,41.73,56.75,41.84,56.44,43.25,58.63,44.93,58.67,48.21,59.2,52.51,49.3,52.32,46.6,54.69,48.76,57.6,-13.3,0.55,-3.88,-0.07,-0.9,16.72,5.48,-4.64
92,92,알리코제약(주),260660,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,38.24,54.69,36.55,57.6,,,,,,,-inf,4.42
93,93,애니젠(주),196300,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,63.88,52.51,48.77,52.32,126.33,54.69,71.18,57.6,,,,,-inf,23.65,-159.03,43.66
94,94,앱클론(주),174900,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,43.11,52.32,42.2,54.69,9.57,57.6,,,,,,-inf,2.11,77.32
95,95,에스티팜(주),237690,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,53.59,52.51,60.68,52.32,97.43,54.69,101.94,57.6,,,,,-inf,-13.23,-60.56,-4.63
96,96,에이비엘바이오(주),298380,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,0.0,57.6,,,,,,,,
97,97,에이프로젠제약(주),3060,  의료용 물질 및 의약품 제조업,50.61,41.73,65.02,41.84,64.97,43.25,95.54,44.93,85.02,48.21,85.87,52.51,87.46,52.32,86.4,54.69,87.75,57.6,-28.47,0.08,-47.05,11.01,-1.0,-1.85,1.21,-1.56
