회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,Dec-00,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,01-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,02-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,03-Dec,27.17,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,04-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,05-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,06-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,07-Dec,999999999,4.32,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,08-Dec,999999999,4.95,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,09-Dec,999999999,5.31,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,10-Dec,999999999,13.92,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,11-Dec,999999999,16.87,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,12-Dec,999999999,20.28,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,13-Dec,999999999,30.38,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,14-Dec,999999999,34.38,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,15-Dec,999999999,218.55,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,16-Dec,999999999,286.46,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,17-Dec,999999999,178.66,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,18-Dec,999999999,59.79,,,,,,,,,,,,,,,,,,,,,
(주)SNT홀딩스,36530,19-Dec,999999999,184.05,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,Dec-00,1.36,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,01-Dec,0.95,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,02-Dec,0.87,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,03-Dec,0.89,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,04-Dec,1.3,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,05-Dec,2.41,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,06-Dec,3.02,,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,07-Dec,6.65,8.69,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,08-Dec,1.57,4.23,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,09-Dec,-1.18,-0.66,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,10-Dec,0.9,0.73,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,11-Dec,0.67,1.66,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,12-Dec,0.19,-3.12,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,13-Dec,-0.8,-10.71,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,14-Dec,0.53,0.76,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,15-Dec,-0.42,-0.84,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,16-Dec,-2.95,-0.91,,,,,,,,,,,,,,,,,,,,,
(주)STX,11810,17-Dec,1.56,2.02,,,,,,,,,,,,,,,,,,,,,
