,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
366,(주)금양,1570,15-Dec,2.98,2.52,2.52
367,(주)금양,1570,16-Dec,2.64,3.26,3.26
368,(주)금양,1570,17-Dec,1.75,3.57,3.57
369,(주)금양,1570,18-Dec,1.86,3.72,3.72
370,(주)금양,1570,19-Dec,1.49,2.53,2.53
371,(주)금호에이치티,214330,15-Dec,30.7,20.53,20.53
372,(주)금호에이치티,214330,16-Dec,18.66,11.57,11.57
373,(주)금호에이치티,214330,17-Dec,12.0,7.78,7.78
374,(주)금호에이치티,214330,18-Dec,2.94,3.66,3.66
375,(주)금호에이치티,214330,19-Dec,0.4,0.35,0.35
376,(주)금화피에스시,36190,11-Dec,77777777.77,77777777.77,11111111.11
377,(주)금화피에스시,36190,12-Dec,77777777.77,77777777.77,11111111.11
378,(주)금화피에스시,36190,13-Dec,4840.81,4840.81,4840.81
379,(주)금화피에스시,36190,14-Dec,1485.19,1424.85,1424.85
380,(주)금화피에스시,36190,15-Dec,77777777.77,2638.71,2638.71
381,(주)금화피에스시,36190,16-Dec,77777777.77,533.42,533.42
382,(주)금화피에스시,36190,17-Dec,77777777.77,539.47,539.47
383,(주)금화피에스시,36190,18-Dec,77777777.77,431.66,431.66
384,(주)금화피에스시,36190,19-Dec,7902.65,280.27,280.27
385,(주)기가레인,49080,13-Dec,5.66,5.72,5.72
386,(주)기가레인,49080,14-Dec,8.77,7.6,7.6
387,(주)기가레인,49080,15-Dec,-13.77,-13.79,-13.79
388,(주)기가레인,49080,16-Dec,-4.42,-4.14,-4.14
389,(주)기가레인,49080,17-Dec,1.84,1.96,1.96
390,(주)기가레인,49080,18-Dec,-0.54,-0.71,-0.71
391,(주)기가레인,49080,19-Dec,-7.54,-8.09,-8.09
392,(주)기산텔레콤,35460,11-Dec,-5.27,-3.73,-3.73
393,(주)기산텔레콤,35460,12-Dec,3.47,0.71,0.71
394,(주)기산텔레콤,35460,13-Dec,6.13,4.99,4.99
395,(주)기산텔레콤,35460,14-Dec,1.06,2.53,2.53
396,(주)기산텔레콤,35460,15-Dec,0.86,2.72,2.72
397,(주)기산텔레콤,35460,16-Dec,-21.26,-5.83,-5.83
398,(주)기산텔레콤,35460,17-Dec,-15.43,-6.37,-6.37
399,(주)기산텔레콤,35460,18-Dec,-55.15,-5.52,-5.52
400,(주)기산텔레콤,35460,19-Dec,18.65,6.63,6.63
401,(주)까뮤이앤씨,13700,11-Dec,-14.28,77777777.77,-14.28
402,(주)까뮤이앤씨,13700,12-Dec,0.46,77777777.77,0.46
403,(주)까뮤이앤씨,13700,13-Dec,-0.14,77777777.77,-0.14
404,(주)까뮤이앤씨,13700,14-Dec,0.4,77777777.77,0.4
405,(주)까뮤이앤씨,13700,15-Dec,1.65,77777777.77,1.65
406,(주)까뮤이앤씨,13700,16-Dec,1.92,77777777.77,1.92
