,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명
1370,(주)디바이스이엔지,187870,2017/12,-7467225.0,-383298.0,14408242.0,,,,0.0,0.0,1.0,8.0,8.0,8.0,1.0
1371,(주)디바이스이엔지,187870,2018/12,6880669.0,-6228044.0,-8717467.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1372,(주)디바이스이엔지,187870,2019/12,21177567.0,-5223951.0,-2231265.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1373,(주)디비아이엔씨,12030,2011/12,-3897300.0,-41873379.0,40077119.0,-4092628.0,-41873379.0,40077119.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1374,(주)디비아이엔씨,12030,2012/12,-33526667.0,24502481.0,18871363.0,-34206828.0,24952811.0,18871363.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
1375,(주)디비아이엔씨,12030,2013/12,10001225.0,-25441972.0,4616599.0,10099470.0,-25441972.0,4616599.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1376,(주)디비아이엔씨,12030,2014/12,22282605.0,102077984.0,-124553193.0,27490640.0,101909938.0,-124553193.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1377,(주)디비아이엔씨,12030,2015/12,-15830450.0,95521915.0,-75414296.0,-13076502.0,104611832.0,-86400902.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
1378,(주)디비아이엔씨,12030,2016/12,14129393.0,6888938.0,-18602822.0,14350199.0,6888938.0,-18602822.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1379,(주)디비아이엔씨,12030,2017/12,7980574.0,3705370.0,-8345695.0,7959587.0,1755205.0,-8345695.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1380,(주)디비아이엔씨,12030,2018/12,9328579.0,-99095601.0,92789384.0,6756873.0,-84811256.0,92789384.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1381,(주)디비아이엔씨,12030,2019/12,30221601.0,-9595701.0,-25836363.0,31005215.0,-8752471.0,-25836363.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
1382,(주)디스플레이테크,66670,2011/12,-1039546.0,-8205690.0,10957525.0,,,,0.0,0.0,1.0,8.0,8.0,8.0,1.0
1383,(주)디스플레이테크,66670,2012/12,26585344.0,-33549100.0,16926840.0,,,,1.0,0.0,1.0,8.0,8.0,8.0,2.0
1384,(주)디스플레이테크,66670,2013/12,-38737029.0,-8355555.0,38468847.0,,,,0.0,0.0,1.0,8.0,8.0,8.0,1.0
1385,(주)디스플레이테크,66670,2014/12,43686851.0,-4320861.0,-28252425.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1386,(주)디스플레이테크,66670,2015/12,48955472.0,-18734823.0,-28296035.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1387,(주)디스플레이테크,66670,2016/12,-9249009.0,8762700.0,-12373720.0,,,,0.0,1.0,0.0,8.0,8.0,8.0,4.0
1388,(주)디스플레이테크,66670,2017/12,7954625.0,-2732931.0,-10775395.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1389,(주)디스플레이테크,66670,2018/12,28657232.0,-7928301.0,-7682726.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1390,(주)디스플레이테크,66670,2019/12,8884920.0,-10532840.0,-2205557.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1391,(주)디아이,3160,2011/12,-4378167.0,4253364.0,4636789.0,-3709206.0,18501608.0,-13736854.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
1392,(주)디아이,3160,2012/12,-3752509.0,-6561187.0,10222467.0,-2595342.0,-7807742.0,11170566.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1393,(주)디아이,3160,2013/12,12769279.0,10697835.0,-5018469.0,24673696.0,7530621.0,-13546330.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1394,(주)디아이,3160,2014/12,11797663.0,7025913.0,-3240000.0,14730444.0,8327369.0,-7065143.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
