회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
(주)경보제약,214390,2015/12,178032632,129475387,,,의료용 물질 및 의약품 제조업
(주)경보제약,214390,2016/12,186726170,142622767,,,의료용 물질 및 의약품 제조업
(주)경보제약,214390,2017/12,191661374,137038683,,,의료용 물질 및 의약품 제조업
(주)경보제약,214390,2018/12,201343596,152082417,,,의료용 물질 및 의약품 제조업
(주)경보제약,214390,2019/12,191706189,150990036,,,의료용 물질 및 의약품 제조업
(주)경인양행,012610,2011/12,128707611,109831813,233095049,198818643,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2012/12,141304459,120613769,218604655,190167857,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2013/12,183106757,147883856,260808400,217483383,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2014/12,190395047,153646031,277181095,228191361,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2015/12,175006703,148385606,263163677,220123025,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2016/12,179267850,150776725,274873817,228042128,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2017/12,193975818,164845854,299987729,252841704,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2018/12,222659442,169805543,331102011,255365574,화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2019/12,245244968,188265694,358802386,274054354,화학물질 및 화학제품 제조업; 의약품 제외
(주)고려시멘트,198440,2014/12,,,,,비금속 광물제품 제조업
(주)고려시멘트,198440,2015/12,,,,,비금속 광물제품 제조업
(주)고려시멘트,198440,2016/12,,,,,비금속 광물제품 제조업
(주)고려시멘트,198440,2017/12,87660276,75974602,,,비금속 광물제품 제조업
(주)고려시멘트,198440,2018/12,85775723,73108112,,,비금속 광물제품 제조업
(주)고려시멘트,198440,2019/12,70921781,65599490,,,비금속 광물제품 제조업
(주)고영테크놀러지,098460,2011/12,80200892,34339828,86130810,36970902,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2012/12,100791139,46250331,107841666,46349851,기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2013/12,103933681,48746666,111902729,49977494,기타 기계 및 장비 제조업
