회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS)
(주)금호에이치티,214330,15-Dec,16768247,82117294
(주)금호에이치티,214330,16-Dec,12887704,92714230
(주)금호에이치티,214330,17-Dec,5433832,97560824
(주)금호에이치티,214330,18-Dec,7102658,131065067
(주)금호에이치티,214330,19-Dec,1794762,180769966
(주)금화피에스시,36190,11-Dec,15182500,76345247
(주)금화피에스시,36190,12-Dec,18485546,92305175
(주)금화피에스시,36190,13-Dec,21184156,113200802
(주)금화피에스시,36190,14-Dec,20636145,126877795
(주)금화피에스시,36190,15-Dec,21704964,142256701
(주)금화피에스시,36190,16-Dec,22053825,159990222
(주)금화피에스시,36190,17-Dec,20754033,176303850
(주)금화피에스시,36190,18-Dec,38175421,211366403
(주)금화피에스시,36190,19-Dec,25283209,227742546
(주)기가레인,49080,13-Dec,11073413,62596675
(주)기가레인,49080,14-Dec,9064933,77078658
(주)기가레인,49080,15-Dec,-14035109,65461853
(주)기가레인,49080,16-Dec,-10793714,57063120
(주)기가레인,49080,17-Dec,-401780,89023884
(주)기가레인,49080,18-Dec,-23731827,66878280
(주)기가레인,49080,19-Dec,-44243046,27887641
(주)기산텔레콤,35460,11-Dec,-8844829,32479105
(주)기산텔레콤,35460,12-Dec,1433180,33918079
(주)기산텔레콤,35460,13-Dec,2049347,36087855
(주)기산텔레콤,35460,14-Dec,655537,36429569
(주)기산텔레콤,35460,15-Dec,564987,38723216
(주)기산텔레콤,35460,16-Dec,-1733928,37420205
(주)기산텔레콤,35460,17-Dec,-2085390,35438291
(주)기산텔레콤,35460,18-Dec,-5791304,29246000
(주)기산텔레콤,35460,19-Dec,2205257,31379895
(주)까뮤이앤씨,13700,11-Dec,-115818356,46083061
(주)까뮤이앤씨,13700,12-Dec,-4642070,40763024
(주)까뮤이앤씨,13700,13-Dec,-12045286,33715699
(주)까뮤이앤씨,13700,14-Dec,2285412,35697347
(주)까뮤이앤씨,13700,15-Dec,5169039,45786128
(주)까뮤이앤씨,13700,16-Dec,3256253,51113063
(주)까뮤이앤씨,13700,17-Dec,8436815,59106121
(주)까뮤이앤씨,13700,18-Dec,1738796,59562903
(주)까뮤이앤씨,13700,19-Dec,13494869,70932062
(주)까스텔바작,308100,19-Dec,7090294,77312548
(주)나노,187790,14-Dec,,
(주)나노,187790,15-Dec,-10306565,31847169
(주)나노,187790,16-Dec,-18008880,27068246
(주)나노,187790,17-Dec,-2829878,37017160
(주)나노,187790,18-Dec,-5616504,44484099
(주)나노,187790,19-Dec,475680,47992724
(주)나노브릭,286750,19-Dec,-763049,14149812
(주)나노신소재,121600,11-Dec,4707958,58178847
(주)나노신소재,121600,12-Dec,-1346877,56696577
(주)나노신소재,121600,13-Dec,1129993,57932739
(주)나노신소재,121600,14-Dec,3733441,61576959
(주)나노신소재,121600,15-Dec,7723716,73932499
(주)나노신소재,121600,16-Dec,5955088,77643425
(주)나노신소재,121600,17-Dec,6795716,82967807
(주)나노신소재,121600,18-Dec,7577945,88802531
(주)나노신소재,121600,19-Dec,5848754,93774861
(주)나노엔텍,39860,11-Dec,-11866915,29212068
(주)나노엔텍,39860,12-Dec,-6417553,22983479
(주)나노엔텍,39860,13-Dec,332876,25096460
(주)나노엔텍,39860,14-Dec,-1173219,38430723
(주)나노엔텍,39860,15-Dec,-4272310,49032474
