회사명,거래소코드,회계년도,자본(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원),건설중인자산(IFRS연결)(천원),종업원수(IFRS연결),부가가치(IFRS연결)(백만원),기계장치(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),유형자산회전율(연결),순운전자본회전률(연결),운전자본회전률(연결),노동장비율(연결),기계장비율(연결),자본집약도(연결),총자본투자효율(연결),설비투자효율(연결),기계투자효율(연결),부가가치율(연결)
(주)SH에너지화학,2360,18-Dec,105390892,122434685,85758694,6658546,30043406,492857,,19920.85,31839773,183598766,1.49956498,2.321092572,4.642185145,,,,18.90187057,67.41279155,62.56592973,10.85020909
(주)SH에너지화학,2360,19-Dec,98999976,123415832,83558867,7524603,33194337,2268097,,13705.14,33882924,140852575,1.141284491,1.852488176,3.704976351,,,,13.84357911,44.3155715,40.44851619,9.730130954
(주)SIMPAC,9160,11-Dec,168941269,310879328,152885455,116979241,72940322,1103192,,53726.56,18666167,215365697,0.692763004,5.998006278,11.99601256,,,,31.80191573,74.78940208,287.8285617,24.94666548
(주)SIMPAC,9160,12-Dec,187860952,318665505,152757766,108358727,74000157,0,,43772.07,22387797,225353321,0.707178271,5.075635106,10.15127021,,,,23.30024922,59.15132045,195.5175402,19.42375191
(주)SIMPAC,9160,13-Dec,208831047,361985890,108635043,133795401,73711642,0,,46115.44,24742321,205751154,0.568395508,-8.177592465,-16.35518493,,,,22.08265517,62.56194917,186.3828377,22.41321086
(주)SIMPAC,9160,14-Dec,219125252,381939281,144850453,136708331,169381419,2307507,,51704.11,45051844,263152264,0.688989787,32.31986256,64.63972512,,,,23.59568764,30.94684824,114.7658018,19.6479822
(주)SIMPAC,9160,15-Dec,232007841,422833445,174086524,169308019,180973199,5215137,,59958.15,49564682,269528038,0.63743311,56.40425991,112.8085198,,,,25.84315674,34.11402545,120.9695041,22.24560771
(주)SIMPAC,9160,16-Dec,240416530,417865468,176778523,155344858,178694040,2600,,59093.1,55929435,267074156,0.639139092,12.46049875,24.92099751,,,,24.57946631,33.0699109,105.6565295,22.12610194
(주)SIMPAC,9160,17-Dec,240826100,381158251,150671614,130651105,172659787,2600,,43282.91,55792892,230634812,0.605089386,11.51992749,23.03985498,,,,17.97268236,25.0686987,77.5778212,18.76685901
(주)SIMPAC,9160,18-Dec,435032869,681750819,310736335,228518804,357331367,301000,,114254.96,128448700,306150809,0.449065554,3.723668241,7.447336481,,,,26.26352355,32.00146838,88.94987649,37.31982952
(주)SIMPAC,9160,19-Dec,441195485,679145850,289195402,219489571,263608239,1303450,,65475.48,126428214,430085162,0.633273636,6.17000265,12.3400053,,,,14.84046919,24.96160297,51.78866167,15.22384071
(주)SNT에너지,100840,11-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,12-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,13-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,14-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,15-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,16-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,17-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,18-Dec,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)SNT에너지,100840,19-Dec,244954910,333897235,204986584,67469967,123257799,739889,,36695.84,2354165,213326726,0.638899349,1.551279625,3.102559249,,,,14.98065093,29.95140874,1558.762449,17.20170777
(주)SNT홀딩스,36530,11-Dec,1311007481,2124828265,1041841182,597785981,989038851,16444584,,316126.05,124938376,1663846065,0.783049667,3.746935204,7.493870407,,,,24.1132148,32.50338407,253.0255796,18.99971738
(주)SNT홀딩스,36530,12-Dec,1318022867,2074903906,998857779,540250663,984180010,6983785,,289200.16,128580882,1668749904,0.804254067,3.638735305,7.27747061,,,,21.94196833,29.59489124,224.9169204,17.33034766
(주)SNT홀딩스,36530,13-Dec,1374365240,2149176237,1070812404,569273848,986231198,8825589,,287320.84,132324383,1576368464,0.733475662,3.143065364,6.286130728,,,,20.90571208,29.39627493,217.1337085,18.22675641
(주)SNT홀딩스,36530,14-Dec,1356040938,2039388864,994978341,477795324,933346465,24955195,,280175.76,118523741,1552374806,0.761196079,3.00159664,6.00319328,,,,20.66130543,30.84307052,236.3878811,18.04820324
(주)SNT홀딩스,36530,15-Dec,1529249091,2169311305,1140793639,433769566,928315887,18812799,,383575.56,421584082,1612746929,0.743437295,2.281035386,4.562070771,,,,25.08260834,42.17418996,90.98435552,23.78398948
(주)SNT홀딩스,36530,16-Dec,1530892611,2210178425,1205349271,487107956,908800105,11797205,,230370.32,398988190,1537700275,0.695735809,2.140924287,4.281848573,,,,15.04810451,25.68222689,57.73863131,14.98148396
(주)SNT홀딩스,36530,17-Dec,1519293154,2146174938,1187727595,448821933,880843802,6653359,,220383.89,407324218,1508152132,0.70271631,2.041061816,4.082123631,,,,14.50568571,25.21005483,54.10527542,14.61284212
(주)SNT홀딩스,36530,18-Dec,1503275496,2113834573,1168023374,381612594,869282994,14610465,,283495.5,404203037,1401307482,0.662922019,1.781902687,3.563805374,,,,18.85851933,33.17007279,70.13690498,20.23078472
(주)SNT홀딩스,36530,19-Dec,1625933047,2236679025,1266526398,405603647,871104106,23474134,,320323.23,410419723,1512114565,0.676053447,1.756388205,3.512776409,,,,19.70088686,37.79045581,78.04771848,21.1837937
(주)STX,11810,11-Dec,1915942000,5234175000,1430457000,2041868000,818420000,27862000,,524043,508781000,5967701000,1.140141665,-9.760539146,-19.52107829,,,,27.35171524,66.287736,102.9997189,8.781321316
(주)STX,11810,12-Dec,1506639000,5067029000,1484305000,2363189000,1044547000,201250000,,-139686,540064000,6159850000,1.215672932,-7.008717874,-14.01743575,,,,-9.271364939,-16.56427095,-25.86471233,-2.26768509
(주)STX,11810,13-Dec,-509663000,1342520000,793607000,1278680000,215510000,0,,-1245149,143453000,2449401000,1.824480082,-5.049551305,-10.09910261,,,,244.3082978,-577.768549,-867.983939,-50.83483676
(주)STX,11810,14-Dec,93662000,1255002000,893610000,788697000,108080000,0,,505161,4402000,1634606000,1.302472825,15.58058582,31.16117164,,,,539.3446649,467.3954478,11475.71558,30.90414448
(주)STX,11810,15-Dec,72342000,1267224000,902119000,866685000,101700000,125000,,79567,4402000,1630827000,1.286928751,46.02435514,92.04871028,,,,109.9872826,78.33325129,1807.519309,4.878935657
(주)STX,11810,16-Dec,-330596000,707709000,486347000,974743000,73715000,234000,,-345167,33000,1720153000,2.430593648,-3.522045635,-7.04409127,,,,104.4074943,-469.7363944,-1045960.606,-20.06606389
(주)STX,11810,17-Dec,42560000,627542000,475786000,553981000,70760000,364000,,416114,3684000,1803878000,2.874513578,-23.0689686,-46.13793721,,,,977.7114662,591.1046082,11295.1683,23.06774627
(주)STX,11810,18-Dec,64028000,554061000,422861000,463598000,74249000,16000,,83521,3676000,1502985000,2.712670627,-36.89483762,-73.78967523,,,,130.444493,112.5119556,2272.062024,5.55700822
(주)STX,11810,19-Dec,56291000,560107000,386401000,439806000,90288000,69000,,51064,3834000,1471164000,2.626576708,-27.5473083,-55.09461661,,,,90.71432378,56.60005099,1331.872718,3.470993037
(주)TCC스틸,2710,11-Dec,225441968,454329510,183481284,165589918,84444856,1119494,,50799.6,62501678,514424043,1.132270812,28.75264208,57.50528417,,,,22.53333771,60.9653517,81.27717787,9.875043885
(주)TCC스틸,2710,12-Dec,225998781,547013976,218440703,191715329,143845835,16963339,,49856.28,82266123,501337475,0.916498475,18.75885722,37.51771444,,,,22.06041987,39.29326863,60.6036582,9.944654546
(주)TCC스틸,2710,13-Dec,205738102,543708595,220034732,155751890,156557380,4938140,,40058.31,101223221,500832754,0.921141874,7.791079834,15.58215967,,,,19.47053541,26.42033425,39.57422971,7.9983407
