회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS연결)
(주)금비,8870,17-Sep,6646301,150022915
(주)금비,8870,18-Sep,10167339,156252159
(주)금비,8870,19-Sep,10620899,163543704
(주)금양,1570,11-Dec,2964115,45175687
(주)금양,1570,12-Dec,3717420,45542580
(주)금양,1570,13-Dec,719232,45554255
(주)금양,1570,14-Dec,-111826,44489985
(주)금양,1570,15-Dec,14474633,57953744
(주)금양,1570,16-Dec,-20526295,34480745
(주)금양,1570,17-Dec,18645438,57595446
(주)금양,1570,18-Dec,20253300,79456336
(주)금양,1570,19-Dec,-10903987,68287064
(주)금호에이치티,214330,15-Dec,14971109,81388280
(주)금호에이치티,214330,16-Dec,8354070,86282030
(주)금호에이치티,214330,17-Dec,4933421,90754420
(주)금호에이치티,214330,18-Dec,7792877,124851870
(주)금호에이치티,214330,19-Dec,-75223,172630689
(주)금화피에스시,36190,11-Dec,,
(주)금화피에스시,36190,12-Dec,,
(주)금화피에스시,36190,13-Dec,22786047,117616926
(주)금화피에스시,36190,14-Dec,21397903,133525938
(주)금화피에스시,36190,15-Dec,22676558,149051009
(주)금화피에스시,36190,16-Dec,23917682,168709929
(주)금화피에스시,36190,17-Dec,20153925,184227358
(주)금화피에스시,36190,18-Dec,39649709,220727038
(주)금화피에스시,36190,19-Dec,27677441,239409631
(주)기가레인,49080,13-Dec,10828194,62386212
(주)기가레인,49080,14-Dec,7764423,75572002
(주)기가레인,49080,15-Dec,-13369109,65744609
(주)기가레인,49080,16-Dec,-10347329,57597489
(주)기가레인,49080,17-Dec,-920801,88669121
(주)기가레인,49080,18-Dec,-21635992,68560115
(주)기가레인,49080,19-Dec,-46059977,28064616
(주)기산텔레콤,35460,11-Dec,-12092371,33888631
(주)기산텔레콤,35460,12-Dec,-1882261,31516647
(주)기산텔레콤,35460,13-Dec,3928729,36517480
(주)기산텔레콤,35460,14-Dec,2744606,38506780
(주)기산텔레콤,35460,15-Dec,1701580,42259485
(주)기산텔레콤,35460,16-Dec,-2639743,39870843
(주)기산텔레콤,35460,17-Dec,-5538516,34992274
(주)기산텔레콤,35460,18-Dec,-3327575,31640999
(주)기산텔레콤,35460,19-Dec,3498486,34690964
(주)까뮤이앤씨,13700,11-Dec,,
(주)까뮤이앤씨,13700,12-Dec,,
(주)까뮤이앤씨,13700,13-Dec,,
(주)까뮤이앤씨,13700,14-Dec,,
(주)까뮤이앤씨,13700,15-Dec,,
(주)까뮤이앤씨,13700,16-Dec,,
(주)까뮤이앤씨,13700,17-Dec,,
(주)까뮤이앤씨,13700,18-Dec,,
(주)까뮤이앤씨,13700,19-Dec,,
(주)까스텔바작,308100,19-Dec,6869624,76678226
(주)나노,187790,14-Dec,,
(주)나노,187790,15-Dec,-8990586,42659926
(주)나노,187790,16-Dec,-24388859,34319308
(주)나노,187790,17-Dec,89291,44902238
(주)나노,187790,18-Dec,-467314,59465317
(주)나노,187790,19-Dec,-298564,62021912
(주)나노브릭,286750,19-Dec,-780552,14149812
(주)나노신소재,121600,11-Dec,4687969,58193875
(주)나노신소재,121600,12-Dec,-1446732,56592559
(주)나노신소재,121600,13-Dec,1166791,57860945
(주)나노신소재,121600,14-Dec,3793548,61578369
(주)나노신소재,121600,15-Dec,7655911,73885201
(주)나노신소재,121600,16-Dec,5940058,77589079
(주)나노신소재,121600,17-Dec,6827889,82913399
(주)나노신소재,121600,18-Dec,7671621,88855048
(주)나노신소재,121600,19-Dec,5801286,93787590
(주)나노엔텍,39860,11-Dec,-12202620,28748071
(주)나노엔텍,39860,12-Dec,-5883367,22976602
(주)나노엔텍,39860,13-Dec,-1236713,23577971
(주)나노엔텍,39860,14-Dec,-2464001,35502372
(주)나노엔텍,39860,15-Dec,-7471283,38408344
(주)나노엔텍,39860,16-Dec,-14798956,25576796
(주)나노엔텍,39860,17-Dec,-2072184,23731000
(주)나노엔텍,39860,18-Dec,3308228,35150401
(주)나노엔텍,39860,19-Dec,5749945,41025691
(주)나무가,190510,15-Dec,8484512,60274130
(주)나무가,190510,16-Dec,-4188413,71710818
(주)나무가,190510,17-Dec,-40918809,30589633
(주)나무가,190510,18-Dec,3585210,35422440
(주)나무가,190510,19-Dec,-585939,44268639
(주)나스미디어,89600,13-Dec,,
(주)나스미디어,89600,14-Dec,,
(주)나스미디어,89600,15-Dec,,
(주)나스미디어,89600,16-Dec,11972406,104423228
(주)나스미디어,89600,17-Dec,26676052,127769767
(주)나스미디어,89600,18-Dec,20596334,141948762
(주)나스미디어,89600,19-Dec,22484088,153131396
(주)나이벡,138610,11-Dec,,
(주)나이벡,138610,12-Dec,,
(주)나이벡,138610,13-Dec,,
(주)나이벡,138610,14-Dec,,
(주)나이벡,138610,15-Dec,,
(주)나이벡,138610,16-Dec,,
(주)나이벡,138610,17-Dec,,
(주)나이벡,138610,18-Dec,,
(주)나이벡,138610,19-Dec,,
(주)나이스디앤비,130580,11-Dec,,
(주)나이스디앤비,130580,12-Dec,,
(주)나이스디앤비,130580,13-Dec,,
(주)나이스디앤비,130580,14-Dec,,
(주)나이스디앤비,130580,15-Dec,4366625,29892463
(주)나이스디앤비,130580,16-Dec,5728563,33730728
(주)나이스디앤비,130580,17-Dec,6414092,38536096
(주)나이스디앤비,130580,18-Dec,9299592,45199660
(주)나이스디앤비,130580,19-Dec,11280367,60090077
(주)나이스홀딩스,34310,11-Dec,33822237,322296904
(주)나이스홀딩스,34310,12-Dec,44822114,394674902
(주)나이스홀딩스,34310,13-Dec,63730747,570818310
(주)나이스홀딩스,34310,14-Dec,53713407,667095981
(주)나이스홀딩스,34310,15-Dec,62915097,695351005
(주)나이스홀딩스,34310,16-Dec,90779251,773235269
(주)나이스홀딩스,34310,17-Dec,92750994,877935795
(주)나이스홀딩스,34310,18-Dec,99301937,1040008134
(주)나이스홀딩스,34310,19-Dec,77665757,1223621083
(주)나인테크,267320,17-Dec,,
(주)나인테크,267320,18-Dec,,
(주)나인테크,267320,19-Dec,,
(주)남선알미늄,8350,11-Dec,24748177,74233806
(주)남선알미늄,8350,12-Dec,,
(주)남선알미늄,8350,13-Dec,,
(주)남선알미늄,8350,14-Dec,,
(주)남선알미늄,8350,15-Dec,,
(주)남선알미늄,8350,16-Dec,,
(주)남선알미늄,8350,17-Dec,,
(주)남선알미늄,8350,18-Dec,25220519,168719762
(주)남선알미늄,8350,19-Dec,14479409,179100254
(주)남성,4270,11-Dec,-1822084,86423919
(주)남성,4270,12-Dec,-6862343,79934314
(주)남성,4270,13-Dec,-732650,78184930
(주)남성,4270,14-Dec,-3975359,72641729
(주)남성,4270,15-Dec,-520743,70994437
(주)남성,4270,16-Dec,1327730,73385506
(주)남성,4270,17-Dec,1356665,87392856
(주)남성,4270,18-Dec,-3576375,82768164
(주)남성,4270,19-Dec,-2196177,85924082
(주)내츄럴엔도텍,168330,13-Dec,,
(주)내츄럴엔도텍,168330,14-Dec,,
(주)내츄럴엔도텍,168330,15-Dec,-15644528,50463160
(주)내츄럴엔도텍,168330,16-Dec,-13177152,47296929
(주)내츄럴엔도텍,168330,17-Dec,-8860824,54719456
(주)내츄럴엔도텍,168330,18-Dec,-23238141,36487302
(주)내츄럴엔도텍,168330,19-Dec,-16008383,20483129
(주)네오리진,94860,11-Dec,649924,30439412
(주)네오리진,94860,12-Dec,,
(주)네오리진,94860,13-Dec,,
(주)네오리진,94860,14-Dec,,
(주)네오리진,94860,15-Dec,,
(주)네오리진,94860,16-Dec,,
(주)네오리진,94860,17-Dec,166207,14546111
(주)네오리진,94860,18-Dec,,
(주)네오리진,94860,19-Dec,,
(주)네오셈,253590,18-Dec,,
(주)네오셈,253590,19-Dec,-1569501,37494457
(주)네오오토,212560,15-Dec,,
(주)네오오토,212560,16-Dec,,
(주)네오오토,212560,17-Dec,,
(주)네오오토,212560,18-Dec,,
(주)네오오토,212560,19-Dec,,
(주)네오위즈,95660,11-Dec,72509057,272933090
(주)네오위즈,95660,12-Dec,5785127,288492496
(주)네오위즈,95660,13-Dec,46864398,295827208
(주)네오위즈,95660,14-Dec,-8177160,284837352
(주)네오위즈,95660,15-Dec,-21852100,264287860
(주)네오위즈,95660,16-Dec,9853329,271054566
(주)네오위즈,95660,17-Dec,-2143713,264748209
(주)네오위즈,95660,18-Dec,33524295,298839710
(주)네오위즈,95660,19-Dec,27623322,328878043
(주)네오위즈홀딩스,42420,11-Dec,76477186,374990578
(주)네오위즈홀딩스,42420,12-Dec,13920271,385155307
(주)네오위즈홀딩스,42420,13-Dec,59898207,416240481
(주)네오위즈홀딩스,42420,14-Dec,57500868,467487690
(주)네오위즈홀딩스,42420,15-Dec,49969692,492854028
(주)네오위즈홀딩스,42420,16-Dec,-8386452,479007316
(주)네오위즈홀딩스,42420,17-Dec,-6798711,476382219
(주)네오위즈홀딩스,42420,18-Dec,43566139,516278245
(주)네오위즈홀딩스,42420,19-Dec,40857864,549250922
(주)네오크레마,311390,19-Dec,1025691,37866534
(주)네오티스,85910,11-Dec,,
(주)네오티스,85910,12-Dec,,
(주)네오티스,85910,13-Dec,2426104,60663141
(주)네오티스,85910,14-Dec,3063380,63977930
