회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)골드퍼시픽,38530,18-Dec,-0.38,-0.68,,,,
(주)골드퍼시픽,38530,19-Dec,-0.89,,,,,
(주)골프존,215000,15-Dec,,,,,,
(주)골프존,215000,16-Dec,58.98,59.8,,,,
(주)골프존,215000,17-Dec,47.32,52.52,,,,
(주)골프존,215000,18-Dec,39.07,37.61,,,,
(주)골프존,215000,19-Dec,44.45,32.18,,,,
(주)골프존뉴딘홀딩스,121440,11-Dec,1759.62,1101.46,,,,
(주)골프존뉴딘홀딩스,121440,12-Dec,48.56,31.08,,,,
(주)골프존뉴딘홀딩스,121440,13-Dec,39.77,25.98,,,,
(주)골프존뉴딘홀딩스,121440,14-Dec,65.05,22.05,,,,
(주)골프존뉴딘홀딩스,121440,15-Dec,-21.02,-1.54,,,,
(주)골프존뉴딘홀딩스,121440,16-Dec,-4.43,5.22,,,,
(주)골프존뉴딘홀딩스,121440,17-Dec,-4.92,2.81,,,,
(주)골프존뉴딘홀딩스,121440,18-Dec,-7.1,0.15,,,,
(주)골프존뉴딘홀딩스,121440,19-Dec,-9.01,-0.36,,,,
(주)광림,14200,11-Dec,4.55,,,,,
(주)광림,14200,12-Dec,1.71,,,,,
(주)광림,14200,13-Dec,6.18,,,,,
(주)광림,14200,14-Dec,1.79,0.7,,,,
(주)광림,14200,15-Dec,0.43,,,,,
(주)광림,14200,16-Dec,0.16,0.16,,,,
(주)광림,14200,17-Dec,1.64,-3.19,,,,
(주)광림,14200,18-Dec,1.45,-0.23,,,,
(주)광림,14200,19-Dec,1.37,-2.3,,,,
(주)광명전기,17040,11-Dec,1.57,0.38,,,,
(주)광명전기,17040,12-Dec,4.22,3.63,,,,
(주)광명전기,17040,13-Dec,11.17,11.84,,,,
(주)광명전기,17040,14-Dec,17.71,19.42,,,,
(주)광명전기,17040,15-Dec,9.32,20.92,,,,
(주)광명전기,17040,16-Dec,11.76,10.52,,,,
(주)광명전기,17040,17-Dec,14.7,5.78,,,,
(주)광명전기,17040,18-Dec,9.92,3.61,,,,
(주)광명전기,17040,19-Dec,22.79,21.67,,,,
(주)광무,29480,11-Dec,-2.59,-3.01,,,,
(주)광무,29480,12-Dec,-2.61,-2.69,,,,
(주)광무,29480,13-Dec,-4.26,-8.2,,,,
(주)광무,29480,14-Dec,1.12,,,,,
(주)광무,29480,15-Dec,-0.8,,,,,
(주)광무,29480,16-Dec,1.93,,,,,
(주)광무,29480,17-Dec,0.32,,,,,
(주)광무,29480,18-Dec,-1.6,-3.19,,,,
(주)광무,29480,19-Dec,-2.36,-2.9,,,,
(주)광주신세계,37710,11-Dec,X,,,,,
(주)광주신세계,37710,12-Dec,X,,,,,
(주)광주신세계,37710,13-Dec,13.07,,,,,
(주)광주신세계,37710,14-Dec,10.46,,,,,
(주)광주신세계,37710,15-Dec,15.34,,,,,
(주)광주신세계,37710,16-Dec,30.68,,,,,
(주)광주신세계,37710,17-Dec,86.86,,,,,
(주)광주신세계,37710,18-Dec,715.98,,,,,
(주)광주신세계,37710,19-Dec,193.26,,,,,
(주)구영테크,53270,11-Dec,1.41,0.96,,,,
(주)구영테크,53270,12-Dec,1.21,1.29,,,,
(주)구영테크,53270,13-Dec,1.26,1.39,,,,
(주)구영테크,53270,14-Dec,1.08,1.38,,,,
(주)구영테크,53270,15-Dec,1.98,1.97,,,,
(주)구영테크,53270,16-Dec,3.06,1.65,,,,
(주)구영테크,53270,17-Dec,2.56,2.37,,,,
(주)구영테크,53270,18-Dec,0.73,1.47,,,,
(주)구영테크,53270,19-Dec,1.14,1.33,,,,
(주)국동,5320,11-Dec,-3.92,0.5,,,,
(주)국동,5320,12-Dec,1.48,3.42,,,,
(주)국동,5320,13-Dec,3.66,3.64,,,,
