회사명,거래소코드,회계년도,[제조]자본(*)(IFRS2)
(주)나노엔텍,39860,Dec-11,29212068
(주)나노엔텍,39860,Dec-12,22983479
(주)나노엔텍,39860,Dec-13,25096460
(주)나노엔텍,39860,Dec-14,38430723
(주)나노엔텍,39860,Dec-15,49032474
(주)나노엔텍,39860,Dec-16,27669734
(주)나노엔텍,39860,Dec-17,26788106
(주)나노엔텍,39860,Dec-18,38716209
(주)나무가,190510,Dec-15,59685865
(주)나무가,190510,Dec-16,71264453
(주)나무가,190510,Dec-17,28107335
(주)나무가,190510,Dec-18,38511623
(주)나스미디어,89600,Dec-13,56196308
(주)나스미디어,89600,Dec-14,62569324
(주)나스미디어,89600,Dec-15,69530971
(주)나스미디어,89600,Dec-16,98227596
(주)나스미디어,89600,Dec-17,115839722
(주)나스미디어,89600,Dec-18,124908468
(주)나이벡,138610,Dec-11,10301732
(주)나이벡,138610,Dec-12,8856747
(주)나이벡,138610,Dec-13,5822703
(주)나이벡,138610,Dec-14,5078980
(주)나이벡,138610,Dec-15,10818393
(주)나이벡,138610,Dec-16,9841184
(주)나이벡,138610,Dec-17,12361859
(주)나이벡,138610,Dec-18,10575969
(주)나이스디앤비,130580,Dec-11,18442040
(주)나이스디앤비,130580,Dec-12,20520620
(주)나이스디앤비,130580,Dec-13,22820926
(주)나이스디앤비,130580,Dec-14,25404428
(주)나이스디앤비,130580,Dec-15,28572652
(주)나이스디앤비,130580,Dec-16,32232265
(주)나이스디앤비,130580,Dec-17,35612084
(주)나이스디앤비,130580,Dec-18,40955406
(주)나이스홀딩스,34310,Dec-10,256004571
(주)나이스홀딩스,34310,Dec-11,257761410
(주)나이스홀딩스,34310,Dec-12,316297089
(주)나이스홀딩스,34310,Dec-13,320113373
(주)나이스홀딩스,34310,Dec-14,324733065
(주)나이스홀딩스,34310,Dec-15,310980541
(주)나이스홀딩스,34310,Dec-16,325078660
(주)나이스홀딩스,34310,Dec-17,325609688
(주)나이스홀딩스,34310,Dec-18,336349524
(주)나인테크,267320,Dec-17,
(주)나인테크,267320,Dec-18,
(주)남선알미늄,8350,Dec-10,38532476
(주)남선알미늄,8350,Dec-11,43707424
(주)남선알미늄,8350,Dec-12,61332987
(주)남선알미늄,8350,Dec-13,70827736
(주)남선알미늄,8350,Dec-14,87467921
(주)남선알미늄,8350,Dec-15,103068147
(주)남선알미늄,8350,Dec-16,122569267
(주)남선알미늄,8350,Dec-17,147809531
