,회사명,거래소코드,회계년도,이자보상배율,cashflow_매출액비율,cashflow_부채비율,당좌비율,매입채무회전율,매출액순이익률,매출액총이익률,매출액영업이익률,매출액증가율,매출원가대매출액비율,매출채권회전율,부채비율,순이익증가율,영업이익증가율,유동부채,유동비율,유동자산구성비율,유동자산증가율,유형자산증가율,유형자산회전율,자기자본구성비율,자본증가율,타인자본회전율,재고자산_유동자산비율,재고자산증가율,재고자산회전율,차입금의존도,총자본영업이익률,총자산순이익률,총자산증가율,총자산회전율,현금비율
3902,(주)하이소닉,106080,2013,-16.76,10.2682222,25.8172527,85.85290756,5.932635346,-12.99140487,0.613079444,-10.84778276,0,99.38692056,5.07972469,63.62741571,0,-105.1448408,94.99046182,97.36465815,35.96412972,-1.269628807,-68.00655755,3.912733022,61.11445296,25.23595028,3.863760458,11.97537877,-2.786984435,6.838386044,18.34232137,-8.677008753,-12.70161949,9.852340867,0.981555226,8.449925461
3903,(주)하이소닉,106080,2014,-12.69,-5.268400274,-6.456299314,70.43147048,7.714074576,-22.16798358,-2.091108128,-15.22406744,0,102.0911081,5.290322668,145.0335333,0,-107.0735897,75.54302364,80.95265255,36.19664782,-2.786141649,-61.01749644,4.087255118,40.81074074,44.54449064,4.649828507,13.36919544,-3.215951794,8.778691637,32.44387557,-13.52925938,-16.07955362,10.65689497,1.030895152,6.592006138
3904,(주)하이소닉,106080,2015,1.55,2.231962441,5.981661472,115.4486367,7.754501285,1.163305822,10.96437834,2.506952159,0,89.03562166,5.582255968,84.43308757,-158.2622682,-98.73061245,68.17237498,130.795558,40.82021081,-1.889573545,-65.25805206,4.626507817,54.22020475,32.2704551,4.456000534,11.95950232,8.054780382,7.724182161,22.28956446,2.836375139,1.42725862,14.39945673,1.122758549,23.3305295
3905,(주)하이소닉,106080,2016,-3.08,5.792092302,7.55814865,114.7046605,20.12813893,-22.55719547,0.183887202,-16.17541312,0,99.8161128,6.104766076,94.03227083,0,-107.4825406,89.5110233,124.7356263,54.10906034,-53.9129468,-76.85841464,4.584910801,51.53781872,42.29066757,4.323870854,17.4491108,5.312395229,9.91056492,7.308423885,-9.923897388,-14.26487649,20.73467067,1.104017013,10.5006836
3906,(주)하이소닉,106080,2017,-0.8,5.333236679,12.33094474,111.6079422,268.159284,-21.08514333,8.046982995,-3.745044963,0,91.953017,5.447470099,85.79830105,0,-102.005233,84.39304782,130.8207199,50.9823859,-49.4197034,-82.89431296,4.163104715,53.82180538,45.28728833,4.701683971,29.03569672,-12.9854709,9.57071889,8.560992705,-3.714592889,-22.51225511,38.89500401,1.058274958,8.245095046
3907,(주)하이소닉,106080,2018,-1.87,-0.470357326,-0.301760183,44.06652511,390.0084035,-164.471817,-7.035947945,-31.13239509,0,107.0359479,4.861833325,1122.510032,0,-113.4695074,93.78806694,50.94928746,43.87564476,65.75109581,-81.77297289,4.306193547,8.179892212,-119.9875055,5.618750012,13.97438621,-6.250040245,7.389312329,8.712736895,0,-96.88651256,82.15168192,1.074779624,1.692974919
3908,(주)하이소닉,106080,2019,-5.82,-23.55945315,-40.95274325,139.6919764,409.8673163,-55.59564966,-20.8305101,-43.93275929,0,120.8305101,5.318110255,67.46904221,0,-118.0101924,85.27517395,160.01161,54.97232654,9.976774457,-88.8530277,4.19448557,59.71252877,-1.362472561,1.894965708,11.54684669,-8.520335537,6.912283481,2.317551242,-25.76207399,-38.93396292,-7.489696028,0.827040583,66.85067543
3909,(주)하이스틸,71090,2011,1.56,-6.275421608,-9.294808058,47.55198475,6.263336709,0.923472939,8.141500837,3.795069935,0,91.85849916,2.823667934,111.8452718,0,-98.06540961,59.89238127,106.6733244,33.73077069,0,0,1.998579714,47.20426335,0,2.694937711,55.42279662,0,6.422585753,34.69055583,3.143438255,0.722138575,0,0.596784915,4.114430286
3910,(주)하이스틸,71090,2012,1.09,-0.972434841,-2.192509416,58.12916103,9.45812859,0.796050826,7.414710373,2.201039374,0,92.58528963,3.353342567,85.54017581,0,-98.88723411,67.33972941,107.0878383,33.24632878,0,0,2.547549654,53.896683,0,3.102643423,45.71824221,0,7.933271853,26.93949527,2.122505924,0.827473188,0,0.828498295,8.167881219
3911,(주)하이스틸,71090,2013,0.01,5.861246822,8.678650247,56.4564608,6.128970129,-1.440751605,6.846885699,0.012086938,0,93.1531143,1.976705983,88.80123038,0,-99.99395617,66.53949556,109.7574006,34.35005829,0,0,2.551082326,52.96575631,0,2.081023805,48.56250194,0,8.841179287,28.38593801,0.007946346,-1.003380022,0,0.770188738,3.604992629
3912,(주)하이스틸,71090,2014,0.93,2.916307791,4.743353762,59.96484791,8.866429944,-0.250846017,11.26223554,1.612486089,0,88.73776446,2.118299278,89.35991245,0,-99.18720384,71.49365633,103.3097153,34.8548618,0,0,2.826336947,52.80948809,0,2.578832929,41.95623542,0,9.461353769,27.16309791,1.171819912,-0.192536937,0,0.756277892,1.619186466
