,회사명,거래소코드,회계년도,이자보상배율,회사명_1,거래소코드_1,회계연도_1,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
181,(주)경보제약,214390,2017,24.47,(주)경보제약,214390,2017,191661374,137038683,,,의료용 물질 및 의약품 제조업
182,(주)경보제약,214390,2018,19.43,(주)경보제약,214390,2018,201343596,152082417,,,의료용 물질 및 의약품 제조업
183,(주)경보제약,214390,2019,4.77,(주)경보제약,214390,2019,191706189,150990036,,,의료용 물질 및 의약품 제조업
184,(주)경인양행,12610,2011,1.77,(주)경인양행,12610,2011,128707611,109831813,233095049,198818643,화학물질 및 화학제품 제조업; 의약품 제외
185,(주)경인양행,12610,2012,1.26,(주)경인양행,12610,2012,141304459,120613769,218604655,190167857,화학물질 및 화학제품 제조업; 의약품 제외
186,(주)경인양행,12610,2013,5.73,(주)경인양행,12610,2013,183106757,147883856,260808400,217483383,화학물질 및 화학제품 제조업; 의약품 제외
187,(주)경인양행,12610,2014,7.16,(주)경인양행,12610,2014,190395047,153646031,277181095,228191361,화학물질 및 화학제품 제조업; 의약품 제외
188,(주)경인양행,12610,2015,4.19,(주)경인양행,12610,2015,175006703,148385606,263163677,220123025,화학물질 및 화학제품 제조업; 의약품 제외
189,(주)경인양행,12610,2016,6.44,(주)경인양행,12610,2016,179267850,150776725,274873817,228042128,화학물질 및 화학제품 제조업; 의약품 제외
190,(주)경인양행,12610,2017,3.12,(주)경인양행,12610,2017,193975818,164845854,299987729,252841704,화학물질 및 화학제품 제조업; 의약품 제외
191,(주)경인양행,12610,2018,5.68,(주)경인양행,12610,2018,222659442,169805543,331102011,255365574,화학물질 및 화학제품 제조업; 의약품 제외
192,(주)경인양행,12610,2019,4.66,(주)경인양행,12610,2019,245244968,188265694,358802386,274054354,화학물질 및 화학제품 제조업; 의약품 제외
193,(주)고려시멘트,198440,2014,11111111.11,(주)고려시멘트,198440,2014,,,,,비금속 광물제품 제조업
194,(주)고려시멘트,198440,2015,11111111.11,(주)고려시멘트,198440,2015,,,,,비금속 광물제품 제조업
195,(주)고려시멘트,198440,2016,11111111.11,(주)고려시멘트,198440,2016,,,,,비금속 광물제품 제조업
196,(주)고려시멘트,198440,2017,16.79,(주)고려시멘트,198440,2017,87660276,75974602,,,비금속 광물제품 제조업
197,(주)고려시멘트,198440,2018,9.2,(주)고려시멘트,198440,2018,85775723,73108112,,,비금속 광물제품 제조업
198,(주)고려시멘트,198440,2019,-1.08,(주)고려시멘트,198440,2019,70921781,65599490,,,비금속 광물제품 제조업
