,회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS연결2),[제조]자본(*)(IFRS2),자기자본순이익률(개별),자기자본순이익률(연결)
102,(주)TCC스틸,2710,2012/12,225998781.0,124581.0,209755733.0,4206491.0,225441968.0,205616971.0,0.020254055981492707,0.0005519262506805738
103,(주)TCC스틸,2710,2013/12,205738102.0,-19955830.0,210086242.0,391783.0,225998781.0,209755733.0,0.0018663355420810413,-0.09244440670129173
104,(주)TCC스틸,2710,2014/12,189038004.0,-15813610.0,210093654.0,1022624.0,205738102.0,210086242.0,0.0048675532063057105,-0.08011432181257698
105,(주)TCC스틸,2710,2015/12,86012476.0,-110218983.0,76555951.0,-140083396.0,189038004.0,210093654.0,-0.9773841900113555,-0.8014454873883514
106,(주)TCC스틸,2710,2016/12,103337634.0,16948843.0,92623510.0,15468493.0,86012476.0,76555951.0,0.18286490462338098,0.17902121102543853
107,(주)TCC스틸,2710,2017/12,100915803.0,1503708.0,89627045.0,-2328706.0,103337634.0,92623510.0,-0.025554994880536853,0.014723943176535139
108,(주)TCC스틸,2710,2018/12,112246210.0,9755131.0,98351707.0,7565000.0,100915803.0,89627045.0,0.0804878202404493,0.09152785585675624
109,(주)TCC스틸,2710,2019/12,116843135.0,5037267.0,97501452.0,1996130.0,112246210.0,98351707.0,0.020383944892101536,0.043976440720104204
111,(주)가비아,79940,2011/12,48665742.0,7014899.0,24298687.0,3262397.0,37225655.0,21535028.0,0.14235795636465426,0.1633434603467912
112,(주)가비아,79940,2012/12,58945247.0,9419144.0,31165211.0,5737877.0,48665742.0,24298687.0,0.20690493120407802,0.17505914753743226
113,(주)가비아,79940,2013/12,68600227.0,9505713.0,34822978.0,3786937.0,58945247.0,31165211.0,0.11477620639051028,0.14905606136992364
