,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가 대 매출액비율,금융비용부담률,금융비용 대 총비용비율,이자부담률,지급이자율,차입금평균이자율,매출액정상영업이익률,유동자산구성비율,재고자산 대 유동자산비율,당좌자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,순운전자본비율,차입금비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,운전자본회전률,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,이자보상배율
30,(주)강스템바이오텍,217730,2018,55.08,14.44,94.06,11.21,94.25,0.36,0.0,0.0,12.84,-155.96,-23.75,-37.79,87.16,8.23,3.12,5.46,6.0,66.94,3.92,64.31,65.01,34.99,458.01,244.28,234.71,16.06,6.63,114.06,53.83,42.15,74.5,39.53,36.59,-43.19,-63.54,-120.69,0.15,0.25,0.38,6.06,60.27,0.25,0.26,5.03,7.39,49.37,0.65,0.18,0.16,0.0,0.0,0.0,-4.55,-59.54,-477.09,-36.34,-12.31
31,(주)강스템바이오텍,217730,2019,55.26,106.2,13.09,-86.12,48.29,-34.49,0.0,0.0,-7.07,-439.57,-28.25,-41.61,107.07,10.84,1.84,3.48,4.45,48.76,0.48,48.52,60.47,39.53,587.15,268.99,267.69,37.29,0.77,53.91,65.37,29.98,41.71,30.63,45.01,-27.6,-40.08,-206.5,0.06,0.1,0.17,5.0,73.07,0.12,0.12,5.5,5.06,72.07,0.26,0.08,0.18,0.0,0.0,0.0,-11.83,-255.84,-3152.95,-223.93,-21.5
32,(주)강원에너지,114190,2011,87.32,23.55,102.88,439.86,27.16,64.02,235.2,270.35,25.07,11.46,13.97,26.29,74.93,-0.94,-2.46,0.0,47.8,89.26,8.32,81.84,45.61,54.39,924.62,165.07,151.33,52.8,21.11,90.58,119.24,118.56,0.0,35.19,0.0,23.38,0.0,13.6,1.22,2.29,2.6,4.83,75.64,1.4,1.5,21.24,3.89,93.94,14.19,0.91,0.05,41.62,9.12,571.48,23.91,328.31,1497.94,25.58,393.9
33,(주)강원에너지,114190,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,8.43,10.05,24.85,80.25,-0.73,-1.47,1.64,1.64,90.18,4.73,85.91,40.45,59.55,681.28,151.93,144.74,10.65,13.84,236.27,147.2,146.73,0.0,30.82,33.52,-5.92,-25.99,-2.95,1.19,2.95,2.0,6.06,60.27,1.32,1.39,27.95,2.56,142.4,24.11,0.8,0.04,41.72,9.77,883.74,21.02,445.26,1901.76,17.62,58.37
34,(주)강원에너지,114190,2013,-18.84,8.4,-23.52,-45.21,27.06,-52.42,-56.3,-72.15,23.18,7.74,4.85,9.57,76.82,-1.18,-1.5,5.66,2.34,84.97,3.39,82.09,63.33,36.67,724.37,231.75,223.89,111.08,5.96,228.9,57.9,57.9,0.0,48.31,6.87,26.03,219.36,13.65,0.63,1.24,1.27,4.14,88.23,0.71,0.74,17.19,1.77,206.63,11.01,0.46,0.07,37.52,7.72,646.8,16.92,291.66,1417.84,24.19,18.11
35,(주)강원에너지,114190,2014,-7.46,108.97,-20.72,-16.77,9.96,1.62,-71.36,-49.72,21.2,2.18,1.61,2.33,78.8,-1.44,-3.44,0.0,2.64,72.8,3.56,70.21,75.25,24.75,701.07,294.21,283.74,72.26,5.39,280.04,32.89,32.88,0.0,48.05,0.0,7.16,0.0,2.31,0.74,1.07,2.39,6.49,56.23,0.93,0.97,26.93,2.52,144.93,6.96,0.67,0.04,66.28,6.86,456.04,12.7,87.35,844.47,16.53,39.01
36,(주)강원에너지,114190,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.15,0.22,0.12,0.18,82.85,-0.49,-0.79,0.02,0.02,73.64,1.96,72.19,66.21,33.79,709.27,333.65,327.11,169.33,2.8,175.75,51.03,33.33,0.0,51.57,17.67,32.9,94.99,20.57,0.54,0.82,1.6,5.16,70.79,0.73,0.75,37.43,2.93,124.42,3.6,0.56,0.03,72.98,6.66,608.56,9.15,77.63,882.57,16.93,187.51
37,(주)강원에너지,114190,2016,-9.68,15.13,-14.64,-72.83,-2.65,-8.45,-1190.24,-393.2,16.59,-2.66,-1.38,-1.99,83.41,-0.68,-1.12,0.05,0.05,69.59,0.62,69.16,71.37,28.63,690.5,444.3,441.52,131.49,0.81,508.19,40.11,21.95,0.0,53.93,18.16,-14.22,-31.41,-7.43,0.52,0.76,1.66,5.94,61.42,0.73,0.73,53.9,1.99,183.61,3.06,0.57,0.02,0.0,0.0,0.0,10.55,82.96,1041.22,19.26,-241.54
38,(주)강원에너지,114190,2017,20.72,4.06,26.72,7.8,-12.43,93.99,0.0,0.0,1.05,-7.86,-7.57,-12.58,98.95,-0.08,-0.19,1.92,2.01,73.05,0.53,72.66,51.84,48.16,604.64,202.02,200.95,41.76,1.05,295.63,92.91,69.76,8.76,36.89,22.72,-21.72,-88.8,-11.88,0.96,1.59,2.45,7.95,45.93,1.35,1.35,235.53,2.27,160.71,5.44,0.98,0.0,0.0,0.0,0.0,0.74,7.18,98.74,0.84,-26.56
39,(주)강원에너지,114190,2018,0.71,-4.03,3.66,50.46,4.7,4.72,0.0,0.0,6.86,1.99,1.83,4.19,93.14,1.51,2.92,6.93,9.57,75.18,0.77,74.6,53.5,46.5,628.4,161.8,160.55,45.27,2.02,375.08,86.93,86.86,0.0,28.72,48.69,-15.9,-28.39,-8.08,0.92,1.74,1.94,6.49,56.25,1.24,1.25,189.82,1.97,185.05,5.7,0.8,0.01,0.0,0.0,0.0,12.36,125.77,1960.22,13.5,0.2
