,회사명,거래소코드,회계년도,개별현금흐름,연결현금흐름,현금흐름,투자축소
131,(주)갤럭시아에스엠,11420,2011/12,-1378082.0,381972.0,-1.2771765395673116,0
132,(주)갤럭시아에스엠,11420,2012/12,-596085.0,-5044476.0,0.0,0
133,(주)갤럭시아에스엠,11420,2013/12,-2653809.0,-9658129.0,0.0,0
134,(주)갤럭시아에스엠,11420,2014/12,1643309.0,-458207.0,-1.2788319177951317,0
135,(주)갤럭시아에스엠,11420,2015/12,-5256354.0,-3398195.0,0.35350720290147886,1
136,(주)갤럭시아에스엠,11420,2016/12,-840372.0,-559339.0,0.3344149971679209,1
137,(주)갤럭시아에스엠,11420,2017/12,-924879.0,-1969493.0,0.0,0
138,(주)갤럭시아에스엠,11420,2018/12,1036438.0,1068801.0,0.0,0
139,(주)갤럭시아에스엠,11420,2019/12,1061814.0,995670.0,0.062293396018511714,0
140,(주)경농,2100,2011/12,-12823304.0,-9444978.0,0.2634520713226482,1
141,(주)경농,2100,2012/12,-25162774.0,-6775458.0,0.7307348545911512,1
142,(주)경농,2100,2013/12,-11015907.0,-1125346.0,0.8978435457016839,1
143,(주)경농,2100,2014/12,-18882330.0,-16252739.0,0.13926199785725596,0
144,(주)경농,2100,2015/12,-19075073.0,-14264573.0,0.25218776358024947,1
145,(주)경농,2100,2016/12,-2415338.0,-14091883.0,0.0,0
146,(주)경농,2100,2017/12,-3577143.0,-12828629.0,0.0,0
147,(주)경농,2100,2018/12,-4316014.0,-12754265.0,0.0,0
148,(주)경농,2100,2019/12,-2614186.0,6297614.0,0.0,0
149,(주)경동나비엔,9450,2011/12,-14561296.0,-19734957.0,0.0,0
150,(주)경동나비엔,9450,2012/12,-21037803.0,-29096492.0,0.0,0
151,(주)경동나비엔,9450,2013/12,-62575806.0,-67412813.0,0.0,0
152,(주)경동나비엔,9450,2014/12,-19195852.0,-38148799.0,0.0,0
153,(주)경동나비엔,9450,2015/12,1854034.0,-7238540.0,0.0,0
154,(주)경동나비엔,9450,2016/12,-13002830.0,-22069978.0,0.0,0
155,(주)경동나비엔,9450,2017/12,-25344330.0,-40198288.0,0.0,0
156,(주)경동나비엔,9450,2018/12,-31457522.0,-44715979.0,0.0,0
157,(주)경동나비엔,9450,2019/12,-22368814.0,-51466326.0,0.0,0
158,(주)경동도시가스,267290,2017/12,-54094509.0,-54218575.0,0.0,0
159,(주)경동도시가스,267290,2018/12,-58283279.0,-58533558.0,0.0,0
160,(주)경동도시가스,267290,2019/12,-46233496.0,-46540342.0,0.0,0
161,(주)경동인베스트,12320,2011/12,-80527912.0,-63153791.0,0.21575278147035526,1
162,(주)경동인베스트,12320,2012/12,-67159239.0,-60092789.0,0.10521932805105191,0
163,(주)경동인베스트,12320,2013/12,-19477359.0,-38215830.0,0.0,0
164,(주)경동인베스트,12320,2014/12,-30415596.0,-36929956.0,0.0,0
165,(주)경동인베스트,12320,2015/12,-101000740.0,-128436091.0,0.0,0
166,(주)경동인베스트,12320,2016/12,-20799465.0,-25524035.0,0.0,0
167,(주)경동인베스트,12320,2017/12,-11098576.0,-20172592.0,0.0,0
168,(주)경동인베스트,12320,2018/12,2952258.0,35768379.0,0.0,0
169,(주)경동인베스트,12320,2019/12,-4938785.0,-8561739.0,0.0,0
170,(주)경방,50,2011/12,-26435986.0,-26322473.0,0.004293881832135938,0
171,(주)경방,50,2012/12,-19372995.0,-27697875.0,0.0,0
172,(주)경방,50,2013/12,669867.0,-3280250.0,0.0,0
173,(주)경방,50,2014/12,-30920122.0,-33885316.0,0.0,0
174,(주)경방,50,2015/12,-5543521.0,-36713625.0,0.0,0
175,(주)경방,50,2016/12,-3211754.0,-13675594.0,0.0,0
176,(주)경방,50,2017/12,6831805.0,-19767162.0,0.0,0
177,(주)경방,50,2018/12,-32823008.0,-25719906.0,0.2164061867821499,1
178,(주)경방,50,2019/12,-79930463.0,-45096923.0,0.4357980511135035,1
179,(주)경보제약,214390,2015/12,-27781942.0,,0.0,0
180,(주)경보제약,214390,2016/12,-20158761.0,,0.0,0
181,(주)경보제약,214390,2017/12,-6395974.0,,0.0,0
182,(주)경보제약,214390,2018/12,-8194652.0,,0.0,0
183,(주)경보제약,214390,2019/12,-28127563.0,,0.0,0
184,(주)경인양행,12610,2011/12,-4871100.0,-9877016.0,0.0,0
185,(주)경인양행,12610,2012/12,-2384505.0,-5059446.0,0.0,0
186,(주)경인양행,12610,2013/12,-515260.0,-3527107.0,0.0,0
187,(주)경인양행,12610,2014/12,-9760461.0,-12201523.0,0.0,0
188,(주)경인양행,12610,2015/12,-3554826.0,-10080952.0,0.0,0
189,(주)경인양행,12610,2016/12,-1366831.0,-7033423.0,0.0,0
190,(주)경인양행,12610,2017/12,-16850427.0,-25434854.0,0.0,0
191,(주)경인양행,12610,2018/12,-23651736.0,-31671509.0,0.0,0
192,(주)경인양행,12610,2019/12,-30689433.0,-46297964.0,0.0,0
193,(주)고려시멘트,198440,2014/12,,,0.0,0
194,(주)고려시멘트,198440,2015/12,,,0.0,0
195,(주)고려시멘트,198440,2016/12,,,0.0,0
196,(주)고려시멘트,198440,2017/12,-14608429.0,,0.0,0
197,(주)고려시멘트,198440,2018/12,-9952075.0,,0.0,0
198,(주)고려시멘트,198440,2019/12,3351444.0,,0.0,0
199,(주)고영테크놀러지,98460,2011/12,-14532348.0,-15045937.0,0.0,0
200,(주)고영테크놀러지,98460,2012/12,-7979723.0,-8116145.0,0.0,0
201,(주)고영테크놀러지,98460,2013/12,-6515012.0,-6568022.0,0.0,0
202,(주)고영테크놀러지,98460,2014/12,-14388870.0,-14447901.0,0.0,0
203,(주)고영테크놀러지,98460,2015/12,-1567764.0,-1979022.0,0.0,0
204,(주)고영테크놀러지,98460,2016/12,-6754347.0,-7025366.0,0.0,0
205,(주)고영테크놀러지,98460,2017/12,5318936.0,5201174.0,0.02214014231417712,0
206,(주)고영테크놀러지,98460,2018/12,-72061061.0,-72484067.0,0.0,0
207,(주)고영테크놀러지,98460,2019/12,-6674843.0,-7879555.0,0.0,0
208,(주)골드앤에스,35290,2011/12,-9221199.0,-8498088.0,0.0784183271611425,0
209,(주)골드앤에스,35290,2012/12,-9218663.0,-9284293.0,0.0,0
210,(주)골드앤에스,35290,2013/12,-1001142.0,-1383374.0,0.0,0
211,(주)골드앤에스,35290,2014/12,-915815.0,-1764445.0,0.0,0
212,(주)골드앤에스,35290,2015/12,-5520151.0,-5567330.0,0.0,0
213,(주)골드앤에스,35290,2016/12,112543.0,94530.0,0.16005437921505558,1
214,(주)골드앤에스,35290,2017/12,-5268662.0,-6335735.0,0.0,0
215,(주)골드앤에스,35290,2018/12,-12992586.0,-12675663.0,0.02439260359715918,0
216,(주)골드앤에스,35290,2019/12,-4973680.0,-4713771.0,0.05225688021746473,0
217,(주)골드퍼시픽,38530,2011/12,-7888757.0,,0.0,0
218,(주)골드퍼시픽,38530,2012/12,1614727.0,,0.0,0
219,(주)골드퍼시픽,38530,2013/12,-1723987.0,-6853546.0,0.0,0
220,(주)골드퍼시픽,38530,2014/12,-3778013.0,-3323988.0,0.12017560553656115,0
221,(주)골드퍼시픽,38530,2015/12,235416.0,1337628.0,0.0,0
222,(주)골드퍼시픽,38530,2016/12,-354491.0,,0.0,0
223,(주)골드퍼시픽,38530,2017/12,-10288331.0,,0.0,0
224,(주)골드퍼시픽,38530,2018/12,-8720801.0,-5614342.0,0.3562125772621116,1
225,(주)골드퍼시픽,38530,2019/12,-54745086.0,,0.0,0
226,(주)골프존,215000,2015/12,-5207190.0,-4207242.0,0.19203217090215643,1
227,(주)골프존,215000,2016/12,-33314421.0,-33604113.0,0.0,0
228,(주)골프존,215000,2017/12,10630625.0,11830916.0,0.0,0
229,(주)골프존,215000,2018/12,-53326757.0,-56231601.0,0.0,0
230,(주)골프존,215000,2019/12,-48182499.0,-46930786.0,0.025978581974338857,0
231,(주)골프존뉴딘홀딩스,121440,2011/12,-195848455.0,-173047588.0,0.11642096946845969,0
232,(주)골프존뉴딘홀딩스,121440,2012/12,-103439750.0,-91334075.0,0.11703117031895378,0
233,(주)골프존뉴딘홀딩스,121440,2013/12,-74006949.0,-90093517.0,0.0,0
234,(주)골프존뉴딘홀딩스,121440,2014/12,-27801730.0,-75886421.0,0.0,0
235,(주)골프존뉴딘홀딩스,121440,2015/12,11509974.0,10947085.0,0.04890445451918484,0
236,(주)골프존뉴딘홀딩스,121440,2016/12,-7704028.0,-11134900.0,0.0,0
237,(주)골프존뉴딘홀딩스,121440,2017/12,21294649.0,-754187.0,-1.0354167377917336,0
238,(주)골프존뉴딘홀딩스,121440,2018/12,-22304789.0,-36752525.0,0.0,0
239,(주)골프존뉴딘홀딩스,121440,2019/12,3095111.0,15355506.0,0.0,0
240,(주)광림,14200,2011/12,11284092.0,,0.0,0
241,(주)광림,14200,2012/12,-281965.0,,0.0,0
242,(주)광림,14200,2013/12,-11827159.0,,0.0,0
243,(주)광림,14200,2014/12,-19433678.0,-13004183.0,0.3308429315335985,1
244,(주)광림,14200,2015/12,-86902095.0,,0.0,0
245,(주)광림,14200,2016/12,-23751125.0,-11978430.0,0.49566894199748435,1
246,(주)광림,14200,2017/12,-12037167.0,-7625214.0,0.36652752263053257,1
247,(주)광림,14200,2018/12,-1944893.0,-8169183.0,0.0,0
248,(주)광림,14200,2019/12,-37280398.0,-47636791.0,0.0,0
249,(주)광명전기,17040,2011/12,-1449039.0,-1505720.0,0.0,0
250,(주)광명전기,17040,2012/12,-1250745.0,-1024973.0,0.18051001603044586,1
251,(주)광명전기,17040,2013/12,1304261.0,373757.0,0.7134338909160053,1
252,(주)광명전기,17040,2014/12,-5355171.0,-7261188.0,0.0,0
253,(주)광명전기,17040,2015/12,2980677.0,2326377.0,0.21951388895878352,1
254,(주)광명전기,17040,2016/12,-7057653.0,-35162672.0,0.0,0
255,(주)광명전기,17040,2017/12,-4084096.0,-8947369.0,0.0,0
256,(주)광명전기,17040,2018/12,-1391132.0,-2977933.0,0.0,0
257,(주)광명전기,17040,2019/12,-22239879.0,-24504535.0,0.0,0
258,(주)광무,29480,2011/12,-26650423.0,-26234397.0,0.015610483931155614,0
259,(주)광무,29480,2012/12,5189931.0,4070985.0,0.21559939814228743,1
260,(주)광무,29480,2013/12,-6156953.0,-4579970.0,0.25613042685237325,1
261,(주)광무,29480,2014/12,2564009.0,,0.0,0
262,(주)광무,29480,2015/12,2044961.0,,0.0,0
263,(주)광무,29480,2016/12,-3007014.0,,0.0,0
264,(주)광무,29480,2017/12,-7185601.0,,0.0,0
265,(주)광무,29480,2018/12,-1332045.0,-319877.0,0.7598602149326787,1
266,(주)광무,29480,2019/12,-18999421.0,-17176123.0,0.09596597706845908,0
267,(주)광주신세계,37710,2011/12,-54058672.0,,0.0,0
268,(주)광주신세계,37710,2012/12,-43652264.0,,0.0,0
269,(주)광주신세계,37710,2013/12,-274884013.0,,0.0,0
270,(주)광주신세계,37710,2014/12,-5467556.0,,0.0,0
271,(주)광주신세계,37710,2015/12,-5629270.0,,0.0,0
272,(주)광주신세계,37710,2016/12,-9172921.0,,0.0,0
273,(주)광주신세계,37710,2017/12,-3587726.0,,0.0,0
274,(주)광주신세계,37710,2018/12,-658704.0,,0.0,0
275,(주)광주신세계,37710,2019/12,-55381469.0,,0.0,0
276,(주)구영테크,53270,2011/12,-7112406.0,-9334663.0,0.0,0
277,(주)구영테크,53270,2012/12,-12928824.0,-19332088.0,0.0,0
278,(주)구영테크,53270,2013/12,7208450.0,2200348.0,0.6947543507966345,1
279,(주)구영테크,53270,2014/12,-475784.0,-7627163.0,0.0,0
280,(주)구영테크,53270,2015/12,-4054529.0,-9701693.0,0.0,0
281,(주)구영테크,53270,2016/12,-10098787.0,-16813216.0,0.0,0
282,(주)구영테크,53270,2017/12,-21760013.0,-23239804.0,0.0,0
283,(주)구영테크,53270,2018/12,-14236839.0,-19303224.0,0.0,0
284,(주)구영테크,53270,2019/12,-5659531.0,-6494849.0,0.0,0
285,(주)국동,5320,2011/12,-101794.0,-563056.0,0.0,0
286,(주)국동,5320,2012/12,-1294262.0,-802263.0,0.3801386427168533,1
287,(주)국동,5320,2013/12,264854.0,-1008688.0,0.0,0
288,(주)국동,5320,2014/12,-1656764.0,-4423508.0,0.0,0
289,(주)국동,5320,2015/12,-9860769.0,-3399517.0,0.6552482874307267,1
290,(주)국동,5320,2016/12,-3327326.0,-15940624.0,0.0,0
291,(주)국동,5320,2017/12,-357799.0,-4410422.0,0.0,0
292,(주)국동,5320,2018/12,3111773.0,1472014.0,0.5269532835460684,1
293,(주)국동,5320,2019/12,-30786612.0,-23961325.0,0.22169659331140432,1
294,(주)국보,1140,2011/12,784698.0,961955.0,0.0,0
295,(주)국보,1140,2012/12,-1146905.0,-1274126.0,0.0,0
296,(주)국보,1140,2013/12,-4284683.0,-3656970.0,0.14650161983978746,0
297,(주)국보,1140,2014/12,573563.0,604389.0,0.0,0
298,(주)국보,1140,2015/12,3006756.0,3057463.0,0.0,0
299,(주)국보,1140,2016/12,606081.0,194932.0,0.6783730227477845,1
300,(주)국보,1140,2017/12,-753184.0,-531778.0,0.2939600416365722,1
301,(주)국보,1140,2018/12,20506005.0,20673339.0,0.0,0
302,(주)국보,1140,2019/12,-9888438.0,-2963513.0,0.7003052453784915,1
303,(주)국보디자인,66620,2011/12,-12284777.0,-9687267.0,0.21144136356728332,1
304,(주)국보디자인,66620,2012/12,-7157603.0,-7894541.0,0.0,0
305,(주)국보디자인,66620,2013/12,-25637094.0,-24803246.0,0.03252505919742698,0
306,(주)국보디자인,66620,2014/12,-8765083.0,-10641719.0,0.0,0
307,(주)국보디자인,66620,2015/12,-5527725.0,-9937234.0,0.0,0
308,(주)국보디자인,66620,2016/12,-5351274.0,-3570086.0,0.3328530738661485,1
309,(주)국보디자인,66620,2017/12,-3705288.0,-1877183.0,0.49337730292490084,1
310,(주)국보디자인,66620,2018/12,-6824210.0,-8679349.0,0.0,0
311,(주)국보디자인,66620,2019/12,-9008695.0,-3573627.0,0.6033135764947087,1
312,(주)국순당,43650,2011/12,-10565958.0,-9565683.0,0.09466959834593323,0
313,(주)국순당,43650,2012/12,-10808940.0,-10521522.0,0.02659076653214839,0
314,(주)국순당,43650,2013/12,-7201301.0,-3743052.0,0.48022558701545737,1
315,(주)국순당,43650,2014/12,-3795767.0,5409553.0,0.0,0
316,(주)국순당,43650,2015/12,-350008.0,4802344.0,0.0,0
317,(주)국순당,43650,2016/12,-11010751.0,-12698994.0,0.0,0
318,(주)국순당,43650,2017/12,-3908307.0,15508783.0,0.0,0
319,(주)국순당,43650,2018/12,-23419217.0,-3833228.0,0.8363212570258006,1
320,(주)국순당,43650,2019/12,17963082.0,19566430.0,0.0,0
321,(주)국영지앤엠,6050,2011/12,-18568769.0,,0.0,0
322,(주)국영지앤엠,6050,2012/12,9456019.0,,0.0,0
323,(주)국영지앤엠,6050,2013/12,-298265.0,,0.0,0
324,(주)국영지앤엠,6050,2014/12,364719.0,,0.0,0
325,(주)국영지앤엠,6050,2015/12,-1747715.0,,0.0,0
326,(주)국영지앤엠,6050,2016/12,-498703.0,,0.0,0
327,(주)국영지앤엠,6050,2017/12,-3251231.0,,0.0,0
328,(주)국영지앤엠,6050,2018/12,-329312.0,,0.0,0
