,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
152,(주)경동나비엔,9450,Dec-14,9082312.0,167984480.0,161494784.0
153,(주)경동나비엔,9450,Dec-15,19320742.0,185208256.0,167984480.0
154,(주)경동나비엔,9450,Dec-16,28636194.0,210193123.0,185208256.0
155,(주)경동나비엔,9450,Dec-17,16291264.0,222028494.0,210193123.0
156,(주)경동나비엔,9450,Dec-18,22818064.0,240355951.0,222028494.0
157,(주)경동나비엔,9450,Dec-19,20474157.0,254559521.0,240355951.0
158,(주)경동도시가스,267290,Dec-17,17678888.0,292628586.0,
159,(주)경동도시가스,267290,Dec-18,33981432.0,318760537.0,318760537.0
160,(주)경동도시가스,267290,Dec-19,24355132.0,337701666.0,365245365.0
161,(주)경동인베스트,12320,Dec-11,50053289.0,412912132.0,
162,(주)경동인베스트,12320,Dec-12,56917580.0,468921996.0,468921996.0
163,(주)경동인베스트,12320,Dec-13,46253877.0,516833582.0,516833582.0
164,(주)경동인베스트,12320,Dec-14,44839494.0,560802056.0,560802056.0
165,(주)경동인베스트,12320,Dec-15,-6095609.0,548528455.0,548528455.0
166,(주)경동인베스트,12320,Dec-16,16356641.0,556247783.0,556247783.0
167,(주)경동인베스트,12320,Dec-17,7248447.0,309789000.0,309789000.0
168,(주)경동인베스트,12320,Dec-18,1574966.0,310422538.0,310422538.0
169,(주)경동인베스트,12320,Dec-19,-917643.0,308309156.0,680065508.0
170,(주)경방,50,Dec-11,-1822388.0,676624221.0,
171,(주)경방,50,Dec-12,-7074187.0,669735441.0,669735441.0
172,(주)경방,50,Dec-13,15103835.0,685569176.0,685569176.0
173,(주)경방,50,Dec-14,14235818.0,651570419.0,651570419.0
174,(주)경방,50,Dec-15,21604723.0,671770865.0,671770865.0
175,(주)경방,50,Dec-16,30977743.0,690245544.0,690245544.0
176,(주)경방,50,Dec-17,25679379.0,710964923.0,710964923.0
177,(주)경방,50,Dec-18,29198252.0,729185709.0,729185709.0
178,(주)경방,50,Dec-19,22223943.0,740731873.0,122817151.0
179,(주)경보제약,214390,Dec-15,26109623.0,122817151.0,
180,(주)경보제약,214390,Dec-16,12705930.0,129402340.0,141509596.0
181,(주)경보제약,214390,Dec-17,17963310.0,141509596.0,149012165.0
182,(주)경보제약,214390,Dec-18,13116049.0,149012165.0,157685148.0
183,(주)경보제약,214390,Dec-19,5285239.0,149163504.0,158882273.0
184,(주)경인양행,12610,Dec-11,2788642.0,158882273.0,
185,(주)경인양행,12610,Dec-12,4475441.0,162112825.0,178074513.0
186,(주)경인양행,12610,Dec-13,12327177.0,178074513.0,186433506.0
