,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
152,(주)경동나비엔,9450,2014,4.93,382392117.0,293438355.0,428985365.0,313840608.0,전기장비 제조업
153,(주)경동나비엔,9450,2015,6.98,448302084.0,334829527.0,512031120.0,352051189.0,전기장비 제조업
154,(주)경동나비엔,9450,2016,25.05,506082201.0,369054723.0,583252904.0,382333051.0,전기장비 제조업
155,(주)경동나비엔,9450,2017,30.33,569819524.0,423216560.0,684660958.0,446078996.0,전기장비 제조업
156,(주)경동나비엔,9450,2018,11.32,618058456.0,466381901.0,726741615.0,487844378.0,전기장비 제조업
157,(주)경동나비엔,9450,2019,11.06,655419303.0,479160026.0,774290704.0,509635845.0,전기장비 제조업
158,(주)경동도시가스,267290,2017,66.86,870828897.0,793617236.0,871548284.0,793238142.0,"전기, 가스, 증기 및 공기조절 공급업"
159,(주)경동도시가스,267290,2018,98.82,1605687067.0,1480519376.0,1606531867.0,1480519376.0,"전기, 가스, 증기 및 공기조절 공급업"
160,(주)경동도시가스,267290,2019,29.28,1421866212.0,1310791588.0,1422707835.0,1310188918.0,"전기, 가스, 증기 및 공기조절 공급업"
161,(주)경동인베스트,12320,2011,11.03,1806174764.0,1697470671.0,1847666903.0,1739469751.0,금융업
162,(주)경동인베스트,12320,2012,17.71,2403814656.0,2292736954.0,2502642394.0,2381579037.0,금융업
163,(주)경동인베스트,12320,2013,27.91,2664100017.0,2552976223.0,2788264380.0,2659198011.0,금융업
164,(주)경동인베스트,12320,2014,20.25,2399450987.0,2293899450.0,2603059058.0,2470957525.0,금융업
165,(주)경동인베스트,12320,2015,-4.35,1352478311.0,1263722829.0,1604168482.0,1520436435.0,금융업
166,(주)경동인베스트,12320,2016,7.92,1021002691.0,924418543.0,1181902637.0,1064804018.0,금융업
167,(주)경동인베스트,12320,2017,9.05,612436.0,0.0,195069859.0,140724518.0,금융업
168,(주)경동인베스트,12320,2018,10.67,7460898.0,3635575.0,228644016.0,171130400.0,금융업
169,(주)경동인베스트,12320,2019,5.29,8641051.0,3929209.0,271765025.0,223338232.0,금융업
170,(주)경방,50,2011,1.15,275746943.0,246411496.0,348136369.0,258814443.0,소매업; 자동차 제외
171,(주)경방,50,2012,0.36,265409209.0,250600103.0,333620804.0,260837041.0,소매업; 자동차 제외
172,(주)경방,50,2013,2.58,264782077.0,223418883.0,347189559.0,251468225.0,소매업; 자동차 제외
173,(주)경방,50,2014,2.47,256979444.0,209067504.0,329036023.0,238357806.0,소매업; 자동차 제외
174,(주)경방,50,2015,3.9,307744480.0,209467360.0,357628146.0,255868653.0,소매업; 자동차 제외
175,(주)경방,50,2016,5.54,313876822.0,210095763.0,377445013.0,268352680.0,소매업; 자동차 제외
176,(주)경방,50,2017,6.35,288103985.0,188372022.0,360788750.0,253442168.0,소매업; 자동차 제외
177,(주)경방,50,2018,5.13,279085217.0,177815403.0,351438926.0,244043108.0,소매업; 자동차 제외
178,(주)경방,50,2019,3.59,253552382.0,151563044.0,343892085.0,244396020.0,소매업; 자동차 제외
179,(주)경보제약,214390,2015,29.2,178032632.0,129475387.0,,,의료용 물질 및 의약품 제조업
180,(주)경보제약,214390,2016,16.24,186726170.0,142622767.0,,,의료용 물질 및 의약품 제조업
181,(주)경보제약,214390,2017,24.47,191661374.0,137038683.0,,,의료용 물질 및 의약품 제조업
182,(주)경보제약,214390,2018,19.43,201343596.0,152082417.0,,,의료용 물질 및 의약품 제조업
183,(주)경보제약,214390,2019,4.77,191706189.0,150990036.0,,,의료용 물질 및 의약품 제조업
184,(주)경인양행,12610,2011,1.77,128707611.0,109831813.0,233095049.0,198818643.0,화학물질 및 화학제품 제조업; 의약품 제외
185,(주)경인양행,12610,2012,1.26,141304459.0,120613769.0,218604655.0,190167857.0,화학물질 및 화학제품 제조업; 의약품 제외
186,(주)경인양행,12610,2013,5.73,183106757.0,147883856.0,260808400.0,217483383.0,화학물질 및 화학제품 제조업; 의약품 제외
187,(주)경인양행,12610,2014,7.16,190395047.0,153646031.0,277181095.0,228191361.0,화학물질 및 화학제품 제조업; 의약품 제외
188,(주)경인양행,12610,2015,4.19,175006703.0,148385606.0,263163677.0,220123025.0,화학물질 및 화학제품 제조업; 의약품 제외
189,(주)경인양행,12610,2016,6.44,179267850.0,150776725.0,274873817.0,228042128.0,화학물질 및 화학제품 제조업; 의약품 제외
190,(주)경인양행,12610,2017,3.12,193975818.0,164845854.0,299987729.0,252841704.0,화학물질 및 화학제품 제조업; 의약품 제외
191,(주)경인양행,12610,2018,5.68,222659442.0,169805543.0,331102011.0,255365574.0,화학물질 및 화학제품 제조업; 의약품 제외
192,(주)경인양행,12610,2019,4.66,245244968.0,188265694.0,358802386.0,274054354.0,화학물질 및 화학제품 제조업; 의약품 제외
193,(주)고려시멘트,198440,2014,11111111.11,,,,,비금속 광물제품 제조업
194,(주)고려시멘트,198440,2015,11111111.11,,,,,비금속 광물제품 제조업
195,(주)고려시멘트,198440,2016,11111111.11,,,,,비금속 광물제품 제조업
196,(주)고려시멘트,198440,2017,16.79,87660276.0,75974602.0,,,비금속 광물제품 제조업
197,(주)고려시멘트,198440,2018,9.2,85775723.0,73108112.0,,,비금속 광물제품 제조업
198,(주)고려시멘트,198440,2019,-1.08,70921781.0,65599490.0,,,비금속 광물제품 제조업
199,(주)고영테크놀러지,98460,2011,22785.6,80200892.0,34339828.0,86130810.0,36970902.0,기타 기계 및 장비 제조업
200,(주)고영테크놀러지,98460,2012,1627.45,100791139.0,46250331.0,107841666.0,46349851.0,기타 기계 및 장비 제조업
201,(주)고영테크놀러지,98460,2013,443.96,103933681.0,48746666.0,111902729.0,49977494.0,기타 기계 및 장비 제조업
202,(주)고영테크놀러지,98460,2014,1673.12,135531589.0,61382298.0,142840131.0,60262407.0,기타 기계 및 장비 제조업
203,(주)고영테크놀러지,98460,2015,2242.05,138554625.0,56961633.0,145904431.0,56896177.0,기타 기계 및 장비 제조업
204,(주)고영테크놀러지,98460,2016,2001.96,153254768.0,61186100.0,171793841.0,63856136.0,기타 기계 및 장비 제조업
205,(주)고영테크놀러지,98460,2017,6141.06,188934907.0,73639302.0,203368626.0,71899522.0,기타 기계 및 장비 제조업
206,(주)고영테크놀러지,98460,2018,5839.89,219818022.0,88093203.0,238208865.0,89336707.0,기타 기계 및 장비 제조업
207,(주)고영테크놀러지,98460,2019,112.96,209480760.0,81602341.0,222057035.0,80865005.0,기타 기계 및 장비 제조업
208,(주)골드앤에스,35290,2011,1.13,47522791.0,33020367.0,47522791.0,32544786.0,출판업
209,(주)골드앤에스,35290,2012,-1.91,43889087.0,31475407.0,43889087.0,31012456.0,출판업
