,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류),매출액(수익)감소,매출원가감소,매출액(수익)감소(연결),매출원가감소(연결)
48,(주)SH에너지화학,2360,2014,26.68,226971465.0,196829927.0,230912587.0,197661842.0,화학물질 및 화학제품 제조업; 의약품 제외,0.012389557427406129,0.08416988845400528,0.004329045085792573,0.082415598454253
49,(주)SH에너지화학,2360,2015,84.87,213882181.0,179081363.0,216441364.0,179135051.0,화학물질 및 화학제품 제조업; 의약품 제외,0.06119857175011695,0.09910893966113045,0.06685978471287032,0.10342359519578331
50,(주)SH에너지화학,2360,2016,210.93,214380015.0,179726464.0,218397677.0,179759098.0,화학물질 및 화학제품 제조업; 의약품 제외,-0.0023222034012825308,-0.0035893489786790666,-0.00895757238296999,-0.00347157393947315
51,(주)SH에너지화학,2360,2017,162.17,184672638.0,161711689.0,188114822.0,161824273.0,화학물질 및 화학제품 제조업; 의약품 제외,0.16086507087205848,0.11140057414155138,0.16098069614099839,0.11082901636147008
52,(주)SH에너지화학,2360,2018,22.72,180753289.0,169058462.0,183598766.0,171330094.0,화학물질 및 화학제품 제조업; 의약품 제외,0.021683417334663273,-0.043456996550696174,0.024597420224491053,-0.05548249451144292
53,(주)SH에너지화학,2360,2019,-24.12,138161816.0,131861388.0,140852575.0,134184400.0,화학물질 및 화학제품 제조업; 의약품 제외,0.30827238837103876,0.2820922376457921,0.3034817858317464,0.2768257263884624
54,(주)SIMPAC,9160,2011,20.93,213867522.0,169699426.0,215365697.0,170409718.0,1차 금속 제조업,,,,
55,(주)SIMPAC,9160,2012,15.51,223854758.0,182101881.0,225353321.0,182861979.0,1차 금속 제조업,-0.04461480331814077,-0.06810723168751892,-0.04431984385976721,-0.06809650135089045
56,(주)SIMPAC,9160,2013,16.58,204527751.0,163875499.0,205751154.0,164405183.0,1차 금속 제조업,0.09449576844953426,0.1112209092342718,0.09527123721502918,0.11226407624873967
57,(주)SIMPAC,9160,2014,8.48,227491803.0,188349315.0,263152264.0,220084616.0,1차 금속 제조업,-0.10094452502097405,-0.1299384391177637,-0.21812888526013213,-0.252991026869411
58,(주)SIMPAC,9160,2015,14.66,213152303.0,171341851.0,269528038.0,221412942.0,1차 금속 제조업,0.06727349316981107,0.099260419452338,-0.023655327465411966,-0.005999315071654664
59,(주)SIMPAC,9160,2016,16.75,215839356.0,175971604.0,267074156.0,217713888.0,1차 금속 제조업,-0.012449319020392185,-0.026309659597124547,0.009188017428387941,0.016990436549458893
60,(주)SIMPAC,9160,2017,10.1,203150228.0,168484356.0,230634812.0,193009825.0,1차 금속 제조업,0.062461795514204395,0.04443883205393859,0.15799585363548674,0.1279938106777725
61,(주)SIMPAC,9160,2018,4.07,268863854.0,243575353.0,306150809.0,271995017.0,1차 금속 제조업,-0.2444122741765057,-0.3082865161648765,-0.2466627386896763,-0.2903920552338648
62,(주)SIMPAC,9160,2019,3.47,391970769.0,357126998.0,430085162.0,385305111.0,1차 금속 제조업,-0.314071672523111,-0.3179587251479654,-0.2881623546919761,-0.2940788761039819
63,(주)SNT에너지,100840,2011,-9.21,195318747.0,181219511.0,,,기타 기계 및 장비 제조업,,,,
64,(주)SNT에너지,100840,2012,77.44,230707564.0,191839172.0,,,기타 기계 및 장비 제조업,-0.15339253029432534,-0.05535710402252987,,
65,(주)SNT에너지,100840,2013,50.81,200750984.0,161808099.0,,,기타 기계 및 장비 제조업,0.14922258114560474,0.18559684704039445,,
66,(주)SNT에너지,100840,2014,41.09,242746888.0,203611420.0,,,기타 기계 및 장비 제조업,-0.17300285225489687,-0.20530931418286852,,
67,(주)SNT에너지,100840,2015,359.1,260094045.0,202305297.0,,,기타 기계 및 장비 제조업,-0.06669571000750901,0.006456197733665866,,
