,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),자기자본순이익률(개별)
234,(주)골프존뉴딘홀딩스,121440,2014/12,63571492.0,473636026.0,13.422013637112984
235,(주)골프존뉴딘홀딩스,121440,2015/12,890006593.0,551703320.0,161.31978197992356
236,(주)골프존뉴딘홀딩스,121440,2016/12,-20255655.0,506841449.0,-3.9964480095233887
237,(주)골프존뉴딘홀딩스,121440,2017/12,-21778628.0,480074463.0,-4.536510412135794
238,(주)골프존뉴딘홀딩스,121440,2018/12,-7653686.0,484480922.0,-1.5797703588419112
239,(주)골프존뉴딘홀딩스,121440,2019/12,-30341791.0,450069457.0,-6.7415796668912815
240,(주)광림,14200,2011/12,2583332.0,56677106.0,4.5579814890336845
241,(주)광림,14200,2012/12,586385.0,63502275.0,0.9234078621592691
242,(주)광림,14200,2013/12,1630750.0,64796802.0,2.5167137106550412
243,(주)광림,14200,2014/12,1137559.0,66259380.0,1.7168271118745755
244,(주)광림,14200,2015/12,9223597.0,80899308.0,11.40132991001604
245,(주)광림,14200,2016/12,437352.0,90221084.0,0.4847558692600058
246,(주)광림,14200,2017/12,86196134.0,176556237.0,48.820781108967566
247,(주)광림,14200,2018/12,-58294056.0,120931215.0,-48.20430854018956
248,(주)광림,14200,2019/12,-68290742.0,60749234.0,-112.4141614690977
249,(주)광명전기,17040,2011/12,-75153.0,56987613.0,-0.13187602716400842
250,(주)광명전기,17040,2012/12,-1564026.0,55136666.0,-2.8366350624101937
251,(주)광명전기,17040,2013/12,5301060.0,60793004.0,8.719852040869702
252,(주)광명전기,17040,2014/12,6978508.0,67539909.0,10.33242138362964
253,(주)광명전기,17040,2015/12,3442541.0,71275955.0,4.829877060223184
254,(주)광명전기,17040,2016/12,15612709.0,86335358.0,18.083794822510608
255,(주)광명전기,17040,2017/12,-1349854.0,85430878.0,-1.5800539940605551
256,(주)광명전기,17040,2018/12,3182514.0,87989865.0,3.6169097429573283
257,(주)광명전기,17040,2019/12,6470387.0,94186043.0,6.869793861071328
